"Lot ID","Color","Category","Condition","Sub-Condition","Description","Remarks","Price","Quantity","Bulk","Sale","URL","Item No","Tier Qty 1","Tier Price 1","Tier Qty 2","Tier Price 2","Tier Qty 3","Tier Price 3","Reserved For","Stockroom","Retain","Super Lot ID","Super Lot Qty","Weight","Extended Description","Date Added","Date Last Sold","Currency"

"278027840","Black","Parts / Dish","Used","","Black Dish 8 x 8 Inverted &#40;Radar&#41; - Solid Studs indigo A2","","€18.71","2","1","0%","","3961","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","4.57","","1/5/2022","","EUR"
"278027841","Black","Parts / Door","Used","","Black Door 1 x 4 x 5 Right with 6 Panes Grand Gris B6","","€17.20","1","1","0%","","73312","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","4","","1/5/2022","","EUR"
"278027842","Black","Parts / Slope","Used","","Black Slope 45 3 x 4 Double / 33 Etagere Indigo C1","","€16.13","1","1","0%","","4861","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","2","","1/5/2022","","EUR"
"278027843","Yellow","Parts / Plate, Modified","Used","","Yellow Plate, Modified 1 x 2 with Long Stud Receptacle (Space Wing) Grand Noir F1","","€16.12","1","1","0%","","4596","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","1","","1/5/2022","","EUR"
"278027844","Black","Parts / Electric, Battery Box","Used","","Black Electric 9V Battery Box Small Assembly Malette Noir A1","","€14.55","1","1","0%","","4760c01","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","18","","1/5/2022","","EUR"
"278027845","Blue","Parts / Aircraft","Used","","Blue Engine, Smooth Large, 1 x 2 Thin Top Plate Etagere Indigo C1","","€9.50","1","1","0%","","4868a","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","3.32","","1/5/2022","","EUR"
"278027846","Black","Parts / Technic, Steering","Used","","Black Technic, Steering Arm Small with Pin Hole and Tow Ball Grand Gris D4","","€7.53","2","1","0%","","6571","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","0.79","","1/5/2022","","EUR"
"278027847","White","Parts / Wedge, Plate","Used","","White Wedge, Plate 8 x 8 with 4 x 4 Cutout Etagere Indigo C3","","€6.84","1","1","0%","","4475","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","4.27","","1/5/2022","","EUR"
"278027848","Brown","Parts / Ladder","Used","","Brown Rope Bridge indigo A2","","€6.50","1","1","0%","","2549","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","8.82","","1/5/2022","","EUR"
"278027849","Yellow","Parts / Technic, Axle","Used","","Yellow Technic, Axle 32L Malette Noir A1","","€6.33","2","1","0%","","50450","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","4.75","","1/5/2022","","EUR"
"278027850","Black","Parts / Panel, Decorated","Used","","Black Panel 2 x 5 x 6 Wall with Window with Window Stones Light Gray Pattern indigo A2","","€6.29","1","1","0%","","4444p04","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","5.9","","1/5/2022","","EUR"
"278027851","White","Parts / Magnet","Used","","White Magnet Holder Plate 2 x 2 Bottom Grand Gris A5","","€6.28","1","1","0%","","30159","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","0.68","","1/5/2022","","EUR"
"278027852","Black","Parts / Vehicle","Used","","Black Vehicle, Forklift Wide 1 x 2 Hinge Plate Locking and Dark Bluish Gray Wide Forks Reinforced Malette Noir A1","","€6.08","1","1","0%","","4518bc02","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","6.9","","1/5/2022","","EUR"
"278027853","Dark Bluish Gray","Parts / Train, Track","Used","","Dark Bluish Gray Train, Track Plastic (RC Trains) Switch Point Right black box A1","","€5.73","2","1","0%","","53404","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","57.6","","1/5/2022","","EUR"
"278027854","White","Parts / Electric, Light & Sound","Used","","White Electric, Light Brick 1 x 2 with Single Top Light Malette Noir A1","","€5.64","1","1","0%","","4767","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","1","","1/5/2022","","EUR"
"278027855","Trans-Clear","Parts / Technic, Shock Absorber","Used","","Trans-Clear Technic, Shock Absorber 10L Damped - Soft Spring Malette Noir A1","","€5.09","1","1","0%","","32181c04","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","6.29","","1/5/2022","","EUR"
"278027856","Dark Bluish Gray","Parts / Train, Track","Used","","Dark Bluish Gray Train, Track Plastic (RC Trains) Switch Point Left black box A1","","€4.92","2","1","0%","","53407","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","57.6","","1/5/2022","","EUR"
