LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;ITEMWEIGHT;DATELASTSOLD;BASECURRENCYCODE;CATEGORYNAME;CATEGORYNAMEUNDER;COLORNAME;ITEMTYPENAME;ITEMIDNAME;BOX;LINE;ROW;DIMENSIONX;DIMENSIONY;DIMENSIONZ
;05/01/2022;25;6;0,15;8;1;;;U;P;2423;;Y;0,44;;EUR;Plant;;Green;Part;Plant Leaves 4 x 3;casier bleue clair;A;1;4;3;0,33
;05/01/2022;95;6;0,99;1;1;;;U;P;2435;;Y;3;;EUR;Plant, Tree;;Green;Part;Plant, Tree Pine Small 2 x 2 x 4;casier bleue clair;A;1;0;0;0
;05/01/2022;25;6;0,23;8;1;;;U;P;30093;;Y;1;;EUR;Plant;;Green;Part;Plant Sea Grass / Seaweed;casier bleue clair;A;1;0,5;3;4
;05/01/2022;25;20;0,31;1;1;;;U;P;30093;;Y;1;;EUR;Plant;;Trans-Green;Part;Plant Sea Grass / Seaweed;casier bleue clair;A;1;0,5;3;4
;05/01/2022;25;80;0,16;1;1;;;U;P;30093;;Y;1;;EUR;Plant;;Dark Green;Part;Plant Sea Grass / Seaweed;casier bleue clair;A;1;0,5;3;4
;05/01/2022;25;6;0,13;3;1;;;U;P;30176;;Y;0,44;;EUR;Plant;;Green;Part;Plant Brick, Round 1 x 1 with 3 Bamboo Leaves;casier bleue clair;A;1;0;0;0
;05/01/2022;25;80;0,16;6;1;;;U;P;55236;;Y;0,35;;EUR;Plant;;Dark Green;Part;Plant Vine Seaweed / Appendage Spiked / Bionicle Spine;casier bleue clair;A;1;0;0;0
;05/01/2022;25;159;0,25;2;1;;;U;P;55236;;Y;0,35;;EUR;Plant;;Glow In Dark White;Part;Plant Vine Seaweed / Appendage Spiked / Bionicle Spine;casier bleue clair;A;1;0;0;0
;05/01/2022;25;36;0,83;1;1;;;U;P;x8;;Y;1,17;;EUR;Plant;;Bright Green;Part;Plant Flower Stem 1 x 1 x 2/3 with 3 Large Leaves;casier bleue clair;A;1;4;4;1,5
;05/01/2022;25;6;0,32;19;1;;;U;P;2417;;Y;1,07;;EUR;Plant;;Green;Part;Plant Leaves 6 x 5;casier bleue clair;A;2;6;5;0,33
;05/01/2022;25;36;0,28;2;1;;;U;P;2417;;Y;1,07;;EUR;Plant;;Bright Green;Part;Plant Leaves 6 x 5;casier bleue clair;A;2;6;5;0,33
;05/01/2022;86;3;0,13;1;1;;;U;P;2397;;Y;2,17;;EUR;Animal, Accessory;;Yellow;Part;Horse Hitching;casier bleue clair;A;3;8;3;0
;05/01/2022;86;4;0,06;1;1;;;U;P;2397;;Y;2,17;;EUR;Animal, Accessory;;Orange;Part;Horse Hitching;casier bleue clair;A;3;8;3;0
;05/01/2022;86;7;0,12;3;1;;;U;P;2397;;Y;2,17;;EUR;Animal, Accessory;;Blue;Part;Horse Hitching;casier bleue clair;A;3;8;3;0
;05/01/2022;86;11;0,1;2;1;;;U;P;2397;;Y;2,17;;EUR;Animal, Accessory;;Black;Part;Horse Hitching;casier bleue clair;A;3;8;3;0
;05/01/2022;25;5;4,32;1;1;;;U;P;6064;;Y;2,93;;EUR;Plant;;Red;Part;Plant Prickly Bush 2 x 2 x 4;casier bleue clair;A;3;4;4;5
;05/01/2022;95;6;0,29;11;1;;;U;P;6148;;Y;1,25;;EUR;Plant, Tree;;Green;Part;Plant, Tree Palm Leaf Small 8 x 3;casier bleue clair;A;3;8;3;1
;05/01/2022;95;6;1,06;13;1;;;U;P;2518;;Y;1,86;;EUR;Plant, Tree;;Green;Part;Plant, Tree Palm Leaf Large 10 x 5;casier bleue clair;A;4;10;5;1,5
;05/01/2022;133;4;0,18;1;1;;;U;P;50898;;Y;2,6;;EUR;Technic, Connector;;Orange;Part;Technic, Axle and Pin Connector 2 x 7 with 2 Ball Joint Sockets, Rounded Ends;casier bleue clair;A;5;2;7;1
;05/01/2022;133;11;0,36;1;1;;;U;P;50898;;Y;2,6;;EUR;Technic, Connector;;Black;Part;Technic, Axle and Pin Connector 2 x 7 with 2 Ball Joint Sockets, Rounded Ends;casier bleue clair;A;5;2;7;1
;05/01/2022;133;42;0,12;4;1;;;U;P;50898;;Y;2,6;;EUR;Technic, Connector;;Medium Blue;Part;Technic, Axle and Pin Connector 2 x 7 with 2 Ball Joint Sockets, Rounded Ends;casier bleue clair;A;5;2;7;1
;05/01/2022;135;1;0,08;3;1;;;U;P;92013;;Y;1,98;;EUR;Technic, Brick;;White;Part;Technic, Brick Modified 2 x 2 with Ball Socket Wide and Axle Hole;casier bleue clair;A;5;2;4;1
;05/01/2022;135;11;0,04;5;1;;;U;P;92013;;Y;1,98;;EUR;Technic, Brick;;Black;Part;Technic, Brick Modified 2 x 2 with Ball Socket Wide and Axle Hole;casier bleue clair;A;5;2;4;1
;05/01/2022;135;85;0,07;5;1;;;U;P;92013;;Y;1,98;;EUR;Technic, Brick;;Dark Bluish Gray;Part;Technic, Brick Modified 2 x 2 with Ball Socket Wide and Axle Hole;casier bleue clair;A;5;2;4;1
;05/01/2022;135;85;0,08;1;1;;;U;P;17114;;Y;2,34;;EUR;Technic, Brick;;Dark Bluish Gray;Part;Technic, Brick Modified 2 x 2 with 2 Ball Joints and Axle Hole;casier bleue clair;B;1;2;5;1
;05/01/2022;133;42;0,07;3;1;;;U;P;32174;;Y;1,1;;EUR;Technic, Connector;;Medium Blue;Part;Technic, Axle Connector 2 x 3 with Ball Joint Socket, Open Sides;casier bleue clair;B;1;0;0;0
;05/01/2022;133;85;0,04;5;1;;;U;P;32174;;Y;1,1;;EUR;Technic, Connector;;Dark Bluish Gray;Part;Technic, Axle Connector 2 x 3 with Ball Joint Socket, Open Sides;casier bleue clair;B;1;0;0;0
;05/01/2022;133;91;0,1;1;1;;;U;P;32174;;Y;1,1;;EUR;Technic, Connector;;Medium Brown;Part;Technic, Axle Connector 2 x 3 with Ball Joint Socket, Open Sides;casier bleue clair;B;1;0;0;0
