LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;ITEMWEIGHT;DATELASTSOLD;BASECURRENCYCODE;CATEGORYNAME;CATEGORYNAMEUNDER;COLORNAME;ITEMTYPENAME;ITEMIDNAME;BOX;LINE;ROW;DIMENSIONX;DIMENSIONY;DIMENSIONZ
;05/01/2022;43;11;0,17;5;1;;;U;P;57520;;Y;1,63;;EUR;Wheel;;Black;Part;Technic Tread Sprocket Wheel Small;Orange 2;E;2;4;4;0
;05/01/2022;43;3;0,06;14;1;;;U;P;55981;;Y;1,82;;EUR;Wheel;;Yellow;Part;Wheel 18mm D. x 14mm with Pin Hole, Fake Bolts and Shallow Spokes;Orange 2;E;3;0;0;0
;05/01/2022;43;5;0,1;4;1;;;U;P;55981;;Y;1,82;;EUR;Wheel;;Red;Part;Wheel 18mm D. x 14mm with Pin Hole, Fake Bolts and Shallow Spokes;Orange 2;E;3;0;0;0
;05/01/2022;638;11;0,06;12;1;;;U;P;2958;;Y;0,83;;EUR;Technic, Disk;;Black;Part;Technic, Disk 3 x 3;Orange 2;F;1;3;3;0
;05/01/2022;638;1;0,16;1;1;;;U;P;2958pb006;;Y;0,8;;EUR;Technic, Disk;;White;Part;Technic, Disk 3 x 3 with Yellow Points and Circuits on Dark Purple Pattern (Sticker) - Set 8245;Orange 2;F;1;3;3;0
;05/01/2022;638;11;0,13;1;1;;;U;P;2958pb020;;Y;0,8;;EUR;Technic, Disk;;Black;Part;Technic, Disk 3 x 3 with Disk Brake 3 Spokes, Black Dots on Gray Pattern (Sticker) - Set 8445;Orange 2;F;1;3;3;0
;05/01/2022;638;11;0,19;1;1;;;U;P;2958pb059;;Y;0,83;;EUR;Technic, Disk;;Black;Part;Technic, Disk 3 x 3 with Dark Purple and Yellowish Green Ghost Heads Pattern (Sticker) - Set 70734;Orange 2;F;1;3;3;0
;05/01/2022;638;11;0,27;1;1;;;U;P;2958pb079;;Y;0,8;;EUR;Technic, Disk;;Black;Part;Technic, Disk 3 x 3 with Satellite and Rocket Orbit Pattern (Sticker) - Set 60228;Orange 2;F;1;3;3;0
;05/01/2022;8;9;0,21;2;1;;;U;P;553a;;Y;0,85;;EUR;Brick, Round;;Light Gray;Part;Brick, Round 2 x 2 Dome Top - Blocked Open Stud without Bottom Axle Holder;Orange 2;F;1;2;2;1
;05/01/2022;8;1;0,06;1;1;;;U;P;553b;;Y;0,84;;EUR;Brick, Round;;White;Part;Brick, Round 2 x 2 Dome Top - Blocked Open Stud with Bottom Axle Holder x Shape + Orientation;Orange 2;F;1;2;2;1
