LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;ITEMWEIGHT;DATELASTSOLD;BASECURRENCYCODE;CATEGORYNAME;CATEGORYNAMEUNDER;COLORNAME;ITEMTYPENAME;ITEMIDNAME;BOX;LINE;ROW;DIMENSIONX;DIMENSIONY;DIMENSIONZ
;05/01/2022;43;1;0,01;17;1;;;U;P;2878;;Y;5,55;;EUR;Wheel;;White;Part;Train Wheel RC, Holder;Petit Gris;A;1;3;6;1,66
;05/01/2022;43;3;0,01;13;1;;;U;P;2878;;Y;5,55;;EUR;Wheel;;Yellow;Part;Train Wheel RC, Holder;Petit Gris;A;1;3;6;1,66
;05/01/2022;43;5;0,01;3;1;;;U;P;2878;;Y;5,55;;EUR;Wheel;;Red;Part;Train Wheel RC, Holder;Petit Gris;A;1;3;6;1,66
;05/01/2022;43;6;0,01;11;1;;;U;P;2878;;Y;5,55;;EUR;Wheel;;Green;Part;Train Wheel RC, Holder;Petit Gris;A;1;3;6;1,66
;05/01/2022;43;8;0,01;2;1;;;U;P;2878;;Y;5,55;;EUR;Wheel;;Brown;Part;Train Wheel RC, Holder;Petit Gris;A;1;3;6;1,66
;05/01/2022;43;10;0,01;3;1;;;U;P;2878;;Y;5,55;;EUR;Wheel;;Dark Gray;Part;Train Wheel RC, Holder;Petit Gris;A;1;3;6;1,66
;05/01/2022;43;11;0,95;10;1;;;U;P;2878;;Y;5,55;;EUR;Wheel;;Black;Part;Train Wheel RC, Holder;Petit Gris;A;1;3;6;1,66
;05/01/2022;43;85;0,01;16;1;;;U;P;2878;;Y;5,55;;EUR;Wheel;;Dark Bluish Gray;Part;Train Wheel RC, Holder;Petit Gris;A;1;3;6;1,66
;05/01/2022;43;86;2,7;15;1;;;U;P;2878;;Y;5,55;;EUR;Wheel;;Light Bluish Gray;Part;Train Wheel RC, Holder;Petit Gris;A;1;3;6;1,66
;05/01/2022;7;1;0,09;7;1;;;U;P;30136;;Y;0,69;;EUR;Brick, Modified;;White;Part;Brick, Modified 1 x 2 with Log Profile;Petit Gris;A;2;1;2;1
;05/01/2022;7;2;0,06;24;1;;;U;P;30136;;Y;0,69;;EUR;Brick, Modified;;Tan;Part;Brick, Modified 1 x 2 with Log Profile;Petit Gris;A;2;1;2;1
;05/01/2022;7;6;0,28;2;1;;;U;P;30136;;Y;0,69;;EUR;Brick, Modified;;Green;Part;Brick, Modified 1 x 2 with Log Profile;Petit Gris;A;2;1;2;1
;05/01/2022;7;9;0,11;2;1;;;U;P;30136;;Y;0,69;;EUR;Brick, Modified;;Light Gray;Part;Brick, Modified 1 x 2 with Log Profile;Petit Gris;A;2;1;2;1
;05/01/2022;7;10;0,12;1;1;;;U;P;30136;;Y;0,69;;EUR;Brick, Modified;;Dark Gray;Part;Brick, Modified 1 x 2 with Log Profile;Petit Gris;A;2;1;2;1
;05/01/2022;7;85;0,05;36;1;;;U;P;30136;;Y;0,69;;EUR;Brick, Modified;;Dark Bluish Gray;Part;Brick, Modified 1 x 2 with Log Profile;Petit Gris;A;2;1;2;1
;05/01/2022;7;86;0,05;6;1;;;U;P;30136;;Y;0,69;;EUR;Brick, Modified;;Light Bluish Gray;Part;Brick, Modified 1 x 2 with Log Profile;Petit Gris;A;2;1;2;1
