LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;WEIGHT;DATELASTSOLD;CURRENCY;CATEGORYNAME;CATNAME1;CATNAME2;CATNAME3;CATNAME4;COLORNAME;RGB;COLORTYPE;SUBCONDITION;REMARKS;TIERQTY1;TIERPRICE1;TIERQTY2;TIERPRICE2;TIERQTY3;TIERPRICE3;RESERVEDFOR;RETAIN;SUPERLOTID;SUPERLOTQTY;EXTDESCRIPTION;ITEMTYPENAME;ITEMIDNAME;DIMENSIONX;DIMENSIONY;DIMENSIONZ;BOX;ROW;COLUMN
;;167;11;0,4798;1;;id13358color11.jpg;;U;PART;13358;;Y;7,80;;EUR;Duplo;;;PART;;Black;212121;Solid;;;;;;;;;;;;;;PART;Duplo Drum Reel Holder 2 x 2 x 2;2.00;2.00;2.00;Joseph 10506-1;A;1;
;;441;1;2,2704;1;;id13359pb01color1.jpg;;U;PART;13359pb01;;Y;12,77;;EUR;Duplo, Train;;;PART;;White;FFFFFF;Solid;;;;;;;;;;;;;;PART;Duplo, Train Crossing Gate Crossbar with Red Stripes Pattern;9.00;1.00;1.50;Joseph 10506-1;A;1;
;;417;11;0,1850;1;;id3437color11.jpg;;U;PART;3437;;Y;6,75;;EUR;Duplo, Brick;;;PART;;Black;212121;Solid;;;;;;;;;;;;;;PART;Duplo, Brick 2 x 2;2.00;2.00;1.00;Joseph 10506-1;A;1;
;;417;36;0,1651;1;;id3437color36.jpg;;U;PART;3437;;Y;6,75;;EUR;Duplo, Brick;;;PART;;Bright Green;10CB31;Solid;;;;;;;;;;;;;;PART;Duplo, Brick 2 x 2;2.00;2.00;1.00;Joseph 10506-1;A;1;
;;417;5;0,1098;1;;id3437color5.jpg;;U;PART;3437;;Y;6,75;;EUR;Duplo, Brick;;;PART;;Red;B30006;Solid;;;;;;;;;;;;;;PART;Duplo, Brick 2 x 2;2.00;2.00;1.00;Joseph 10506-1;A;1;
;;417;1;0,1676;1;;id4066color1.jpg;;U;PART;4066;;Y;7,85;;EUR;Duplo, Brick;;;PART;;White;FFFFFF;Solid;;;;;;;;;;;;;;PART;Duplo, Brick 1 x 2 x 2 without Bottom Tube;1.00;2.00;2.00;Joseph 10506-1;A;1;
;;440;1;0,4798;1;;id42025pb06color1.jpg;;U;PART;42025pb06;;Y;6,00;;EUR;Duplo, Brick, Decorated;;;PART;;White;FFFFFF;Solid;;;;;;;;;;;;;;PART;Duplo, Brick 1 x 3 x 2 Triangle Road Sign with Steam Engine Pattern;1.00;3.00;2.00;Joseph 10506-1;A;1;
;;441;85;3,6560;2;;id51943c01color85.jpg;;U;PART;51943c01;;Y;43,45;;EUR;Duplo, Train;;;PART;;Dark Bluish Gray;595D60;Solid;;;;;;;;;;;;;;PART;Duplo, Train Track Switcher with Red Switch;9.00;10.00;0.50;Joseph 10506-1;A;1;
;;441;85;0,9412;5;;id6377color85.jpg;;U;PART;6377;;Y;19,67;;EUR;Duplo, Train;;;PART;;Dark Bluish Gray;595D60;Solid;;;;;;;;;;;;;;PART;Duplo, Train Track Straight (short);4.00;10.00;0.50;Joseph 10506-1;A;1;
;;441;85;0,4898;8;;id6378color85.jpg;;U;PART;6378;;Y;21,50;;EUR;Duplo, Train;;;PART;;Dark Bluish Gray;595D60;Solid;;;;;;;;;;;;;;PART;Duplo, Train Track Curved (short);0.00;0.00;0.00;Joseph 10506-1;A;1;
;;441;85;1,8920;1;;id6391color85.jpg;;U;PART;6391;;Y;58,00;;EUR;Duplo, Train;;;PART;;Dark Bluish Gray;595D60;Solid;;;;;;;;;;;;;;PART;Duplo, Train Track with Ramps for Car Crossing;10.00;10.00;0.50;Joseph 10506-1;A;1;
;;1037;3;0,1328;1;;id6510color3.jpg;;U;PART;6510;;Y;4,00;;EUR;Duplo, Plant;;;PART;;Yellow;FFE001;Solid;;;;;;;;;;;;;;PART;Duplo, Plant Flower with Stud;3.00;3.00;1.00;Joseph 10506-1;A;1;
;;417;1;0,1647;1;;id76371color1.jpg;;U;PART;76371;;Y;8,10;;EUR;Duplo, Brick;;;PART;;White;FFFFFF;Solid;;;;;;;;;;;;;;PART;Duplo, Brick 1 x 2 x 2 with Bottom Tube;1.00;2.00;2.00;Joseph 10506-1;A;1;
;;585;86;0,5791;1;;id10566color86.jpg;;U;PART;10566;;Y;2,13;;EUR;Duplo, Figure Wear & Utensil;;;PART;;Light Bluish Gray;AFB5C7;Solid;;;;;;;;;;;;;;PART;Duplo Utensil Shovel / Spade with D Handle and Short Blade &#40 total length 75mm&#41 ;0.00;0.00;0.00;Joseph 10508-1;A;1;
;;417;34;0,3840;4;;id11198color34.jpg;;U;PART;11198;;Y;20,00;;EUR;Duplo, Brick;;;PART;;Lime;C4E000;Solid;;;;;;;;;;;;;;PART;Duplo, Brick 2 x 4 x 2 Arch;2.00;4.00;2.00;Joseph 10508-1;A;1;
