ITEMID;QTY;COLORNAME;BOX;ROW;COLUMN
3788;16;White;Casier Grand Noir;A;1
3788;9;Yellow;Casier Grand Noir;A;1
3788;2;Orange;Casier Grand Noir;A;1
3788;14;Red;Casier Grand Noir;A;1
3788;4;Blue;Casier Grand Noir;A;1
3788;5;Black;Casier Grand Noir;A;1
60212;2;White;Casier Grand Noir;A;1
6215;8;Yellow;Casier Grand Noir;A;2
6215;3;Red;Casier Grand Noir;A;2
6215;4;Green;Casier Grand Noir;A;2
6215;6;Blue;Casier Grand Noir;A;2
6215;3;Light Bluish Gray;Casier Grand Noir;A;2
3479;7;White;Casier Grand Noir;A;3
3479;2;Red;Casier Grand Noir;A;3
3479;1;Light Gray;Casier Grand Noir;A;3
3479;7;Black;Casier Grand Noir;A;3
44661;2;White;Casier Grand Noir;A;3
44661;1;Black;Casier Grand Noir;A;3
3587pb02;1;Black;Casier Grand Noir;A;3
32015;3;White;Casier Grand Noir;A;4
32015;15;Black;Casier Grand Noir;A;4
32015;1;Light Bluish Gray;Casier Grand Noir;A;4
6538b;10;Yellow;Casier Grand Noir;A;4
6538b;2;Orange;Casier Grand Noir;A;4
6538b;10;Red;Casier Grand Noir;A;4
6538b;5;Light Gray;Casier Grand Noir;A;4
6538b;49;Black;Casier Grand Noir;A;4
6538b;21;Dark Bluish Gray;Casier Grand Noir;A;4
6538b;2;Light Bluish Gray;Casier Grand Noir;A;4
6538b;2;Brown;Casier Grand Noir;A;4
32013;12;White;Casier Grand Noir;A;5
32013;2;Tan;Casier Grand Noir;A;5
32013;5;Yellow;Casier Grand Noir;A;5
32013;4;Orange;Casier Grand Noir;A;5
32013;3;Red;Casier Grand Noir;A;5
32013;1;Blue;Casier Grand Noir;A;5
32013;40;Black;Casier Grand Noir;A;5
32013;1;Pearl Light Gray;Casier Grand Noir;A;5
32013;5;Dark Bluish Gray;Casier Grand Noir;A;5
32013;2;Reddish Brown;Casier Grand Noir;A;5
32034;2;Orange;Casier Grand Noir;A;5
32034;1;Red;Casier Grand Noir;A;5
32034;11;Black;Casier Grand Noir;A;5
32034;6;Light Bluish Gray;Casier Grand Noir;A;5
32034;3;Reddish Brown;Casier Grand Noir;A;5
32138;1;White;Casier Grand Noir;B;1
32138;12;Black;Casier Grand Noir;B;1
32138;2;Lime;Casier Grand Noir;B;1
48989;13;Light Bluish Gray;Casier Grand Noir;B;1
55615;4;Light Bluish Gray;Casier Grand Noir;B;1
3960;1;Bright Light Orange;Casier Grand Noir;B;2
3960;1;Light Gray;Casier Grand Noir;B;2
3960;1;Black;Casier Grand Noir;B;2
3960;1;Pink;Casier Grand Noir;B;2
3960;1;Dark Blue;Casier Grand Noir;B;2
4740;10;White;Casier Grand Noir;B;2
4740;2;Yellow;Casier Grand Noir;B;2
4740;1;Green;Casier Grand Noir;B;2
4740;1;Blue;Casier Grand Noir;B;2
4740;6;Light Gray;Casier Grand Noir;B;2
4740;4;Dark Gray;Casier Grand Noir;B;2
4740;3;Black;Casier Grand Noir;B;2
4740;2;Trans-Clear;Casier Grand Noir;B;2
4740;1;Trans-Black;Casier Grand Noir;B;2
4740;8;Trans-Dark Blue;Casier Grand Noir;B;2
4740;2;Trans-Light Blue;Casier Grand Noir;B;2
4740;21;Trans-Neon Green;Casier Grand Noir;B;2
4740;36;Trans-Red;Casier Grand Noir;B;2
4740;3;Trans-Neon Orange;Casier Grand Noir;B;2
4740;1;Trans-Green;Casier Grand Noir;B;2
4740;11;Dark Bluish Gray;Casier Grand Noir;B;2
4740;7;Light Bluish Gray;Casier Grand Noir;B;2
43898;2;White;Casier Grand Noir;B;2
43898;2;Dark Bluish Gray;Casier Grand Noir;B;2
3960p02;2;Blue;Casier Grand Noir;B;2
3960p03;2;White;Casier Grand Noir;B;2
3960pb001;1;White;Casier Grand Noir;B;2
3960pb003;1;White;Casier Grand Noir;B;2
3960pb026;1;Glow In Dark White;Casier Grand Noir;B;2
3960pb030;1;Black;Casier Grand Noir;B;2
3960px4;1;Dark Gray;Casier Grand Noir;B;2
41678;16;Black;Casier Grand Noir;B;3
41678;4;Light Bluish Gray;Casier Grand Noir;B;3
44809;4;Black;Casier Grand Noir;B;3
44809;2;Light Bluish Gray;Casier Grand Noir;B;3
63869;6;Black;Casier Grand Noir;B;3
63869;8;Light Bluish Gray;Casier Grand Noir;B;3
32174;3;Black;Casier Grand Noir;B;4
32174;1;Dark Red;Casier Grand Noir;B;4
32174;3;Dark Bluish Gray;Casier Grand Noir;B;4
32174;1;Medium Blue;Casier Grand Noir;B;4
32291;1;Red;Casier Grand Noir;B;4
32291;1;Green;Casier Grand Noir;B;4
32291;6;Black;Casier Grand Noir;B;4
32291;4;Light Bluish Gray;Casier Grand Noir;B;4
32529;6;Black;Casier Grand Noir;B;4
32529;2;Light Bluish Gray;Casier Grand Noir;B;4
32557;4;Black;Casier Grand Noir;B;4
32557;1;Light Bluish Gray;Casier Grand Noir;B;4
92907;3;Black;Casier Grand Noir;B;4
92907;2;Light Bluish Gray;Casier Grand Noir;B;4
11476;3;Light Bluish Gray;Casier Grand Noir;B;5
14417;10;Dark Bluish Gray;Casier Grand Noir;B;5
14418;3;Light Bluish Gray;Casier Grand Noir;B;5
14419;5;Dark Bluish Gray;Casier Grand Noir;B;5
14704;12;Light Bluish Gray;Casier Grand Noir;B;5
18649;7;Black;Casier Grand Noir;B;5
3581;17;White;Casier Grand Noir;C;1
3581;6;Yellow;Casier Grand Noir;C;1
3581;29;Red;Casier Grand Noir;C;1
3581;4;Brown;Casier Grand Noir;C;1
3581;1;Light Gray;Casier Grand Noir;C;1
3581;6;Black;Casier Grand Noir;C;1
2462;2;White;Casier Grand Noir;C;2
2462;18;Light Gray;Casier Grand Noir;C;2
2462;2;Black;Casier Grand Noir;C;2
2462;4;Light Bluish Gray;Casier Grand Noir;C;2
6107;5;Light Gray;Casier Grand Noir;C;2
6107;1;Black;Casier Grand Noir;C;2
2464;3;Red;Casier Grand Noir;C;3
2464;2;Black;Casier Grand Noir;C;3
3063;5;White;Casier Grand Noir;C;3
3063;7;Yellow;Casier Grand Noir;C;3
3063;11;Red;Casier Grand Noir;C;3
3063;1;Blue;Casier Grand Noir;C;3
3063;4;Light Gray;Casier Grand Noir;C;3
3063;1;Dark Gray;Casier Grand Noir;C;3
3063;4;Black;Casier Grand Noir;C;3
92947;1;Tan;Casier Grand Noir;C;3
92947;3;Red;Casier Grand Noir;C;3
92947;1;Reddish Brown;Casier Grand Noir;C;3
92947;6;Light Bluish Gray;Casier Grand Noir;C;3
92947;1;Dark Brown;Casier Grand Noir;C;3
4592;43;White;Casier Grand Noir;C;4
4592;20;Yellow;Casier Grand Noir;C;4
4592;35;Red;Casier Grand Noir;C;4
4592;12;Blue;Casier Grand Noir;C;4
4592;16;Light Gray;Casier Grand Noir;C;4
4592;37;Black;Casier Grand Noir;C;4
4593;4;White;Casier Grand Noir;C;4
4593;5;Yellow;Casier Grand Noir;C;4
4593;6;Light Gray;Casier Grand Noir;C;4
4593;140;Black;Casier Grand Noir;C;4
4495a;12;Yellow;Casier Grand Noir;C;4
4495a;16;Red;Casier Grand Noir;C;4
4495a;1;Green;Casier Grand Noir;C;4
4495a;5;Blue;Casier Grand Noir;C;4
4495a;4;Pearl Gold;Casier Grand Noir;C;4
890;1;White;Casier Grand Noir;C;5
892;1;White;Casier Grand Noir;C;5
2335;1;White;Casier Grand Noir;C;5
2335;5;Yellow;Casier Grand Noir;C;5
2335;3;Red;Casier Grand Noir;C;5
2335;4;Blue;Casier Grand Noir;C;5
2335;1;Dark Gray;Casier Grand Noir;C;5
2335;4;Black;Casier Grand Noir;C;5
30258;1;White;Casier Grand Noir;C;5
30261;1;White;Casier Grand Noir;C;5
44676;6;Black;Casier Grand Noir;C;5
44676;2;Dark Bluish Gray;Casier Grand Noir;C;5
2335p01;2;White;Casier Grand Noir;C;5
2335p03;3;White;Casier Grand Noir;C;5
2335p30;1;White;Casier Grand Noir;C;5
2335pb159;1;White;Casier Grand Noir;C;5
2335px21;1;White;Casier Grand Noir;C;5
