ITEMID;QTY;COLORNAME;BOX;ROW;COLUMN
2343;8;Trans-Clear;Casier Grand OrangeDeux;A;1
2343;4;Yellow;Casier Grand OrangeDeux;A;1
2343;2;Red;Casier Grand OrangeDeux;A;1
2343;1;Flat Dark Gold;Casier Grand OrangeDeux;A;1
2343;8;Light Gray;Casier Grand OrangeDeux;A;1
3899;2;White;Casier Grand OrangeDeux;A;1
3899;3;Bright Pink;Casier Grand OrangeDeux;A;1
3899;3;Trans-Clear;Casier Grand OrangeDeux;A;1
3899;5;Yellow;Casier Grand OrangeDeux;A;1
3899;13;Red;Casier Grand OrangeDeux;A;1
3899;1;Blue;Casier Grand OrangeDeux;A;1
3899;1;Medium Dark Pink;Casier Grand OrangeDeux;A;1
4341;1;Black;Casier Grand OrangeDeux;A;1
43702pb02;1;Orange;Casier Grand OrangeDeux;A;1
4528;2;Black;Casier Grand OrangeDeux;A;1
4529;2;Black;Casier Grand OrangeDeux;A;1
6254;1;Bright Light Orange;Casier Grand OrangeDeux;A;1
95228;1;Trans-Green;Casier Grand OrangeDeux;A;1
x45;1;White;Casier Grand OrangeDeux;A;1
x45pb01;1;White;Casier Grand OrangeDeux;A;1
x45pb03;6;White;Casier Grand OrangeDeux;A;1
2516;1;White;Casier Grand OrangeDeux;A;2
2516;3;Black;Casier Grand OrangeDeux;A;2
2516;2;Yellow;Casier Grand OrangeDeux;A;2
30035;3;White;Casier Grand OrangeDeux;A;2
30035;4;Black;Casier Grand OrangeDeux;A;2
4360;2;White;Casier Grand OrangeDeux;A;2
4360;8;Black;Casier Grand OrangeDeux;A;2
4449;1;White;Casier Grand OrangeDeux;A;2
4449;3;Black;Casier Grand OrangeDeux;A;2
4449;3;Brown;Casier Grand OrangeDeux;A;2
4449;3;Light Gray;Casier Grand OrangeDeux;A;2
57467a;2;Chrome Silver;Casier Grand OrangeDeux;A;2
6117;5;Trans-Neon Orange;Casier Grand OrangeDeux;A;2
6117;1;Dark Bluish Gray;Casier Grand OrangeDeux;A;2
6117;1;Light Bluish Gray;Casier Grand OrangeDeux;A;2
95199;1;Black;Casier Grand OrangeDeux;A;2
3959;11;Black;Casier Grand OrangeDeux;A;3
3959;5;Yellow;Casier Grand OrangeDeux;A;3
3959;1;Brown;Casier Grand OrangeDeux;A;3
3962b;36;Black;Casier Grand OrangeDeux;A;3
3962b;3;Dark Bluish Gray;Casier Grand OrangeDeux;A;3
4349;4;White;Casier Grand OrangeDeux;A;3
4349;15;Black;Casier Grand OrangeDeux;A;3
4349;1;Yellow;Casier Grand OrangeDeux;A;3
4349;3;Red;Casier Grand OrangeDeux;A;3
4349;3;Dark Bluish Gray;Casier Grand OrangeDeux;A;3
4349;4;Light Gray;Casier Grand OrangeDeux;A;3
10050;1;Copper;Casier Grand OrangeDeux;A;4
18041;2;Flat Silver;Casier Grand OrangeDeux;A;4
18789;1;Flat Silver;Casier Grand OrangeDeux;A;4
21459;3;Black;Casier Grand OrangeDeux;A;4
21459;3;Pearl Gold;Casier Grand OrangeDeux;A;4
21459;5;Yellowish Green;Casier Grand OrangeDeux;A;4
21459;1;Flat Silver;Casier Grand OrangeDeux;A;4
23984;1;White;Casier Grand OrangeDeux;A;4
2530;2;Dark Bluish Gray;Casier Grand OrangeDeux;A;4
30173b;2;Black;Casier Grand OrangeDeux;A;4
30173b;1;Flat Silver;Casier Grand OrangeDeux;A;4
30194;2;Dark Bluish Gray;Casier Grand OrangeDeux;A;4
30228;8;Dark Bluish Gray;Casier Grand OrangeDeux;A;4
323984;5;Black;Casier Grand OrangeDeux;A;4
