ITEMID;QTY;COLORNAME;BOX;ROW;COLUMN
2429;2;Green;Casier Grand OrangeUn;A;1
2429;1;Blue;Casier Grand OrangeUn;A;1
2429;1;Dark Bluish Gray;Casier Grand OrangeUn;A;1
2429;3;Light Bluish Gray;Casier Grand OrangeUn;A;1
2429;3;Light Gray;Casier Grand OrangeUn;A;1
2430;2;Green;Casier Grand OrangeUn;A;1
2430;4;Blue;Casier Grand OrangeUn;A;1
2430;1;Dark Bluish Gray;Casier Grand OrangeUn;A;1
2430;3;Light Bluish Gray;Casier Grand OrangeUn;A;1
2430;3;Light Gray;Casier Grand OrangeUn;A;1
3830;3;White;Casier Grand OrangeUn;A;1
3830;9;Black;Casier Grand OrangeUn;A;1
3830;1;Red;Casier Grand OrangeUn;A;1
3830;3;Blue;Casier Grand OrangeUn;A;1
3830;1;Dark Bluish Gray;Casier Grand OrangeUn;A;1
3830;2;Light Bluish Gray;Casier Grand OrangeUn;A;1
3830;5;Light Gray;Casier Grand OrangeUn;A;1
3831;4;White;Casier Grand OrangeUn;A;1
3831;9;Black;Casier Grand OrangeUn;A;1
3831;1;Red;Casier Grand OrangeUn;A;1
3831;3;Blue;Casier Grand OrangeUn;A;1
3831;1;Dark Bluish Gray;Casier Grand OrangeUn;A;1
3831;2;Light Bluish Gray;Casier Grand OrangeUn;A;1
3831;5;Light Gray;Casier Grand OrangeUn;A;1
98283;4;Medium Nougat;Casier Grand OrangeUn;A;1
98283;6;Dark Tan;Casier Grand OrangeUn;A;1
98283;5;Dark Bluish Gray;Casier Grand OrangeUn;A;1
98283;4;Light Bluish Gray;Casier Grand OrangeUn;A;1
2429;26;Black;Casier Grand OrangeUn;A;2
2429;10;Yellow;Casier Grand OrangeUn;A;2
2429;11;Red;Casier Grand OrangeUn;A;2
2430;30;Black;Casier Grand OrangeUn;A;2
2430;8;Yellow;Casier Grand OrangeUn;A;2
2430;11;Red;Casier Grand OrangeUn;A;2
3176;6;White;Casier Grand OrangeUn;A;2
3176;18;Black;Casier Grand OrangeUn;A;2
3176;1;Tan;Casier Grand OrangeUn;A;2
3176;4;Yellow;Casier Grand OrangeUn;A;2
3176;4;Red;Casier Grand OrangeUn;A;2
3176;2;Blue;Casier Grand OrangeUn;A;2
3176;1;Dark Bluish Gray;Casier Grand OrangeUn;A;2
3176;5;Light Bluish Gray;Casier Grand OrangeUn;A;2
3176;2;Reddish Brown;Casier Grand OrangeUn;A;2
3176;21;Light Gray;Casier Grand OrangeUn;A;2
11478;7;Black;Casier Grand OrangeUn;A;3
2825;2;White;Casier Grand OrangeUn;A;3
2825;6;Black;Casier Grand OrangeUn;A;3
2825;9;Yellow;Casier Grand OrangeUn;A;3
2825;1;Red;Casier Grand OrangeUn;A;3
2825;6;Light Bluish Gray;Casier Grand OrangeUn;A;3
32017;11;Black;Casier Grand OrangeUn;A;3
32017;4;Yellow;Casier Grand OrangeUn;A;3
32017;6;Lime;Casier Grand OrangeUn;A;3
32017;1;Red;Casier Grand OrangeUn;A;3
32017;2;Light Bluish Gray;Casier Grand OrangeUn;A;3
32017;2;Light Gray;Casier Grand OrangeUn;A;3
32063;4;Black;Casier Grand OrangeUn;A;3
32063;4;Light Bluish Gray;Casier Grand OrangeUn;A;3
32065;2;Black;Casier Grand OrangeUn;A;3
2429;12;White;Casier Grand OrangeUn;A;4
2430;13;White;Casier Grand OrangeUn;A;4
6541;4;White;Casier Grand OrangeUn;A;4
6541;15;Black;Casier Grand OrangeUn;A;4
6541;12;Yellow;Casier Grand OrangeUn;A;4
6541;20;Red;Casier Grand OrangeUn;A;4
6541;20;Green;Casier Grand OrangeUn;A;4
6541;4;Blue;Casier Grand OrangeUn;A;4
6541;4;Brown;Casier Grand OrangeUn;A;4
30364;4;White;Casier Grand OrangeUn;A;5
30364;1;Yellow;Casier Grand OrangeUn;A;5
30364;11;Dark Bluish Gray;Casier Grand OrangeUn;A;5
30364;4;Light Bluish Gray;Casier Grand OrangeUn;A;5
30365;1;Dark Gray;Casier Grand OrangeUn;A;5
30365;1;Red;Casier Grand OrangeUn;A;5
30365;3;Dark Bluish Gray;Casier Grand OrangeUn;A;5
30365;3;Light Bluish Gray;Casier Grand OrangeUn;A;5
