ITEMID;QTY;COLORNAME;BOX;ROW;COLUMN
30136;39;Brown;Casier Moyen Bleue;A;1
30136;70;Reddish Brown;Casier Moyen Bleue;A;1
30137;23;Brown;Casier Moyen Bleue;A;1
30137;14;Reddish Brown;Casier Moyen Bleue;A;1
2431;6;Tan;Casier Moyen Bleue;A;2
2431;9;Lime;Casier Moyen Bleue;A;2
2431;4;Orange;Casier Moyen Bleue;A;2
2431;3;Dark Blue;Casier Moyen Bleue;A;2
2431;8;Dark Orange;Casier Moyen Bleue;A;2
2431;13;Brown;Casier Moyen Bleue;A;2
2431;1;Reddish Brown;Casier Moyen Bleue;A;2
3068b;1;Bright Light Orange;Casier Moyen Bleue;A;2
3068b;2;Lime;Casier Moyen Bleue;A;2
3068b;5;Sand Green;Casier Moyen Bleue;A;2
3068b;11;Dark Red;Casier Moyen Bleue;A;2
3068b;2;Dark Blue;Casier Moyen Bleue;A;2
3068b;18;Dark Tan;Casier Moyen Bleue;A;2
3068b;4;Dark Green;Casier Moyen Bleue;A;2
6636;1;Tan;Casier Moyen Bleue;A;2
6636;4;Medium Orange;Casier Moyen Bleue;A;2
6636;2;Lime;Casier Moyen Bleue;A;2
6636;2;Orange;Casier Moyen Bleue;A;2
6636;5;Dark Blue;Casier Moyen Bleue;A;2
6636;14;Dark Tan;Casier Moyen Bleue;A;2
6636;10;Brown;Casier Moyen Bleue;A;2
2743;1;Black;Casier Moyen Bleue;A;3
2743;1;Dark Bluish Gray;Casier Moyen Bleue;A;3
3069b;2;Dark Brown;Casier Moyen Bleue;A;3
3069b;1;Medium Nougat;Casier Moyen Bleue;A;3
3069b;3;Medium Azure;Casier Moyen Bleue;A;3
3069b;13;Tan;Casier Moyen Bleue;A;3
3069b;34;Lime;Casier Moyen Bleue;A;3
3069b;11;Orange;Casier Moyen Bleue;A;3
3069b;8;Dark Red;Casier Moyen Bleue;A;3
3069b;1;Pearl Light Gray;Casier Moyen Bleue;A;3
3069b;8;Brown;Casier Moyen Bleue;A;3
3069b;5;Dark Bluish Gray;Casier Moyen Bleue;A;3
47720;7;Black;Casier Moyen Bleue;A;3
47720;2;Light Bluish Gray;Casier Moyen Bleue;A;3
32316;3;White;Casier Moyen Bleue;A;4
32316;23;Black;Casier Moyen Bleue;A;4
32316;1;Yellow;Casier Moyen Bleue;A;4
32316;5;Lime;Casier Moyen Bleue;A;4
32316;7;Orange;Casier Moyen Bleue;A;4
32316;5;Red;Casier Moyen Bleue;A;4
32316;9;Blue;Casier Moyen Bleue;A;4
32316;2;Dark Bluish Gray;Casier Moyen Bleue;A;4
32316;5;Light Bluish Gray;Casier Moyen Bleue;A;4
30157;12;Dark Gray;Casier Moyen Bleue;B;1
30157;1;Brown;Casier Moyen Bleue;B;1
30157;2;Dark Bluish Gray;Casier Moyen Bleue;B;1
30157;5;Light Bluish Gray;Casier Moyen Bleue;B;1
30157;3;Reddish Brown;Casier Moyen Bleue;B;1
30157;2;Light Gray;Casier Moyen Bleue;B;1
63864;6;White;Casier Moyen Bleue;B;2
63864;1;Black;Casier Moyen Bleue;B;2
63864;1;Yellow;Casier Moyen Bleue;B;2
63864;4;Red;Casier Moyen Bleue;B;2
63864;2;Blue;Casier Moyen Bleue;B;2
63864;3;Dark Bluish Gray;Casier Moyen Bleue;B;2
63864;5;Light Bluish Gray;Casier Moyen Bleue;B;2
87079;10;White;Casier Moyen Bleue;B;2
87079;1;Black;Casier Moyen Bleue;B;2
87079;1;Red;Casier Moyen Bleue;B;2
87079;2;Blue;Casier Moyen Bleue;B;2
87079;6;Dark Bluish Gray;Casier Moyen Bleue;B;2
87079;4;Light Bluish Gray;Casier Moyen Bleue;B;2
87079;1;Brown;Casier Moyen Bleue;B;2
87580;3;Pearl Gold;Casier Moyen Bleue;B;2
87580;3;Tan;Casier Moyen Bleue;B;2
87580;1;Yellow;Casier Moyen Bleue;B;2
87580;1;Red;Casier Moyen Bleue;B;2
87580;1;Dark Blue;Casier Moyen Bleue;B;2
87580;2;Dark Tan;Casier Moyen Bleue;B;2
87580;8;Dark Bluish Gray;Casier Moyen Bleue;B;2
87580;1;Light Bluish Gray;Casier Moyen Bleue;B;2
132old;14;Black;Casier Moyen Bleue;C;1
2994;2;Black;Casier Moyen Bleue;C;1
2994;1;Yellow;Casier Moyen Bleue;C;1
32007;5;Yellow;Casier Moyen Bleue;C;1
56902;14;Light Bluish Gray;Casier Moyen Bleue;C;1
3641;40;Black;Casier Moyen Bleue;C;2
3641;40;Black;Casier Moyen Bleue;C;3
30155;16;Black;Casier Moyen Bleue;C;4
30155;1;Tan;Casier Moyen Bleue;C;4
30155;9;Dark Bluish Gray;Casier Moyen Bleue;C;4
3482;10;White;Casier Moyen Bleue;C;4
3482;2;Yellow;Casier Moyen Bleue;C;4
6248;8;Yellow;Casier Moyen Bleue;C;4
6248;5;Red;Casier Moyen Bleue;C;4
6248;3;Light Bluish Gray;Casier Moyen Bleue;C;4
3483;54;Black;Casier Moyen Bleue;D;1
3483;19;Black;Casier Moyen Bleue;D;2
61254;4;Black;Casier Moyen Bleue;D;2
6014a;29;White;Casier Moyen Bleue;D;3
6014a;8;Light Gray;Casier Moyen Bleue;D;3
60700;27;Black;Casier Moyen Bleue;D;3
6014b;64;White;Casier Moyen Bleue;D;4
6014b;2;Black;Casier Moyen Bleue;D;4
