ITEMID;QTY;COLORNAME;BOX;ROW;COLUMN
4276;58;White;Casier Moyen Gris;A;1
4276;167;Black;Casier Moyen Gris;A;1
4276;47;Yellow;Casier Moyen Gris;A;1
4276;66;Red;Casier Moyen Gris;A;1
4276;24;Blue;Casier Moyen Gris;A;1
4276;12;Light Gray;Casier Moyen Gris;A;1
4275;13;White;Casier Moyen Gris;A;2
4275;105;Black;Casier Moyen Gris;A;2
4275;63;Yellow;Casier Moyen Gris;A;2
4275;47;Red;Casier Moyen Gris;A;2
4275;55;Blue;Casier Moyen Gris;A;2
4275;10;Light Gray;Casier Moyen Gris;A;2
4315;56;White;Casier Moyen Gris;A;3
4315;48;Black;Casier Moyen Gris;A;3
4315;7;Yellow;Casier Moyen Gris;A;3
4315;27;Red;Casier Moyen Gris;A;3
4315;40;Blue;Casier Moyen Gris;A;3
4315;3;Light Gray;Casier Moyen Gris;A;3
4625;28;White;Casier Moyen Gris;A;4
4625;24;Black;Casier Moyen Gris;A;4
4625;1;Yellow;Casier Moyen Gris;A;4
4625;3;Lime;Casier Moyen Gris;A;4
4625;37;Red;Casier Moyen Gris;A;4
4625;5;Blue;Casier Moyen Gris;A;4
4625;1;Light Gray;Casier Moyen Gris;A;4
2607;4;Black;Casier Moyen Gris;A;5
2607;9;Red;Casier Moyen Gris;A;5
2607;1;Blue;Casier Moyen Gris;A;5
2609a;2;White;Casier Moyen Gris;A;5
2609a;7;Black;Casier Moyen Gris;A;5
30014;1;Dark Gray;Casier Moyen Gris;A;5
30014;10;Black;Casier Moyen Gris;A;5
30082;3;Dark Gray;Casier Moyen Gris;A;5
30159;1;White;Casier Moyen Gris;A;5
3612;8;Black;Casier Moyen Gris;A;5
3612;9;Yellow;Casier Moyen Gris;A;5
3612;2;Red;Casier Moyen Gris;A;5
3612;6;Blue;Casier Moyen Gris;A;5
3612;2;Brown;Casier Moyen Gris;A;5
3612;9;Light Gray;Casier Moyen Gris;A;5
3613;11;White;Casier Moyen Gris;A;5
3613;1;Black;Casier Moyen Gris;A;5
3613;2;Yellow;Casier Moyen Gris;A;5
3613;1;Red;Casier Moyen Gris;A;5
3613;5;Blue;Casier Moyen Gris;A;5
3614a;9;Yellow;Casier Moyen Gris;A;5
412;1;Dark Gray;Casier Moyen Gris;A;5
412;5;Trans-Neon Green;Casier Moyen Gris;A;5
412;8;Trans-Neon Orange;Casier Moyen Gris;A;5
4220;3;Black;Casier Moyen Gris;A;5
4220;3;Yellow;Casier Moyen Gris;A;5
4220;2;Light Gray;Casier Moyen Gris;A;5
4221;10;Black;Casier Moyen Gris;A;5
4221;2;Light Gray;Casier Moyen Gris;A;5
6048;11;Black;Casier Moyen Gris;A;5
6217;5;Black;Casier Moyen Gris;A;5
6217;4;Red;Casier Moyen Gris;A;5
6217;1;Blue;Casier Moyen Gris;A;5
73092;11;Black;Casier Moyen Gris;A;5
795;1;Light Gray;Casier Moyen Gris;A;5
30028;26;Black;Casier Moyen Gris;A;6
42611;6;Black;Casier Moyen Gris;A;6
50945;39;Black;Casier Moyen Gris;A;6
74967;1;White;Casier Moyen Gris;A;6
74967;14;Black;Casier Moyen Gris;A;6
74967;2;Yellow;Casier Moyen Gris;A;6
74967;10;Light Bluish Gray;Casier Moyen Gris;A;6
7b;22;Black;Casier Moyen Gris;A;6
93593;2;Light Bluish Gray;Casier Moyen Gris;A;6
2496;5;Black;Casier Moyen Gris;B;1
