ITEMID;QTY;COLORNAME;BOX;ROW;COLUMN
2877;17;White;Casier Petit Gris;A;1
2877;3;Dark Gray;Casier Petit Gris;A;1
2877;11;Black;Casier Petit Gris;A;1
2877;13;Yellow;Casier Petit Gris;A;1
2877;3;Red;Casier Petit Gris;A;1
2877;10;Green;Casier Petit Gris;A;1
2877;16;Dark Bluish Gray;Casier Petit Gris;A;1
2877;15;Light Bluish Gray;Casier Petit Gris;A;1
2877;2;Reddish Brown;Casier Petit Gris;A;1
30136;8;White;Casier Petit Gris;A;2
30136;1;Dark Gray;Casier Petit Gris;A;2
30136;24;Tan;Casier Petit Gris;A;2
30136;2;Green;Casier Petit Gris;A;2
30136;36;Dark Bluish Gray;Casier Petit Gris;A;2
30136;8;Light Bluish Gray;Casier Petit Gris;A;2
30136;3;Light Gray;Casier Petit Gris;A;2
30137;2;White;Casier Petit Gris;A;2
30137;1;Medium Nougat;Casier Petit Gris;A;2
30137;12;Dark Bluish Gray;Casier Petit Gris;A;2
30137;4;Light Gray;Casier Petit Gris;A;2
3941;12;White;Casier Petit Gris;A;3
3941;13;Black;Casier Petit Gris;A;3
3941;3;Tan;Casier Petit Gris;A;3
3941;62;Yellow;Casier Petit Gris;A;3
3941;3;Lime;Casier Petit Gris;A;3
3941;1;Orange;Casier Petit Gris;A;3
3941;10;Red;Casier Petit Gris;A;3
3941;4;Dark Blue;Casier Petit Gris;A;3
3941;13;Brown;Casier Petit Gris;A;3
3941;6;Dark Bluish Gray;Casier Petit Gris;A;3
3941;5;Light Bluish Gray;Casier Petit Gris;A;3
3941;13;Reddish Brown;Casier Petit Gris;A;3
3941;3;Light Gray;Casier Petit Gris;A;3
2458;11;White;Casier Petit Gris;A;4
2458;1;Dark Gray;Casier Petit Gris;A;4
2458;18;Black;Casier Petit Gris;A;4
2458;1;Tan;Casier Petit Gris;A;4
2458;3;Yellow;Casier Petit Gris;A;4
2458;2;Light Violet;Casier Petit Gris;A;4
2458;13;Red;Casier Petit Gris;A;4
2458;2;Blue;Casier Petit Gris;A;4
2458;8;Dark Bluish Gray;Casier Petit Gris;A;4
2458;4;Light Bluish Gray;Casier Petit Gris;A;4
2458;9;Light Gray;Casier Petit Gris;A;4
3149ac01;5;Red;Casier Petit Gris;A;5
3149c01;1;Black;Casier Petit Gris;A;5
3315;1;Black;Casier Petit Gris;A;5
3315;1;Red;Casier Petit Gris;A;5
3597;1;Black;Casier Petit Gris;A;5
3639;1;Black;Casier Petit Gris;A;5
3639;2;Dark Bluish Gray;Casier Petit Gris;A;5
3640;1;Black;Casier Petit Gris;A;5
3640;1;Red;Casier Petit Gris;A;5
3640;2;Dark Bluish Gray;Casier Petit Gris;A;5
3640;1;Light Gray;Casier Petit Gris;A;5
3679;256;Light Bluish Gray;Casier Petit Gris;B;1
