ITEMID;QTY;COLORNAME;BOX;ROW;COLUMN
32014;2;White;Casier Petit Noir;A;1
32014;16;Black;Casier Petit Noir;A;1
32014;1;Yellow;Casier Petit Noir;A;1
32014;1;Lime;Casier Petit Noir;A;1
32014;1;Orange;Casier Petit Noir;A;1
32014;1;Red;Casier Petit Noir;A;1
32014;2;Blue;Casier Petit Noir;A;1
32014;1;Dark Bluish Gray;Casier Petit Noir;A;1
32014;1;Light Bluish Gray;Casier Petit Noir;A;1
32014;1;Light Gray;Casier Petit Noir;A;1
32016;3;White;Casier Petit Noir;A;1
32016;21;Black;Casier Petit Noir;A;1
32016;1;Pearl Light Gray;Casier Petit Noir;A;1
32016;2;Brown;Casier Petit Noir;A;1
32016;15;Light Bluish Gray;Casier Petit Noir;A;1
32016;1;Light Gray;Casier Petit Noir;A;1
4073;36;White;Casier Petit Noir;A;2
4073;6;Dark Gray;Casier Petit Noir;A;2
4073;5;Bright Pink;Casier Petit Noir;A;2
4073;110;Black;Casier Petit Noir;A;2
4073;89;Pearl Gold;Casier Petit Noir;A;2
4073;17;Tan;Casier Petit Noir;A;2
4073;37;Yellow;Casier Petit Noir;A;2
4073;50;Lime;Casier Petit Noir;A;2
4073;12;Orange;Casier Petit Noir;A;2
4073;177;Red;Casier Petit Noir;A;2
4073;3;Green;Casier Petit Noir;A;2
4073;27;Blue;Casier Petit Noir;A;2
4073;22;Brown;Casier Petit Noir;A;2
4073;59;Dark Bluish Gray;Casier Petit Noir;A;2
4073;60;Light Bluish Gray;Casier Petit Noir;A;2
4073;10;Dark Purple;Casier Petit Noir;A;2
4073;13;Light Gray;Casier Petit Noir;A;2
3023;43;Trans-Clear;Casier Petit Noir;A;3
3023;14;Trans-Neon Yellow;Casier Petit Noir;A;3
3023;4;Trans-Dark Blue;Casier Petit Noir;A;3
3023;4;Trans-Light Blue;Casier Petit Noir;A;3
3023;3;Trans-Red;Casier Petit Noir;A;3
