ITEMID;QTY;COLORNAME;BOX;ROW;COLUMN
2792;2;Black;Malette Noire;B;1
2815;3;Black;Malette Noire;C;3
2850;2;Light Bluish Gray;Malette Noire;C;2
2851;5;Yellow;Malette Noire;C;2
2851;3;Dark Bluish Gray;Malette Noire;C;2
2852;7;Light Bluish Gray;Malette Noire;C;2
3127;1;Red;Malette Noire;A;5
3127;3;Light Gray;Malette Noire;A;5
3648;1;Blue;Malette Noire;C;1
3648;2;Dark Bluish Gray;Malette Noire;C;1
3649;1;Red;Malette Noire;C;1
3711;60;Black;Malette Noire;C;2
3743;5;White;Malette Noire;B;5
3743;5;Light Gray;Malette Noire;B;5
3743;1;Black;Malette Noire;B;5
4185;1;Tan;Malette Noire;C;3
4185;5;Yellow;Malette Noire;C;3
4185;9;Lime;Malette Noire;C;3
4185;1;Light Bluish Gray;Malette Noire;C;3
4352;1;Light Gray;Malette Noire;B;4
4716;1;Light Gray;Malette Noire;B;6
4755;2;White;Malette Noire;A;4
4757;2;Black;Malette Noire;A;4
4758;2;White;Malette Noire;A;4
4767;1;White;Malette Noire;A;4
4771;1;White;Malette Noire;A;4
6573;1;Dark Bluish Gray;Malette Noire;B;7
6585;1;Black;Malette Noire;C;2
15303;6;Trans-Neon Orange;Malette Noire;A;1
15457;1;Dark Bluish Gray;Malette Noire;B;6
18940;1;Light Bluish Gray;Malette Noire;C;2
18942;1;Dark Bluish Gray;Malette Noire;C;2
27938;1;Dark Bluish Gray;Malette Noire;B;6
30104;4;Dark Gray;Malette Noire;B;2
30104;4;Dark Bluish Gray;Malette Noire;B;2
30104;2;Light Bluish Gray;Malette Noire;B;2
30395;7;Dark Bluish Gray;Malette Noire;A;5
32012;1;Blue;Malette Noire;A;5
32012;1;Dark Bluish Gray;Malette Noire;A;5
32269;3;Tan;Malette Noire;C;1
32269;7;Black;Malette Noire;C;1
32269;1;Light Bluish Gray;Malette Noire;C;1
41667;1;Light Bluish Gray;Malette Noire;B;7
44225;1;Light Bluish Gray;Malette Noire;A;3
44224;1;Black;Malette Noire;A;3
45590;8;Black;Malette Noire;B;3
50450;2;Yellow;Malette Noire;Z;0
73071;1;Light Gray;Malette Noire;B;7
92338;3;Pearl Gold;Malette Noire;B;2
12787c01;2;Dark Bluish Gray;Malette Noire;A;2
15301c01;13;Dark Bluish Gray;Malette Noire;A;1
15403c01;6;Black;Malette Noire;A;1
18588c01;5;Black;Malette Noire;A;1
2426c01;1;Black;Malette Noire;B;7
2484c01;3;Red;Malette Noire;B;1
2500c01;2;White;Malette Noire;A;4
2850b;4;Light Bluish Gray;Malette Noire;C;2
2856c03;2;Black;Malette Noire;C;2
3135c02;3;Red;Malette Noire;A;5
32181c04;1;Trans-Clear;Malette Noire;C;4
3430c02;3;Black;Malette Noire;A;3
3650a;3;Light Gray;Malette Noire;C;1
3650b;1;Light Bluish Gray;Malette Noire;C;1
4518bc02;1;Black;Malette Noire;A;3
4760c01;1;Black;Malette Noire;C;4
4760c01pb07;1;White;Malette Noire;C;4
4774c01;3;Black;Malette Noire;A;4
4774c02;1;White;Malette Noire;A;4
57028c01;1;Light Bluish Gray;Malette Noire;C;4
57029c01;1;Black;Malette Noire;C;4
57029c01;1;Dark Bluish Gray;Malette Noire;C;4
6035c01;1;White;Malette Noire;A;4
62520c01;1;Light Bluish Gray;Malette Noire;B;6
731c05;9;Light Gray;Malette Noire;C;4
731c06;2;Light Gray;Malette Noire;C;4
9244c01;2;Light Gray;Malette Noire;B;6
99009c01;1;Light Bluish Gray;Malette Noire;B;7
996bc01;2;Blue;Malette Noire;B;4
bb0046;1;Yellow;Malette Noire;C;4
bb0236bc01;1;Blue;Malette Noire;B;4
x99;1;Black;Malette Noire;A;5
3647;1;Yellow;Malette Noire;C;1
3647;2;Blue;Malette Noire;C;1
3647;20;Light Gray;Malette Noire;C;1
3647;1;Black;Malette Noire;C;1
3647;1;Rust;Malette Noire;C;1
3647;10;Dark Bluish Gray;Malette Noire;C;1
3647;4;Light Bluish Gray;Malette Noire;C;1
3647;1;Dark Purple;Malette Noire;C;1
4019;7;Light Gray;Malette Noire;C;1
4143;5;Light Gray;Malette Noire;C;1
6542;3;Dark Gray;Malette Noire;C;1
6589;5;Tan;Malette Noire;C;1
10928;2;Dark Bluish Gray;Malette Noire;C;1
32198;2;Tan;Malette Noire;C;1
32270;1;Light Gray;Malette Noire;C;1
32270;21;Black;Malette Noire;C;1
32270;2;Light Bluish Gray;Malette Noire;C;1
87407;12;Light Bluish Gray;Malette Noire;C;1
94925;8;Light Bluish Gray;Malette Noire;C;1
