ITEMID;QTY;COLORNAME;BOX;ROW;COLUMN
1;3;White;Penta Tiroir GrisMetal;B;1
2;1;White;Penta Tiroir GrisMetal;B;1
2;2;Red;Penta Tiroir GrisMetal;B;1
2;2;Blue;Penta Tiroir GrisMetal;B;1
3;2;White;Penta Tiroir GrisMetal;B;1
3;2;Yellow;Penta Tiroir GrisMetal;B;1
3;5;Red;Penta Tiroir GrisMetal;B;1
837;2;White;Penta Tiroir GrisMetal;B;1
838;2;Yellow;Penta Tiroir GrisMetal;B;1
839;1;White;Penta Tiroir GrisMetal;B;1
840c01;1;White;Penta Tiroir GrisMetal;B;1
30181;4;Black;Penta Tiroir GrisMetal;B;10
30181;1;Light Gray;Penta Tiroir GrisMetal;B;10
30185c05pb01;6;Black;Penta Tiroir GrisMetal;B;10
4447;7;White;Penta Tiroir GrisMetal;B;11
4447;13;Black;Penta Tiroir GrisMetal;B;11
4447;2;Yellow;Penta Tiroir GrisMetal;B;11
4447;4;Red;Penta Tiroir GrisMetal;B;11
4447;4;Blue;Penta Tiroir GrisMetal;B;11
6159c01;2;White;Penta Tiroir GrisMetal;B;11
6179pb029;1;Light Bluish Gray;Penta Tiroir GrisMetal;B;12
6179pb030;1;Light Bluish Gray;Penta Tiroir GrisMetal;B;12
6179pb081;2;Light Bluish Gray;Penta Tiroir GrisMetal;B;12
6180;2;White;Penta Tiroir GrisMetal;B;12
6180;4;Black;Penta Tiroir GrisMetal;B;12
6180;21;Medium Violet;Penta Tiroir GrisMetal;B;12
6180;1;Light Bluish Gray;Penta Tiroir GrisMetal;B;12
6180pb025;2;Light Bluish Gray;Penta Tiroir GrisMetal;B;12
3853;14;White;Penta Tiroir GrisMetal;B;13
3853;2;Black;Penta Tiroir GrisMetal;B;13
3853;3;Tan;Penta Tiroir GrisMetal;B;13
3853;6;Yellow;Penta Tiroir GrisMetal;B;13
3853;25;Red;Penta Tiroir GrisMetal;B;13
3853;5;Blue;Penta Tiroir GrisMetal;B;13
3861;17;White;Penta Tiroir GrisMetal;B;14
3861;6;Black;Penta Tiroir GrisMetal;B;14
3861;16;Yellow;Penta Tiroir GrisMetal;B;14
3861;8;Red;Penta Tiroir GrisMetal;B;14
3861;4;Blue;Penta Tiroir GrisMetal;B;14
30077;1;White;Penta Tiroir GrisMetal;B;15
30077;7;Yellow;Penta Tiroir GrisMetal;B;15
33303;1;White;Penta Tiroir GrisMetal;B;15
6079;11;White;Penta Tiroir GrisMetal;B;15
6079;3;Black;Penta Tiroir GrisMetal;B;15
52031;4;White;Penta Tiroir GrisMetal;B;16
52031pb019;1;White;Penta Tiroir GrisMetal;B;16
52031pb020;1;White;Penta Tiroir GrisMetal;B;16
604c01;3;White;Penta Tiroir GrisMetal;B;16
604c01;3;White;Penta Tiroir GrisMetal;B;16
60596;11;Black;Penta Tiroir GrisMetal;B;16
2345;11;Black;Penta Tiroir GrisMetal;B;17
2345;2;Light Gray;Penta Tiroir GrisMetal;B;17
2345pb06;3;Black;Penta Tiroir GrisMetal;B;17
30246;1;Black;Penta Tiroir GrisMetal;B;17
4444;1;Black;Penta Tiroir GrisMetal;B;17
4444;1;Light Gray;Penta Tiroir GrisMetal;B;17
4444p02;1;Light Gray;Penta Tiroir GrisMetal;B;17
6179;1;White;Penta Tiroir GrisMetal;B;18
6179;1;Yellow;Penta Tiroir GrisMetal;B;18
45677;4;White;Penta Tiroir GrisMetal;B;19
45677;1;Black;Penta Tiroir GrisMetal;B;19
45677;5;Red;Penta Tiroir GrisMetal;B;19
45677;3;Reddish Brown;Penta Tiroir GrisMetal;B;19
45677pb001;1;Red;Penta Tiroir GrisMetal;B;19
45677pb012;1;Yellow;Penta Tiroir GrisMetal;B;19
45677pb062;4;Reddish Brown;Penta Tiroir GrisMetal;B;19
4598;2;White;Penta Tiroir GrisMetal;B;2
4598;4;Black;Penta Tiroir GrisMetal;B;2
4598;2;Tan;Penta Tiroir GrisMetal;B;2
4598;1;Yellow;Penta Tiroir GrisMetal;B;2
4598;1;Red;Penta Tiroir GrisMetal;B;2
4598;2;Blue;Penta Tiroir GrisMetal;B;2
4131;1;White;Penta Tiroir GrisMetal;B;20
4131;1;Black;Penta Tiroir GrisMetal;B;20
4131;1;Pink;Penta Tiroir GrisMetal;B;20
4131;1;Yellow;Penta Tiroir GrisMetal;B;20
4131;9;Red;Penta Tiroir GrisMetal;B;20
453ac01;9;White;Penta Tiroir GrisMetal;B;21
453ac01;35;Red;Penta Tiroir GrisMetal;B;21
7026;30;White;Penta Tiroir GrisMetal;B;22
7026;89;Red;Penta Tiroir GrisMetal;B;22
31bc01;2;White;Penta Tiroir GrisMetal;B;23
31bc01;8;Red;Penta Tiroir GrisMetal;B;23
31b;1;White;Penta Tiroir GrisMetal;B;24
31b;12;Red;Penta Tiroir GrisMetal;B;24
27bc01;1;Red;Penta Tiroir GrisMetal;B;25
27c01;1;Red;Penta Tiroir GrisMetal;B;25
29c01;1;Red;Penta Tiroir GrisMetal;B;25
39bc01;5;Red;Penta Tiroir GrisMetal;B;25
39c01;2;Yellow;Penta Tiroir GrisMetal;B;25
32bc01;1;White;Penta Tiroir GrisMetal;B;26
32bc01;2;Red;Penta Tiroir GrisMetal;B;26
33bc01;1;White;Penta Tiroir GrisMetal;B;26
33bc01;6;Red;Penta Tiroir GrisMetal;B;26
7026b;2;White;Penta Tiroir GrisMetal;B;27
7026b;19;Red;Penta Tiroir GrisMetal;B;27
7026;6;Yellow;Penta Tiroir GrisMetal;B;28
4133;4;White;Penta Tiroir GrisMetal;B;29
4133;15;Yellow;Penta Tiroir GrisMetal;B;29
4133;16;Red;Penta Tiroir GrisMetal;B;29
4133;1;Light Gray;Penta Tiroir GrisMetal;B;29
4132;6;Black;Penta Tiroir GrisMetal;B;30
4132;1;Pink;Penta Tiroir GrisMetal;B;30
4132;13;Yellow;Penta Tiroir GrisMetal;B;30
4132;30;Red;Penta Tiroir GrisMetal;B;30
4132;5;Blue;Penta Tiroir GrisMetal;B;30
4132pb01;8;Blue;Penta Tiroir GrisMetal;B;30
4209p01;1;Red;Penta Tiroir GrisMetal;B;30
60599;2;White;Penta Tiroir GrisMetal;B;31
60599;1;Light Bluish Gray;Penta Tiroir GrisMetal;B;31
30179;3;White;Penta Tiroir GrisMetal;B;32
30179;8;Black;Penta Tiroir GrisMetal;B;32
30179;2;Dark Bluish Gray;Penta Tiroir GrisMetal;B;32
57518;4;Dark Bluish Gray;Penta Tiroir GrisMetal;B;32
57894;9;White;Penta Tiroir GrisMetal;B;32
57894;6;Dark Bluish Gray;Penta Tiroir GrisMetal;B;32
60596;1;White;Penta Tiroir GrisMetal;B;32
60596;2;Tan;Penta Tiroir GrisMetal;B;32
60596;5;Red;Penta Tiroir GrisMetal;B;32
2352b;1;Pink;Penta Tiroir GrisMetal;B;33
2352b;9;Yellow;Penta Tiroir GrisMetal;B;33
2352b;1;Red;Penta Tiroir GrisMetal;B;33
30223;2;Brown;Penta Tiroir GrisMetal;B;33
3644;2;White;Penta Tiroir GrisMetal;B;33
3644;1;Black;Penta Tiroir GrisMetal;B;33
3644;3;Trans-Clear;Penta Tiroir GrisMetal;B;33
3644;1;Yellow;Penta Tiroir GrisMetal;B;33
4071;2;Black;Penta Tiroir GrisMetal;B;33
4071;1;Light Gray;Penta Tiroir GrisMetal;B;33
4130;1;Pink;Penta Tiroir GrisMetal;B;33
4130;7;Yellow;Penta Tiroir GrisMetal;B;33
4130;3;Red;Penta Tiroir GrisMetal;B;33
4611;2;Dark Gray;Penta Tiroir GrisMetal;B;33
4611;2;Black;Penta Tiroir GrisMetal;B;33
4741;2;Red;Penta Tiroir GrisMetal;B;33
600;1;White;Penta Tiroir GrisMetal;B;33
60806;4;White;Penta Tiroir GrisMetal;B;33
6235;3;Red;Penta Tiroir GrisMetal;B;33
604c01;8;Red;Penta Tiroir GrisMetal;B;34
604c01;8;Red;Penta Tiroir GrisMetal;B;34
453bc01;2;White;Penta Tiroir GrisMetal;B;35
453bc01;6;Red;Penta Tiroir GrisMetal;B;35
645;3;White;Penta Tiroir GrisMetal;B;4
645;1;Red;Penta Tiroir GrisMetal;B;4
645bc01;1;White;Penta Tiroir GrisMetal;B;4
645bc01;4;White;Penta Tiroir GrisMetal;B;4
645bc01;9;Red;Penta Tiroir GrisMetal;B;4
645bc01;10;Red;Penta Tiroir GrisMetal;B;4
646;1;White;Penta Tiroir GrisMetal;B;5
646;4;Red;Penta Tiroir GrisMetal;B;5
646bc01;2;White;Penta Tiroir GrisMetal;B;5
646bc01;2;White;Penta Tiroir GrisMetal;B;5
646bc01;4;Red;Penta Tiroir GrisMetal;B;5
2554;4;Brown;Penta Tiroir GrisMetal;B;6
2584;4;Black;Penta Tiroir GrisMetal;B;6
2584;1;Red;Penta Tiroir GrisMetal;B;6
2584;1;Light Gray;Penta Tiroir GrisMetal;B;6
2584;7;Light Gray;Penta Tiroir GrisMetal;B;6
4209;1;White;Penta Tiroir GrisMetal;B;6
4209;1;Black;Penta Tiroir GrisMetal;B;6
4209;5;Red;Penta Tiroir GrisMetal;B;6
4209;1;Brown;Penta Tiroir GrisMetal;B;6
88646;6;Black;Penta Tiroir GrisMetal;B;7
88646;1;Orange;Penta Tiroir GrisMetal;B;7
