ITEMID;QTY;COLORNAME;BOX;ROW;COLUMN
3005;100;White;Penta Tiroir Mauve;A;1
50990a;2;Trans-Clear;Penta Tiroir Mauve;A;1
3004;150;Blue;Penta Tiroir Mauve;A;10
2357;25;Black;Penta Tiroir Mauve;A;11
3004;313;Black;Penta Tiroir Mauve;A;11
2357;2;Light Bluish Gray;Penta Tiroir Mauve;A;12
2357;29;Light Gray;Penta Tiroir Mauve;A;12
3004;29;Light Gray;Penta Tiroir Mauve;A;12
3005;50;Yellow;Penta Tiroir Mauve;A;2
4476a;7;Black;Penta Tiroir Mauve;A;2
4476a;1;Blue;Penta Tiroir Mauve;A;2
4476b;9;White;Penta Tiroir Mauve;A;2
4476b;7;Black;Penta Tiroir Mauve;A;2
4476b;2;Yellow;Penta Tiroir Mauve;A;2
4476b;4;Red;Penta Tiroir Mauve;A;2
4732;7;Black;Penta Tiroir Mauve;A;2
4732;1;Orange;Penta Tiroir Mauve;A;2
4732;3;Red;Penta Tiroir Mauve;A;2
4732;1;Brown;Penta Tiroir Mauve;A;2
6066;1;Light Gray;Penta Tiroir Mauve;A;2
3005;50;Red;Penta Tiroir Mauve;A;3
3005;30;Blue;Penta Tiroir Mauve;A;4
3005;50;Black;Penta Tiroir Mauve;A;5
4444p04;1;Black;Penta Tiroir Mauve;A;5
3005;30;Light Gray;Penta Tiroir Mauve;A;6
2357;23;White;Penta Tiroir Mauve;A;7
3004;297;White;Penta Tiroir Mauve;A;7
2357;13;Yellow;Penta Tiroir Mauve;A;8
3004;262;Yellow;Penta Tiroir Mauve;A;8
2357;19;Red;Penta Tiroir Mauve;A;9
3004;200;Red;Penta Tiroir Mauve;A;9
3961;2;Black;Penta Tiroir Mauve;B;1
3961px2;2;White;Penta Tiroir Mauve;B;1
4094;1;Pink;Penta Tiroir Mauve;B;1
4094;1;Lime;Penta Tiroir Mauve;B;1
4285a;2;Light Gray;Penta Tiroir Mauve;B;1
44375a;1;Light Bluish Gray;Penta Tiroir Mauve;B;1
6177;1;White;Penta Tiroir Mauve;B;1
2681;1;Black;Penta Tiroir Mauve;B;2
30517;1;Dark Gray;Penta Tiroir Mauve;B;2
30517;4;Yellow;Penta Tiroir Mauve;B;2
57893;5;Dark Bluish Gray;Penta Tiroir Mauve;B;2
58827;3;Black;Penta Tiroir Mauve;B;2
58827;4;Yellow;Penta Tiroir Mauve;B;2
58827;1;Dark Bluish Gray;Penta Tiroir Mauve;B;2
64448;1;Red;Penta Tiroir Mauve;B;2
95347;2;Black;Penta Tiroir Mauve;B;2
30183;1;White;Penta Tiroir Mauve;B;3
30283;1;Black;Penta Tiroir Mauve;B;3
30283;1;Orange;Penta Tiroir Mauve;B;3
32083;1;Orange;Penta Tiroir Mauve;B;3
4080;1;Lime;Penta Tiroir Mauve;B;3
4080;3;Orange;Penta Tiroir Mauve;B;3
4597;1;White;Penta Tiroir Mauve;B;3
4597;1;Black;Penta Tiroir Mauve;B;3
4597;2;Dark Gray;Penta Tiroir Mauve;B;3
818;2;Blue;Penta Tiroir Mauve;B;3
2539;2;Black;Penta Tiroir Mauve;B;4
2549;1;Brown;Penta Tiroir Mauve;B;4
30036;2;Dark Bluish Gray;Penta Tiroir Mauve;B;4
30041;1;Black;Penta Tiroir Mauve;B;4
30041;2;Tan;Penta Tiroir Mauve;B;4
30041;3;Dark Bluish Gray;Penta Tiroir Mauve;B;4
30042;1;Black;Penta Tiroir Mauve;B;4
30042;2;Tan;Penta Tiroir Mauve;B;4
30042;3;Dark Bluish Gray;Penta Tiroir Mauve;B;4
30134;1;Black;Penta Tiroir Mauve;B;4
30134;1;Dark Bluish Gray;Penta Tiroir Mauve;B;4
4207;1;Yellow;Penta Tiroir Mauve;B;4
4207;3;Light Bluish Gray;Penta Tiroir Mauve;B;4
4207;2;Light Gray;Penta Tiroir Mauve;B;4
4784;1;Dark Gray;Penta Tiroir Mauve;B;4
6063;2;Dark Bluish Gray;Penta Tiroir Mauve;B;4
2345;1;Black;Penta Tiroir Mauve;B;5
2345;3;Brown;Penta Tiroir Mauve;B;5
30101;3;Dark Bluish Gray;Penta Tiroir Mauve;B;5
40243;8;Dark Bluish Gray;Penta Tiroir Mauve;B;5
40249;2;Dark Bluish Gray;Penta Tiroir Mauve;B;5
4444;1;Black;Penta Tiroir Mauve;B;5
6066;1;Dark Gray;Penta Tiroir Mauve;B;5
6066;5;Black;Penta Tiroir Mauve;B;5
3037;5;White;Penta Tiroir Mauve;C;1
3037;4;Dark Gray;Penta Tiroir Mauve;C;1
3037;17;Black;Penta Tiroir Mauve;C;1
3037;8;Yellow;Penta Tiroir Mauve;C;1
3037;230;Red;Penta Tiroir Mauve;C;1
3037;6;Blue;Penta Tiroir Mauve;C;1
3037;4;Light Gray;Penta Tiroir Mauve;C;1
6005;3;Yellow;Penta Tiroir Mauve;C;10
6005;1;Red;Penta Tiroir Mauve;C;10
88292;2;White;Penta Tiroir Mauve;C;10
88292;14;Black;Penta Tiroir Mauve;C;10
4743;1;White;Penta Tiroir Mauve;C;11
4743;2;Yellow;Penta Tiroir Mauve;C;11
4743;8;Red;Penta Tiroir Mauve;C;11
4743;2;Blue;Penta Tiroir Mauve;C;11
6060;15;White;Penta Tiroir Mauve;C;12
6183;2;White;Penta Tiroir Mauve;C;12
6183;2;Black;Penta Tiroir Mauve;C;12
6183;5;Blue;Penta Tiroir Mauve;C;12
6183;1;Light Bluish Gray;Penta Tiroir Mauve;C;12
2339;1;White;Penta Tiroir Mauve;C;13
2339;18;Black;Penta Tiroir Mauve;C;13
2339;2;Red;Penta Tiroir Mauve;C;13
2339;22;Light Gray;Penta Tiroir Mauve;C;13
30099;3;White;Penta Tiroir Mauve;C;13
30099;2;Red;Penta Tiroir Mauve;C;13
30099;3;Light Gray;Penta Tiroir Mauve;C;13
3245b;24;White;Penta Tiroir Mauve;C;14
3245b;7;Black;Penta Tiroir Mauve;C;14
3245b;2;Yellow;Penta Tiroir Mauve;C;14
3245b;6;Red;Penta Tiroir Mauve;C;14
3245b;2;Light Bluish Gray;Penta Tiroir Mauve;C;14
3245b;1;Light Gray;Penta Tiroir Mauve;C;14
3022;51;White;Penta Tiroir Mauve;C;15
3022;117;Black;Penta Tiroir Mauve;C;15
3022;55;Yellow;Penta Tiroir Mauve;C;15
3022;45;Red;Penta Tiroir Mauve;C;15
3022;45;Blue;Penta Tiroir Mauve;C;15
3022;22;Light Bluish Gray;Penta Tiroir Mauve;C;15
3022;72;Light Gray;Penta Tiroir Mauve;C;15
2420;38;White;Penta Tiroir Mauve;C;16
2420;10;Dark Gray;Penta Tiroir Mauve;C;16
2420;36;Black;Penta Tiroir Mauve;C;16
2420;17;Yellow;Penta Tiroir Mauve;C;16
2420;19;Red;Penta Tiroir Mauve;C;16
2420;3;Blue;Penta Tiroir Mauve;C;16
2420;23;Light Bluish Gray;Penta Tiroir Mauve;C;16
2420;12;Light Gray;Penta Tiroir Mauve;C;16
3023;176;White;Penta Tiroir Mauve;C;16
3023;9;Dark Gray;Penta Tiroir Mauve;C;16
3023;326;Black;Penta Tiroir Mauve;C;16
3023;50;Yellow;Penta Tiroir Mauve;C;16
3023;166;Red;Penta Tiroir Mauve;C;16
3023;62;Blue;Penta Tiroir Mauve;C;16
3023;60;Light Bluish Gray;Penta Tiroir Mauve;C;16
3023;17;Light Gray;Penta Tiroir Mauve;C;16
2454;53;White;Penta Tiroir Mauve;C;2
2454;1;Dark Gray;Penta Tiroir Mauve;C;2
2454;7;Black;Penta Tiroir Mauve;C;2
2454;29;Yellow;Penta Tiroir Mauve;C;2
2454;34;Red;Penta Tiroir Mauve;C;2
2454;1;Light Bluish Gray;Penta Tiroir Mauve;C;2
2454;15;Light Gray;Penta Tiroir Mauve;C;2
2453a;44;White;Penta Tiroir Mauve;C;3
2453a;14;Black;Penta Tiroir Mauve;C;3
2453a;10;Yellow;Penta Tiroir Mauve;C;3
2453a;7;Red;Penta Tiroir Mauve;C;3
2453a;3;Light Bluish Gray;Penta Tiroir Mauve;C;3
2453a;17;Light Gray;Penta Tiroir Mauve;C;3
3754;27;White;Penta Tiroir Mauve;C;4
3754;4;Black;Penta Tiroir Mauve;C;4
3754;25;Yellow;Penta Tiroir Mauve;C;4
3754;4;Red;Penta Tiroir Mauve;C;4
3754;3;Light Gray;Penta Tiroir Mauve;C;4
3755;13;White;Penta Tiroir Mauve;C;5
59349;6;White;Penta Tiroir Mauve;C;6
59349;2;Yellow;Penta Tiroir Mauve;C;6
59349;5;Dark Bluish Gray;Penta Tiroir Mauve;C;6
15254;2;White;Penta Tiroir Mauve;C;7
15254;3;Black;Penta Tiroir Mauve;C;7
15254;19;Yellow;Penta Tiroir Mauve;C;7
15254;9;Red;Penta Tiroir Mauve;C;7
15254;5;Blue;Penta Tiroir Mauve;C;7
15254;1;Dark Bluish Gray;Penta Tiroir Mauve;C;7
15254;2;Light Bluish Gray;Penta Tiroir Mauve;C;7
15254;5;Light Bluish Gray;Penta Tiroir Mauve;C;7
3455;17;White;Penta Tiroir Mauve;C;7
3455;1;Black;Penta Tiroir Mauve;C;7
3455;1;Yellow;Penta Tiroir Mauve;C;7
3455;9;Red;Penta Tiroir Mauve;C;7
3455;11;Light Gray;Penta Tiroir Mauve;C;7
3659;7;White;Penta Tiroir Mauve;C;7
3659;5;Dark Gray;Penta Tiroir Mauve;C;7
3659;3;Black;Penta Tiroir Mauve;C;7
3659;6;Yellow;Penta Tiroir Mauve;C;7
3659;8;Red;Penta Tiroir Mauve;C;7
3659;8;Blue;Penta Tiroir Mauve;C;7
3659;2;Light Bluish Gray;Penta Tiroir Mauve;C;7
3659;8;Light Gray;Penta Tiroir Mauve;C;7
3308;1;White;Penta Tiroir Mauve;C;8
3308;8;Black;Penta Tiroir Mauve;C;8
3308;15;Yellow;Penta Tiroir Mauve;C;8
3308;5;Red;Penta Tiroir Mauve;C;8
3308;1;Light Bluish Gray;Penta Tiroir Mauve;C;8
3308;6;Light Gray;Penta Tiroir Mauve;C;8
6108;6;Black;Penta Tiroir Mauve;C;8
6108;2;Light Gray;Penta Tiroir Mauve;C;8
4490;2;Black;Penta Tiroir Mauve;C;9
