SET;QTY;STATUS;BOX;ROW;COLUMN;REMARKS
42055-1;1;100,00 %;;;;a garder complet
42055-1;1;50,00 %;;;;continuer à construire
42062-1;1;20,00 %;;;;a vendre
42093-1;1;100,00 %;;;;a vendre
21149-1;1;100,00 %;;;;a integrer dans l’inventaire
60154-1;1;50,00 %;;;;garder le bus, le reste dans l’inventaire
21164-1;1;100,00 %;;;;a integrer dans l’inventaire
7899-1;1;99,00 %;;;;a controler
60041-1;1;100,00 %;;;;ne garder que la moto et integrer le reste dans l’inventaire
6175-1;1;100,00 %;;;;a garder complet
6175-1;1;50,00 %;;;;a completer
60091-1;1;100,00 %;;;;conserver seulement le sous-marin
60047-1;1;100,00 %;;;;a conserver
10214-1;1;100,00 %;;;;a customiser
10214-1;1;10,00 %;;;;a customiser
4956-1;3;99,00 %;;;;a conserver
6279-1;1;10,00 %;;;;a integrer dans l’inventaire
3403-1;1;0,00 %;;;;déjà integrer dans l’inventaire
3409-1;1;0,00 %;;;;déjà integrer dans l’inventaire
6745-1;1;100,00 %;;;;a integrer dans l’inventaire
7939-1;1;100,00 %;;;;garder le train et le reste dans l’inventaire
7939-1;1;20,00 %;;;;a customiser
7905-1;1;100,00 %;;;;a garder complet
7632-1;1;99,00 %;;;;a garder complet
7636-1;1;0,00 %;;;;Peut-etre resté à Pont ?
4022-1;1;100,00 %;;;;a garder complet
6544-1;1;99,00 %;;;;a customiser
60077-1;1;100,00 %;;;;a integrer dans l’inventaire
6516-1;1;0,00 %;;;;déjà integrer dans l’inventaire
31026-1;1;99,00 %;;;;a garder complet
31026-1;1;20,00 %;;;;a customiser
7642-1;1;100,00 %;;;;garder les vehicules et mettre le reste dans l’inventaire
7633-1;1;99,00 %;;;;garder les vehicules et customiser le batiment
6332-1;1;100,00 %;;;;a customiser
535-1;1;0,00 %;;;;déjà integrer dans l’inventaire
60150-1;1;100,00 %;;;;a garder complet
7897-1;1;100,00 %;;;;a garder complet
7897-1;1;99,00 %;;;;a customiser
4201-1;1;99,00 %;;;;a garder complet
60020-1;1;100,00 %;;;;a garder complet
60106-1;1;100,00 %;;;;déjà integrer dans l’inventaire
60001-1;1;100,00 %;;;;a garder complet
21113-1;1;100,00 %;;;;déjà integrer dans l’inventaire
5919-1;2;99,00 %;;;;a integrer dans l’inventaire
1356-1;1;100,00 %;;;;déjà integrer dans l’inventaire
1357-1;1;100,00 %;;;;déjà integrer dans l’inventaire
1354-1;1;100,00 %;;;;déjà integrer dans l’inventaire
1355-1;1;100,00 %;;;;déjà integrer dans l’inventaire
6586-1;1;100,00 %;;;;déjà integrer dans l’inventaire
6579-1;1;100,00 %;;;;déjà integrer dans l’inventaire
60013-1;1;100,00 %;;;;a garder complet
60055-1;1;100,00 %;;;;a integrer dans l’inventaire
3180-1;1;100,00 %;;;;a garder complet
6262-1;1;99,00 %;;;;a integrer dans l’inventaire
60134-1;1;100,00 %;;;;a garder complet
6020-1;1;20,00 %;;;;déjà integrer dans l’inventaire
7111-1;1;100,00 %;;;;déjà integrer dans l’inventaire
10246-1;1;100,00 %;;;;a garder complet
60145-1;1;100,00 %;;;;a garder complet
42026-1;1;20,00 %;;;;a integrer dans l’inventaire
42027-1;1;20,00 %;;;;a integrer dans l’inventaire
42045-1;2;20,00 %;;;;a integrer dans l’inventaire
9391-1;1;20,00 %;;;;a integrer dans l’inventaire
42032-1;1;20,00 %;;;;a integrer dans l’inventaire
6416-1;1;50,00 %;;;;a completer
6419-1;1;50,00 %;;;;a completer
60170-1;1;100,00 %;;;;a garder complet
75877-1;1;100,00 %;;;;a garder complet
31053-1;1;100,00 %;;;;a integrer dans l’inventaire
6470-1;1;100,00 %;;;;a garder complet
60228-1;1;100,00 %;;;;garder la fusée le reste dans l’inventaire
60227-1;2;100,00 %;;;;a customiser
