ITEMID;QTY;COLORNAME;BOX;COLUMN;ROW
2730;6;Black;TriTiroir VioletFoncé;A;1
2730;2;Dark Blue;TriTiroir VioletFoncé;A;1
2730;1;Red;TriTiroir VioletFoncé;A;1
2730;3;White;TriTiroir VioletFoncé;A;1
2730;2;Yellow;TriTiroir VioletFoncé;A;1
3702;14;Black;TriTiroir VioletFoncé;A;1
3702;11;Blue;TriTiroir VioletFoncé;A;1
3702;2;Light Bluish Gray;TriTiroir VioletFoncé;A;1
3702;16;Red;TriTiroir VioletFoncé;A;1
3702;3;Yellow;TriTiroir VioletFoncé;A;1
3703;5;Blue;TriTiroir VioletFoncé;A;1
3703;3;Dark Bluish Gray;TriTiroir VioletFoncé;A;1
3703;2;Red;TriTiroir VioletFoncé;A;1
3703;3;Yellow;TriTiroir VioletFoncé;A;1
3738;2;Black;TriTiroir VioletFoncé;A;1
3738;2;Blue;TriTiroir VioletFoncé;A;1
3738;2;Dark Bluish Gray;TriTiroir VioletFoncé;A;1
3738;2;Light Gray;TriTiroir VioletFoncé;A;1
3738;6;Red;TriTiroir VioletFoncé;A;1
3738;2;Yellow;TriTiroir VioletFoncé;A;1
3894;10;Black;TriTiroir VioletFoncé;A;1
3894;2;Blue;TriTiroir VioletFoncé;A;1
3894;5;Dark Bluish Gray;TriTiroir VioletFoncé;A;1
3894;1;Light Bluish Gray;TriTiroir VioletFoncé;A;1
3894;1;Light Gray;TriTiroir VioletFoncé;A;1
3894;11;Red;TriTiroir VioletFoncé;A;1
3894;6;White;TriTiroir VioletFoncé;A;1
3894;3;Yellow;TriTiroir VioletFoncé;A;1
3895;5;Blue;TriTiroir VioletFoncé;A;1
3895;6;Dark Bluish Gray;TriTiroir VioletFoncé;A;1
3895;4;Red;TriTiroir VioletFoncé;A;1
3895;3;Yellow;TriTiroir VioletFoncé;A;1
32001;7;Black;TriTiroir VioletFoncé;A;1
32001;5;Light Bluish Gray;TriTiroir VioletFoncé;A;1
32001;2;Red;TriTiroir VioletFoncé;A;1
32001;1;White;TriTiroir VioletFoncé;A;1
32018;15;Black;TriTiroir VioletFoncé;A;1
32018;18;Dark Bluish Gray;TriTiroir VioletFoncé;A;1
32018;3;Light Bluish Gray;TriTiroir VioletFoncé;A;1
32018;7;Light Gray;TriTiroir VioletFoncé;A;1
32018;8;White;TriTiroir VioletFoncé;A;1
32018;11;Yellow;TriTiroir VioletFoncé;A;1
32324;2;Black;TriTiroir VioletFoncé;A;1
32324;2;Light Bluish Gray;TriTiroir VioletFoncé;A;1
32324;1;White;TriTiroir VioletFoncé;A;1
32531;5;Black;TriTiroir VioletFoncé;A;1
32531;1;Light Gray;TriTiroir VioletFoncé;A;1
32532;2;Light Bluish Gray;TriTiroir VioletFoncé;A;1
32532;2;White;TriTiroir VioletFoncé;A;1
32532;2;Yellow;TriTiroir VioletFoncé;A;1
32555;3;Yellow;TriTiroir VioletFoncé;A;1
3709b;6;Black;TriTiroir VioletFoncé;A;1
3709b;6;Blue;TriTiroir VioletFoncé;A;1
3709b;4;Dark Bluish Gray;TriTiroir VioletFoncé;A;1
3709b;4;Light Bluish Gray;TriTiroir VioletFoncé;A;1
3709b;1;Light Gray;TriTiroir VioletFoncé;A;1
3709b;16;Red;TriTiroir VioletFoncé;A;1
3709b;5;White;TriTiroir VioletFoncé;A;1
3709b;4;Yellow;TriTiroir VioletFoncé;A;1
32524;15;Black;TriTiroir VioletFoncé;A;2
32524;3;Blue;TriTiroir VioletFoncé;A;2
32524;12;Dark Bluish Gray;TriTiroir VioletFoncé;A;2
32524;8;Light Bluish Gray;TriTiroir VioletFoncé;A;2
32524;5;Lime;TriTiroir VioletFoncé;A;2
32524;2;Red;TriTiroir VioletFoncé;A;2
32524;1;White;TriTiroir VioletFoncé;A;2
32524;3;Yellow;TriTiroir VioletFoncé;A;2
32525;7;Black;TriTiroir VioletFoncé;A;3
32525;2;Blue;TriTiroir VioletFoncé;A;3
32525;5;Dark Bluish Gray;TriTiroir VioletFoncé;A;3
32525;5;Light Bluish Gray;TriTiroir VioletFoncé;A;3
32525;2;Orange;TriTiroir VioletFoncé;A;3
35525;4;White;TriTiroir VioletFoncé;A;3
35525;2;Yellow;TriTiroir VioletFoncé;A;3
41239;17;Black;TriTiroir VioletFoncé;A;4
41239;7;Blue;TriTiroir VioletFoncé;A;4
41239;2;Dark Bluish Gray;TriTiroir VioletFoncé;A;4
41239;8;Light Bluish Gray;TriTiroir VioletFoncé;A;4
4217;12;Red;TriTiroir VioletFoncé;A;5
4217;9;White;TriTiroir VioletFoncé;A;5
6056;5;Light Gray;TriTiroir VioletFoncé;A;5
32009;5;Black;TriTiroir VioletFoncé;A;6
32009;2;Blue;TriTiroir VioletFoncé;A;6
32009;2;Dark Bluish Gray;TriTiroir VioletFoncé;A;6
32009;1;Light Bluish Gray;TriTiroir VioletFoncé;A;6
32009;2;Orange;TriTiroir VioletFoncé;A;6
32009;1;Red;TriTiroir VioletFoncé;A;6
32278;8;Black;TriTiroir VioletFoncé;A;7
32278;3;Dark Bluish Gray;TriTiroir VioletFoncé;A;7
32278;1;Green;TriTiroir VioletFoncé;A;7
32278;2;Orange;TriTiroir VioletFoncé;A;7
32278;2;White;TriTiroir VioletFoncé;A;7
32278pb007L;1;Lime;TriTiroir VioletFoncé;A;7
32278pb007R;1;Lime;TriTiroir VioletFoncé;A;7
64782;1;Green;TriTiroir VioletFoncé;A;8
64782;8;Light Bluish Gray;TriTiroir VioletFoncé;A;8
64782pb014L;1;White;TriTiroir VioletFoncé;A;8
64782pb014R;1;White;TriTiroir VioletFoncé;A;8
64782pb015R;1;White;TriTiroir VioletFoncé;A;8
64782pb016L;1;Green;TriTiroir VioletFoncé;A;8
11215;2;Black;TriTiroir VioletFoncé;B;1
11215;1;Light Bluish Gray;TriTiroir VioletFoncé;B;1
64179;4;Light Bluish Gray;TriTiroir VioletFoncé;B;2
32009pb001L;1;Yellow;TriTiroir VioletFoncé;B;3
32009pb001R;1;Yellow;TriTiroir VioletFoncé;B;3
32009pb019L;1;Orange;TriTiroir VioletFoncé;B;3
32009pb019R;1;Orange;TriTiroir VioletFoncé;B;3
6629;1;Black;TriTiroir VioletFoncé;B;4
6629;1;Blue;TriTiroir VioletFoncé;B;4
6629;1;Light Gray;TriTiroir VioletFoncé;B;4
6629;6;Orange;TriTiroir VioletFoncé;B;4
6629;1;Yellow;TriTiroir VioletFoncé;B;4
6259;1;Light Gray;TriTiroir VioletFoncé;B;5
6259;4;White;TriTiroir VioletFoncé;B;5
6259;1;Yellow;TriTiroir VioletFoncé;B;5
6087;8;Black;TriTiroir VioletFoncé;B;6
6087;6;Light Bluish Gray;TriTiroir VioletFoncé;B;6
6087;1;White;TriTiroir VioletFoncé;B;6
4345;7;Black;TriTiroir VioletFoncé;B;7
4345;2;Blue;TriTiroir VioletFoncé;B;7
4345;6;Light Bluish Gray;TriTiroir VioletFoncé;B;7
4345;5;Light Gray;TriTiroir VioletFoncé;B;7
4345;9;Red;TriTiroir VioletFoncé;B;7
4345;1;Trans-Neon Green;TriTiroir VioletFoncé;B;7
4345;2;White;TriTiroir VioletFoncé;B;7
4345;1;Yellow;TriTiroir VioletFoncé;B;7
3956;32;Black;TriTiroir VioletFoncé;B;8
3956;4;Blue;TriTiroir VioletFoncé;B;8
3956;5;Brown;TriTiroir VioletFoncé;B;8
3956;3;Light Bluish Gray;TriTiroir VioletFoncé;B;8
3956;8;Light Gray;TriTiroir VioletFoncé;B;8
3956;13;Red;TriTiroir VioletFoncé;B;8
3956;29;White;TriTiroir VioletFoncé;B;8
2349;1;Black;TriTiroir VioletFoncé;B;9
2349;3;Blue;TriTiroir VioletFoncé;B;9
2349;3;Red;TriTiroir VioletFoncé;B;9
2349;18;White;TriTiroir VioletFoncé;B;9
2349;7;Yellow;TriTiroir VioletFoncé;B;9
4214;6;Black;TriTiroir VioletFoncé;B;10
4214;1;Blue;TriTiroir VioletFoncé;B;10
4214;9;Red;TriTiroir VioletFoncé;B;10
4214;8;White;TriTiroir VioletFoncé;B;10
4214;5;Yellow;TriTiroir VioletFoncé;B;10
6259pb002;1;Yellow;TriTiroir VioletFoncé;B;11
6259pb003;1;Yellow;TriTiroir VioletFoncé;B;11
6259pb017;1;Yellow;TriTiroir VioletFoncé;B;11
4532a;1;Black;TriTiroir VioletFoncé;B;12
