"LOTID";"DATEADDED";"CATEGORY";"COLOR";"PRICE";"QTY";"BULK";"IMAGE";"DESCRIPTION";"CONDITION";"ITEMTYPE";"ITEMID";"SALE";"STOCKROOM";"WEIGHT";"DATELASTSOLD";"CURRENCY";"CATEGORYNAME";"CATNAME1";"CATNAME2";"CATNAME3";"CATNAME4";"COLORNAME";"RGB";"COLORTYPE";"SUBCONDITION";"REMARKS";"TIERQTY1";"TIERPRICE1";"TIERQTY2";"TIERPRICE2";"TIERQTY3";"TIERPRICE3";"RESERVEDFOR";"RETAIN";"SUPERLOTID";"SUPERLOTQTY";"EXTDESCRIPTION";"ITEMTYPENAME";"ITEMIDNAME";"DIMENSIONX";"DIMENSIONY";"DIMENSIONZ";"BOX";"COLUMN";"ROW"
;;441;11;13,1485;1;;"Not Available";;"U";"P";28759;;;73;;;"Duplo, Train";"Duplo";"Train";;;"Black";"#212121";"Solid";;;;;;;;;;;;;;"Part";"Duplo, Train Base 4 x 8 with Rounded Corners, Light Bluish Gray Train Wheels and Yellow Movable Hook";8;4;2;"JoJo";"A";1
;;417;1;0,4902;1;;"Not Available";;"U";"P";3011;;;12,2;;;"Duplo, Brick";"Duplo";"Brick";;;"White";"#FFFFFF";"Solid";;;;;;;;;;;;;;"Part";"Duplo, Brick 2 x 4";2;4;1;"JoJo";"A";1
;;417;11;0,5324;1;;"Not Available";;"U";"P";3011;;;12,2;;;"Duplo, Brick";"Duplo";"Brick";;;"Black";"#212121";"Solid";;;;;;;;;;;;;;"Part";"Duplo, Brick 2 x 4";2;4;1;"JoJo";"A";1
;;417;3;0,4229;1;;"Not Available";;"U";"P";3011;;;12,2;;;"Duplo, Brick";"Duplo";"Brick";;;"Yellow";"#FFE001";"Solid";;;;;;;;;;;;;;"Part";"Duplo, Brick 2 x 4";2;4;1;"JoJo";"A";1
;;417;34;0,336;1;;"Not Available";;"U";"P";3011;;;12,2;;;"Duplo, Brick";"Duplo";"Brick";;;"Lime";"#C4E000";"Solid";;;;;;;;;;;;;;"Part";"Duplo, Brick 2 x 4";2;4;1;"JoJo";"A";1
;;417;4;0,4209;1;;"Not Available";;"U";"P";3011;;;12,2;;;"Duplo, Brick";"Duplo";"Brick";;;"Orange";"#FF7E14";"Solid";;;;;;;;;;;;;;"Part";"Duplo, Brick 2 x 4";2;4;1;"JoJo";"A";1
;;417;42;0,3747;1;;"Not Available";;"U";"P";3011;;;12,2;;;"Duplo, Brick";"Duplo";"Brick";;;"Medium Blue";"#82ADD8";"Solid";;;;;;;;;;;;;;"Part";"Duplo, Brick 2 x 4";2;4;1;"JoJo";"A";1
;;417;6;0,3603;1;;"Not Available";;"U";"P";3011;;;12,2;;;"Duplo, Brick";"Duplo";"Brick";;;"Green";"#00923D";"Solid";;;;;;;;;;;;;;"Part";"Duplo, Brick 2 x 4";2;4;1;"JoJo";"A";1
;;417;68;0,4534;1;;"Not Available";;"U";"P";3011;;;12,2;;;"Duplo, Brick";"Duplo";"Brick";;;"Dark Orange";"#B35408";"Solid";;;;;;;;;;;;;;"Part";"Duplo, Brick 2 x 4";2;4;1;"JoJo";"A";1
;;417;7;0,329;1;;"Not Available";;"U";"P";3011;;;12,2;;;"Duplo, Brick";"Duplo";"Brick";;;"Blue";"#0057A6";"Solid";;;;;;;;;;;;;;"Part";"Duplo, Brick 2 x 4";2;4;1;"JoJo";"A";1
;;441;11;3,4649;1;;"Not Available";;"U";"P";"31300c03";;;58;;;"Duplo, Train";"Duplo";"Train";;;"Black";"#212121";"Solid";;;;;;;;;;;;;;"Part";"Duplo, Train Base 4 x 8 with Light Bluish Gray Train Wheels and Black Movable Hook";"?";"?";"?";"JoJo";"A";1
