ITEMID;QTY;COLORNAME;BOX;ROW;COLUMN
4589;1;Glow In Dark White;;?;?
19220;1;Black;?;?;?
30517;4;Yellow;Casier Moyen Bleue;A;1
30517;1;Dark Bluish Gray;Casier Moyen Bleue;A;1
4476a;1;Blue;Casier Moyen Bleue;A;1
4476b;9;White;Casier Moyen Bleue;A;1
4476b;14;Black;Casier Moyen Bleue;A;1
4476b;2;Yellow;Casier Moyen Bleue;A;1
4476b;4;Red;Casier Moyen Bleue;A;1
58827;3;Black;Casier Moyen Bleue;A;1
58827;4;Yellow;Casier Moyen Bleue;A;1
58827;1;Dark Bluish Gray;Casier Moyen Bleue;A;1
64448;1;Red;Casier Moyen Bleue;A;1
95347;2;Black;Casier Moyen Bleue;A;1
3005;4;Light Bluish Gray;Etagere Indigo;A;5
4445;1;Light Bluish Gray;Etagere Indigo;A;5
60481;1;Light Bluish Gray;Etagere Indigo;A;5
11215;2;Black;Etagere Indigo;C;2
11215;1;Light Bluish Gray;Etagere Indigo;C;2
30078;1;Green;Etagere Indigo;C;2
32278;2;White;Etagere Indigo;C;2
32278;8;Black;Etagere Indigo;C;2
32278;2;Orange;Etagere Indigo;C;2
32278;1;Green;Etagere Indigo;C;2
32278;2;Dark Bluish Gray;Etagere Indigo;C;2
32525;7;Black;Etagere Indigo;C;2
3956;29;White;Etagere Indigo;C;2
3956;32;Black;Etagere Indigo;C;2
3956;13;Red;Etagere Indigo;C;2
3956;4;Blue;Etagere Indigo;C;2
3956;5;Brown;Etagere Indigo;C;2
3956;3;Light Bluish Gray;Etagere Indigo;C;2
3956;8;Light Gray;Etagere Indigo;C;2
41239;17;Black;Etagere Indigo;C;2
41239;7;Blue;Etagere Indigo;C;2
41239;2;Dark Bluish Gray;Etagere Indigo;C;2
41239;8;Light Bluish Gray;Etagere Indigo;C;2
4214;8;White;Etagere Indigo;C;2
4214;6;Black;Etagere Indigo;C;2
4214;5;Yellow;Etagere Indigo;C;2
4214;9;Red;Etagere Indigo;C;2
4214;1;Blue;Etagere Indigo;C;2
4217;9;White;Etagere Indigo;C;2
4217;12;Red;Etagere Indigo;C;2
4345;2;White;Etagere Indigo;C;2
4345;7;Black;Etagere Indigo;C;2
4345;1;Trans-Neon Green;Etagere Indigo;C;2
4345;1;Yellow;Etagere Indigo;C;2
4345;9;Red;Etagere Indigo;C;2
4345;2;Blue;Etagere Indigo;C;2
4345;6;Light Bluish Gray;Etagere Indigo;C;2
4345;5;Light Gray;Etagere Indigo;C;2
4732;7;Black;Etagere Indigo;C;2
4732;1;Orange;Etagere Indigo;C;2
4732;3;Red;Etagere Indigo;C;2
4732;1;Brown;Etagere Indigo;C;2
6056;5;Light Gray;Etagere Indigo;C;2
6087;1;White;Etagere Indigo;C;2
6087;8;Black;Etagere Indigo;C;2
6087;6;Light Bluish Gray;Etagere Indigo;C;2
6259;4;White;Etagere Indigo;C;2
6259;1;Yellow;Etagere Indigo;C;2
6259;1;Light Gray;Etagere Indigo;C;2
64179;4;Light Bluish Gray;Etagere Indigo;C;2
64782;1;Green;Etagere Indigo;C;2
64782;8;Light Bluish Gray;Etagere Indigo;C;2
6629;1;Black;Etagere Indigo;C;2
6629;1;Yellow;Etagere Indigo;C;2
6629;6;Orange;Etagere Indigo;C;2
6629;1;Blue;Etagere Indigo;C;2
6629;1;Light Gray;Etagere Indigo;C;2
87081;1;Dark Bluish Gray;Etagere Indigo;C;2
56898;1;Black;Penta Tiroir GrisMetal;?;?
57518;44;Black;Penta Tiroir GrisMetal;?;?
3676;2;Yellow;Penta Tiroir Mauve;A;1
962;2;Red;Penta Tiroir Mauve;A;1
30249;4;Light Bluish Gray;Penta Tiroir Mauve;A;3
4202;2;Yellow;Penta Tiroir Mauve;A;3
60477;9;Black;Penta Tiroir Mauve;A;3
60477;2;Red;Penta Tiroir Mauve;A;3
30400;1;Black;Penta Tiroir Mauve;A;4
702;3;White;Penta Tiroir Mauve;A;4
702;5;Red;Penta Tiroir Mauve;A;4
4073;3;Glow In Dark White;Petit Noir;A;2
4073;1;Chrome Silver;Petit Noir;A;2
4073;3;Metallic Gold;Petit Noir;A;2
4073;3;Pearl Light Gray;Petit Noir;A;2
4073;6;Metallic Silver;Petit Noir;A;2
3024;56;White;Petit Noir;D;3
3024;49;Black;Petit Noir;D;3
3024;45;Red;Petit Noir;D;3
30263;1;Black;indigo;A;2
30263;1;Yellow;indigo;A;2
30263;1;Light Gray;indigo;A;2
30646b;1;Black;indigo;A;2
92099;1;Dark Bluish Gray;indigo;A;2
