LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;WEIGHT;DATELASTSOLD;CURRENCY;CATEGORYNAME;CATNAME1;CATNAME2;CATNAME3;CATNAME4;COLORNAME;RGB;COLORTYPE;SUBCONDITION;REMARKS;TIERQTY1;TIERPRICE1;TIERQTY2;TIERPRICE2;TIERQTY3;TIERPRICE3;RESERVEDFOR;RETAIN;SUPERLOTID;SUPERLOTQTY;EXTDESCRIPTION;ITEMTYPENAME;ITEMIDNAME;DIMENSIONX;DIMENSIONY;DIMENSIONZ;BOX;COLUMN;ROW
;;;4;0;1;;Not Available;;U;P;10197;;;0;;;;;;P;;;##;;;;;;;;;;;;;;;;;;;;;;;
;;;6;0,00;1;;Not Available;;U;P;18051;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;7;0,00;1;;Not Available;;U;P;18051;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;1;0,00;1;;Not Available;;U;P;18974;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;11;0,00;1;;Not Available;;U;P;18974;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;11;0,00;1;;Not Available;;U;P;18974;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;110;0,00;1;;Not Available;;U;P;18974;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;156;0,00;1;;Not Available;;U;P;18974;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;3;0,00;1;;Not Available;;U;P;18974;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;3;0,00;1;;Not Available;;U;P;18974;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;34;0,00;1;;Not Available;;U;P;18974;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;4;0,00;1;;Not Available;;U;P;18974;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;5;0,00;1;;Not Available;;U;P;18974;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;6;0,00;1;;Not Available;;U;P;18974;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;63;0,00;1;;Not Available;;U;P;18974;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;7;0,00;1;;Not Available;;U;P;18974;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;80;0,00;1;;Not Available;;U;P;18974;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;85;0,00;1;;Not Available;;U;P;18974;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;86;0,00;1;;Not Available;;U;P;18974;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;86;0,00;1;;Not Available;;U;P;18974;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;1;0,00;1;;Not Available;;U;P;24151;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;11;0,00;1;;Not Available;;U;P;24151;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
