"Lot ID","Color","Category","Condition","Sub-Condition","Description","Remarks","Price","Quantity","Bulk","Sale","URL","Item No","Tier Qty 1","Tier Price 1","Tier Qty 2","Tier Price 2","Tier Qty 3","Tier Price 3","Reserved For","Stockroom","Retain","Super Lot ID","Super Lot Qty","Weight","Extended Description","Date Added","Date Last Sold","Currency"

"278027845","Blue","Parts / Aircraft","Used","","Blue Engine, Smooth Large, 1 x 2 Thin Top Plate Etagere Indigo C1","","€9.50","1","1","0%","","4868a","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","3.32","","1/5/2022","","EUR"
"278027846","Black","Parts / Technic, Steering","Used","","Black Technic, Steering Arm Small with Pin Hole and Tow Ball Grand Gris D4","","€7.53","2","1","0%","","6571","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","0.79","","1/5/2022","","EUR"
"278027847","White","Parts / Wedge, Plate","Used","","White Wedge, Plate 8 x 8 with 4 x 4 Cutout Etagere Indigo C3","","€6.84","1","1","0%","","4475","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","4.27","","1/5/2022","","EUR"
"278027848","Brown","Parts / Ladder","Used","","Brown Rope Bridge indigo A2","","€6.50","1","1","0%","","2549","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","8.82","","1/5/2022","","EUR"
"278027849","Yellow","Parts / Technic, Axle","Used","","Yellow Technic, Axle 32L Malette Noir A1","","€6.33","2","1","0%","","50450","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","4.75","","1/5/2022","","EUR"
"278027850","Black","Parts / Panel, Decorated","Used","","Black Panel 2 x 5 x 6 Wall with Window with Window Stones Light Gray Pattern indigo A2","","€6.29","1","1","0%","","4444p04","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","5.9","","1/5/2022","","EUR"
"278027851","White","Parts / Magnet","Used","","White Magnet Holder Plate 2 x 2 Bottom Grand Gris A5","","€6.28","1","1","0%","","30159","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","0.68","","1/5/2022","","EUR"
"278028116","Red","Parts / Window","Used","","Red Window 1 x 4 x 3 Train - Hollow Studs Grand Gris C2","","€0.94","1","1","0%","","4033","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","1.85","","1/5/2022","","EUR"
"278028117","Trans-Clear","Parts / Window, Glass & Shutter, Decorated","Used","","Trans-Clear Glass for Window 1 x 4 x 6 with Dragon Head and Black Chinese Logogram '龍神' &#40;Dragon God&#41; Pattern Bleue H4","","€0.93","1","1","0%","","57895pb008","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","2.66","","1/5/2022","","EUR"
"278028122","Trans-Clear","Parts / Window, Glass & Shutter, Decorated","Used","","Trans-Clear Glass for Window 1 x 4 x 6 with Dragon Tail and Black Chinese Logogram '龍神' &#40;Dragon God&#41; Pattern Bleue H4","","€0.92","1","1","0%","","57895pb009","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","2.66","","1/5/2022","","EUR"
