LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;WEIGHT;DATELASTSOLD;CURRENCY;CATEGORYNAME;CATNAME1;CATNAME2;CATNAME3;CATNAME4;COLORNAME;RGB;COLORTYPE;SUBCONDITION;REMARKS;TIERQTY1;TIERPRICE1;TIERQTY2;TIERPRICE2;TIERQTY3;TIERPRICE3;RESERVEDFOR;RETAIN;SUPERLOTID;SUPERLOTQTY;EXTDESCRIPTION;ITEMTYPENAME;ITEMIDNAME;DIMENSIONX;DIMENSIONY;DIMENSIONZ;BOX;ROW;COLUMN
;;417;2;0,00;2;;id3437color2.jpg;;U;PART;3437;;;0;;;Duplo, Brick 2 x 2;;;;;;;;;;;;;;;;;;;;;;;;;;Joseph 10872-1;A;1;
;;441;86;0,00;2;;id6392color86.jpg;;U;PART;6392;;;0;;;Duplo, Train Track Bridge End Section with Large Bottom Support;;;;;;;;;;;;;;;;;;;;;;;;;;Joseph 10872-1;A;1;
;;441;86;0,00;2;;id6393color86.jpg;;U;PART;6393;;;0;;;Duplo, Train Track Bridge Middle Section, Half Arch;;;;;;;;;;;;;;;;;;;;;;;;;;Joseph 10872-1;A;1;
;;441;86;0,00;8;;id6377color86.jpg;;U;PART;6377;;;0;;;Duplo, Train Track Straight (short);;;;;;;;;;;;;;;;;;;;;;;;;;Joseph 10872-1;A;1;
;;417;5;0,00;4;;id11198color5.jpg;;U;PART;11198;;;0;;;Duplo, Brick 2 x 4 x 2 Arch;;;;;;;;;;;;;;;;;;;;;;;;;;Joseph 10872-1;A;1;
;;417;5;0,00;4;;id76371color5.jpg;;U;PART;76371;;;0;;;Duplo, Brick 1 x 2 x 2 with Bottom Tube;;;;;;;;;;;;;;;;;;;;;;;;;;Joseph 10872-1;A;1;
;;585;153;0,00;1;;id20302color153.jpg;;U;PART;20302;;;0;;;Duplo Utensil Suitcase with Plain Front and Back;;;;;;;;;;;;;;;;;;;;;;;;;;Joseph 10872-1;A;1;
;;585;86;0,00;1;;id10566color86.jpg;;U;PART;10566;;;0;;;Duplo Utensil Shovel / Spade with D Handle and Short Blade &#40total length 75mm&#41;;;;;;;;;;;;;;;;;;;;;;;;;;Joseph 10872-1;A;1;
;;441;3;0,00;1;;id35962pb05color3.jpg;;U;PART;35962pb05;;;0;;;Duplo, Train Action Brick with Black Music Note Pattern;;;;;;;;;;;;;;;;;;;;;;;;;;Joseph 10872-1;A;1;
;;167;0;0,00;1;;Not Available;;U;MINIFIG;47394pb253;;;0;;;Duplo Figure Lego Ville, Male, Black Legs, Medium Azure Shirt, Yellow Safety Vest with Train Logo, Yellow Cap with Headset;;;;;;;;;;;;;;;;;;;;;;;;;;Joseph 10872-1;A;1;
