LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;ITEMWEIGHT;DATELASTSOLD;BASECURRENCYCODE;CATEGORYNAME;CATEGORYNAMEUNDER;COLORNAME;ITEMTYPENAME;ITEMIDNAME;BOX;LINE;ROW;DIMENSIONX;DIMENSIONY;DIMENSIONZ
;05/01/2022;5;85;0,33;3;1;;;U;P;2357;;Y;1,25;;EUR;Brick;;Dark Bluish Gray;Part;Brick 2 x 2 Corner;black box;A;1;2;2;1
;05/01/2022;5;86;0,66;2;1;;;U;P;2357;;Y;1,25;;EUR;Brick;;Light Bluish Gray;Part;Brick 2 x 2 Corner;black box;A;1;2;2;1
;05/01/2022;26;85;0,33;10;1;;;U;P;2420;;Y;0,54;;EUR;Plate;;Dark Bluish Gray;Part;Plate 2 x 2 Corner;black box;A;1;2;2;0
;05/01/2022;72;86;0,15;23;1;;;U;P;2440;;Y;2,15;;EUR;Vehicle;;Light Bluish Gray;Part;Vehicle, Spoiler / Plow Blade 6 x 3 with Hinge;black box;A;1;6;3;0
;05/01/2022;26;85;0,33;4;1;;;U;P;2445;;Y;3,5;;EUR;Plate;;Dark Bluish Gray;Part;Plate 2 x 12;black box;A;1;2;12;0
;05/01/2022;26;86;0,17;10;1;;;U;P;2445;;Y;3,5;;EUR;Plate;;Light Bluish Gray;Part;Plate 2 x 12;black box;A;1;2;12;0
;05/01/2022;5;86;0,17;1;1;;;U;P;2454;;Y;3,49;;EUR;Brick;;Light Bluish Gray;Part;Brick 1 x 2 x 5 - Blocked Open Studs or Hollow Studs;black box;A;1;1;2;5
;05/01/2022;5;85;0,18;10;1;;;U;P;2456;;Y;3,74;;EUR;Brick;;Dark Bluish Gray;Part;Brick 2 x 6;black box;A;1;2;6;1
;05/01/2022;5;86;0,66;2;1;;;U;P;2456;;Y;3,74;;EUR;Brick;;Light Bluish Gray;Part;Brick 2 x 6;black box;A;1;2;6;1
;05/01/2022;5;85;0,5;6;1;;;U;P;2465;;Y;6,2;;EUR;Brick;;Dark Bluish Gray;Part;Brick 1 x 16;black box;A;1;1;16;1
;05/01/2022;5;86;0,66;1;1;;;U;P;2465;;Y;6,2;;EUR;Brick;;Light Bluish Gray;Part;Brick 1 x 16;black box;A;1;1;16;1
;05/01/2022;91;14;1,25;2;1;;;U;P;2466;;Y;2,84;;EUR;Panel;;Trans-Dark Blue;Part;Panel 3 x 2 x 6;black box;A;1;3;2;6
;05/01/2022;91;15;0,99;8;1;;;U;P;2466;;Y;2,84;;EUR;Panel;;Trans-Light Blue;Part;Panel 3 x 2 x 6;black box;A;1;3;2;6
;05/01/2022;91;14;1,19;5;1;;;U;P;2468;;Y;3,52;;EUR;Panel;;Trans-Dark Blue;Part;Panel 3 x 3 x 6 Corner Convex;black box;A;1;3;3;6
;05/01/2022;91;15;1,81;3;1;;;U;P;2468;;Y;3,52;;EUR;Panel;;Trans-Light Blue;Part;Panel 3 x 3 x 6 Corner Convex;black box;A;1;3;3;6
;05/01/2022;115;15;0,15;3;1;;;U;P;2483;;Y;4,73;;EUR;Windscreen;;Trans-Light Blue;Part;Windscreen 4 x 4 x 4 1/3 Helicopter;black box;A;1;4;4;4,33
;05/01/2022;115;14;0,29;5;1;;;U;P;2507;;Y;6,94;;EUR;Windscreen;;Trans-Dark Blue;Part;Windscreen 10 x 4 x 2 1/3 Canopy;black box;A;1;10;4;2,33
;05/01/2022;115;15;0,31;1;1;;;U;P;2507;;Y;6,94;;EUR;Windscreen;;Trans-Light Blue;Part;Windscreen 10 x 4 x 2 1/3 Canopy;black box;A;1;10;4;2,33
;05/01/2022;91;12;3,01;1;1;;;U;P;2571;;Y;5,92;;EUR;Panel;;Trans-Clear;Part;Panel 3 x 4 x 6 Curved Top;black box;A;1;3;4;6
;05/01/2022;91;15;0,63;4;1;;;U;P;2571;;Y;5,92;;EUR;Panel;;Trans-Light Blue;Part;Panel 3 x 4 x 6 Curved Top;black box;A;1;3;4;6
;05/01/2022;91;15;0,34;1;1;;;U;P;2582;;Y;2,82;;EUR;Panel;;Trans-Light Blue;Part;Panel 2 x 4 x 3 1/3 with Hinge;black box;A;1;2;4;3,33
;05/01/2022;115;15;0,26;2;1;;;U;P;2620;;Y;4,7;;EUR;Windscreen;;Trans-Light Blue;Part;Windscreen 4 x 4 x 3 Canopy;black box;A;1;4;4;3
;05/01/2022;115;20;0,23;1;1;;;U;P;2620;;Y;4,7;;EUR;Windscreen;;Trans-Green;Part;Windscreen 4 x 4 x 3 Canopy;black box;A;1;4;4;3
;05/01/2022;26;85;0,09;3;1;;;U;P;2639;;Y;1,75;;EUR;Plate;;Dark Bluish Gray;Part;Plate 4 x 4 Corner;black box;A;1;4;4;0
;05/01/2022;115;12;3,34;1;1;;;U;P;2694;;Y;8;;EUR;Windscreen;;Trans-Clear;Part;Windscreen 3 x 10 x 3;black box;A;1;3;10;3
;05/01/2022;115;15;1,65;1;1;;;U;P;2694;;Y;8;;EUR;Windscreen;;Trans-Light Blue;Part;Windscreen 3 x 10 x 3;black box;A;1;3;10;3
;05/01/2022;115;15;2,32;1;1;;;U;P;2826;;Y;7;;EUR;Windscreen;;Trans-Light Blue;Part;Windscreen 5 x 8 x 3;black box;A;1;5;8;3
;05/01/2022;5;85;0,5;16;1;;;U;P;3001;;Y;2,32;;EUR;Brick;;Dark Bluish Gray;Part;Brick 2 x 4;black box;A;1;2;4;1
;05/01/2022;5;86;0,66;11;1;;;U;P;3001;;Y;2,32;;EUR;Brick;;Light Bluish Gray;Part;Brick 2 x 4;black box;A;1;2;4;1
;05/01/2022;5;85;0,5;1;1;;;U;P;3002;;Y;1,92;;EUR;Brick;;Dark Bluish Gray;Part;Brick 2 x 3;black box;A;1;2;3;1
;05/01/2022;5;86;0,66;4;1;;;U;P;3002;;Y;1,92;;EUR;Brick;;Light Bluish Gray;Part;Brick 2 x 3;black box;A;1;2;3;1
;05/01/2022;5;85;0,5;41;1;;;U;P;3003;;Y;1,35;;EUR;Brick;;Dark Bluish Gray;Part;Brick 2 x 2;black box;A;1;2;2;1
;05/01/2022;5;86;0,66;11;1;;;U;P;3003;;Y;1,35;;EUR;Brick;;Light Bluish Gray;Part;Brick 2 x 2;black box;A;1;2;2;1
;05/01/2022;5;85;0,09;35;1;;;U;P;3004;;Y;0,83;;EUR;Brick;;Dark Bluish Gray;Part;Brick 1 x 2;black box;A;1;1;2;1
;05/01/2022;5;86;0,27;7;1;;;U;P;3004;;Y;0,83;;EUR;Brick;;Light Bluish Gray;Part;Brick 1 x 2;black box;A;1;1;2;1
;05/01/2022;5;85;0,09;16;1;;;U;P;3005;;Y;0,44;;EUR;Brick;;Dark Bluish Gray;Part;Brick 1 x 1;black box;A;1;1;1;1
;05/01/2022;5;86;0,27;4;1;;;U;P;3005;;Y;0,44;;EUR;Brick;;Light Bluish Gray;Part;Brick 1 x 1;black box;A;1;1;1;1
;05/01/2022;5;86;0,32;2;1;;;U;P;3007;;Y;4,75;;EUR;Brick;;Light Bluish Gray;Part;Brick 2 x 8;black box;A;1;2;8;1
;05/01/2022;5;85;0,33;28;1;;;U;P;3008;;Y;3,21;;EUR;Brick;;Dark Bluish Gray;Part;Brick 1 x 8;black box;A;1;1;8;0
;05/01/2022;5;86;0,27;3;1;;;U;P;3008;;Y;3,21;;EUR;Brick;;Light Bluish Gray;Part;Brick 1 x 8;black box;A;1;1;8;0
;05/01/2022;5;85;0,1;2;1;;;U;P;3009;;Y;2,42;;EUR;Brick;;Dark Bluish Gray;Part;Brick 1 x 6;black box;A;1;1;6;1
;05/01/2022;5;86;0,27;3;1;;;U;P;3009;;Y;2,42;;EUR;Brick;;Light Bluish Gray;Part;Brick 1 x 6;black box;A;1;1;6;1
;05/01/2022;5;85;0,1;32;1;;;U;P;3010;;Y;1,64;;EUR;Brick;;Dark Bluish Gray;Part;Brick 1 x 4;black box;A;1;1;4;1
;05/01/2022;5;86;0,27;12;1;;;U;P;3010;;Y;1,64;;EUR;Brick;;Light Bluish Gray;Part;Brick 1 x 4;black box;A;1;1;4;1
;05/01/2022;26;85;0,33;60;1;;;U;P;3020;;Y;1,2;;EUR;Plate;;Dark Bluish Gray;Part;Plate 2 x 4;black box;A;1;2;4;0
;05/01/2022;26;86;0,27;41;1;;;U;P;3020;;Y;1,2;;EUR;Plate;;Light Bluish Gray;Part;Plate 2 x 4;black box;A;1;2;4;0
;05/01/2022;26;85;0,33;56;1;;;U;P;3021;;Y;0,93;;EUR;Plate;;Dark Bluish Gray;Part;Plate 2 x 3;black box;A;1;2;3;0
;05/01/2022;26;86;0,27;31;1;;;U;P;3021;;Y;0,93;;EUR;Plate;;Light Bluish Gray;Part;Plate 2 x 3;black box;A;1;2;3;0
