LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;ITEMWEIGHT;DATELASTSOLD;BASECURRENCYCODE;CATEGORYNAME;CATEGORYNAMEUNDER;COLORNAME;ITEMTYPENAME;ITEMIDNAME;BOX;LINE;ROW;DIMENSIONX;DIMENSIONY;DIMENSIONZ
;05/01/2022;7;8;0,11;109;1;;;U;P;30136;;Y;0,69;;EUR;Brick, Modified;;Brown;Part;Brick, Modified 1 x 2 with Log Profile;Bleue;A;1;1;2;1
;05/01/2022;105;3;0,82;4;1;;;U;P;30517;;Y;6,79;;EUR;Support;;Yellow;Part;Support 2 x 2 x 10 Girder Triangular Vertical - Type 1 - Solid Top, 3 Posts;Bleue;A;1;2;2;10
;05/01/2022;105;85;2,28;1;1;;;U;P;30517;;Y;6,79;;EUR;Support;;Dark Bluish Gray;Part;Support 2 x 2 x 10 Girder Triangular Vertical - Type 1 - Solid Top, 3 Posts;Bleue;A;1;2;2;10
;05/01/2022;105;3;0,75;4;1;;;U;P;58827;;Y;5,29;;EUR;Support;;Yellow;Part;Support 2 x 2 x 10 Girder Triangular Vertical - Type 3 - 3 Posts, 2 Sections;Bleue;A;1;2;2;10
;05/01/2022;105;11;0,89;3;1;;;U;P;58827;;Y;5,29;;EUR;Support;;Black;Part;Support 2 x 2 x 10 Girder Triangular Vertical - Type 3 - 3 Posts, 2 Sections;Bleue;A;1;2;2;10
;05/01/2022;105;85;1,21;1;1;;;U;P;58827;;Y;5,29;;EUR;Support;;Dark Bluish Gray;Part;Support 2 x 2 x 10 Girder Triangular Vertical - Type 3 - 3 Posts, 2 Sections;Bleue;A;1;2;2;10
;05/01/2022;105;5;0,75;1;1;;;U;P;64448;;Y;4,8;;EUR;Support;;Red;Part;Support 1 x 6 x 5 Girder Rectangular;Bleue;A;1;1;6;5
;05/01/2022;105;11;0,51;2;1;;;U;P;95347;;Y;5,72;;EUR;Support;;Black;Part;Support 2 x 2 x 10 Girder Triangular Vertical - Type 4 - 3 Posts, 3 Sections;Bleue;A;1;2;2;10
;05/01/2022;105;7;2,72;1;1;;;U;P;4476a;;Y;2,34;;EUR;Support;;Blue;Part;Support 2 x 4 x 5 Stanchion Inclined, 3mm Wide Posts;Bleue;A;1;2;4;5
;05/01/2022;105;1;0,13;9;1;;;U;P;4476b;;Y;2,22;;EUR;Support;;White;Part;Support 2 x 4 x 5 Stanchion Inclined, 5mm Wide Posts;Bleue;A;1;2;4;5
;05/01/2022;105;3;0,2;2;1;;;U;P;4476b;;Y;2,22;;EUR;Support;;Yellow;Part;Support 2 x 4 x 5 Stanchion Inclined, 5mm Wide Posts;Bleue;A;1;2;4;5
;05/01/2022;105;5;0,27;4;1;;;U;P;4476b;;Y;2,22;;EUR;Support;;Red;Part;Support 2 x 4 x 5 Stanchion Inclined, 5mm Wide Posts;Bleue;A;1;2;4;5
;05/01/2022;105;11;0,27;14;1;;;U;P;4476b;;Y;2,22;;EUR;Support;;Black;Part;Support 2 x 4 x 5 Stanchion Inclined, 5mm Wide Posts;Bleue;A;1;2;4;5
;05/01/2022;7;8;0,17;37;1;;;U;P;30137;;Y;1,27;;EUR;Brick, Modified;;Brown;Part;Brick, Modified 1 x 4 with Log Profile;Bleue;A;2;1;4;1
;05/01/2022;36;11;0,06;1;1;;;U;P;2743;;Y;1,51;;EUR;Technic;;Black;Part;Technic Slope Short (Wing Front);Bleue;A;3;0;0;0
;05/01/2022;36;85;0,08;1;1;;;U;P;2743;;Y;1,51;;EUR;Technic;;Dark Bluish Gray;Part;Technic Slope Short (Wing Front);Bleue;A;3;0;0;0
;05/01/2022;27;11;0,04;7;1;;;U;P;47720;;Y;1,75;;EUR;Plate, Modified;;Black;Part;Plate, Modified 2 x 2 with Wheels Holder Wide - Technic Pins;Bleue;A;3;2;6;1
;05/01/2022;27;86;0,05;2;1;;;U;P;47720;;Y;1,75;;EUR;Plate, Modified;;Light Bluish Gray;Part;Plate, Modified 2 x 2 with Wheels Holder Wide - Technic Pins;Bleue;A;3;2;6;1
;05/01/2022;37;4;0,01;11;1;;;U;P;3069a;;Y;0,27;;EUR;Tile;;Orange;Part;Tile 1 x 2 without Groove;Bleue;A;3;1;2;0
