LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;WEIGHT;DATELASTSOLD;CURRENCY;CATEGORYNAME;CATNAME1;CATNAME2;CATNAME3;CATNAME4;COLORNAME;RGB;COLORTYPE;SUBCONDITION;REMARKS;TIERQTY1;TIERPRICE1;TIERQTY2;TIERPRICE2;TIERQTY3;TIERPRICE3;RESERVEDFOR;RETAIN;SUPERLOTID;SUPERLOTQTY;EXTDESCRIPTION;ITEMTYPENAME;ITEMIDNAME;DIMENSIONX;DIMENSIONY;DIMENSIONZ;BOX;ROW;COLUMN
;;95;6;0,9572;1;;id2435color6.jpg;;U;P;2435;;;3;;;Plant, Tree;Plant;Tree;P;;Green;##00923D;Solid;;;;;;;;;;;;;;Part;Plant, Tree Pine Small 2 x 2 x 4;?;?;?;Grand Casier BleueuClair;A;1;
;;25;20;0,3185;1;;id30093color20.jpg;;U;P;30093;;;1;;;Plant;Plant;;P;;Trans-Green;##217625;Transparent;;;;;;;;;;;;;;Part;Plant Sea Grass / Seaweed;0.5;3;4;Grand Casier BleueuClair;A;1;
;;25;6;0,2365;8;;id30093color6.jpg;;U;P;30093;;;1;;;Plant;Plant;;P;;Green;##00923D;Solid;;;;;;;;;;;;;;Part;Plant Sea Grass / Seaweed;0.5;3;4;Grand Casier BleueuClair;A;1;
;;25;80;0,1718;1;;id30093color80.jpg;;U;P;30093;;;1;;;Plant;Plant;;P;;Dark Green;##2E5543;Solid;;;;;;;;;;;;;;Part;Plant Sea Grass / Seaweed;0.5;3;4;Grand Casier BleueuClair;A;1;
;;25;6;0,1397;3;;id30176color6.jpg;;U;P;30176;;;0,44;;;Plant;Plant;;P;;Green;##00923D;Solid;;;;;;;;;;;;;;Part;Plant Brick, Round 1 x 1 with 3 Bamboo Leaves;?;?;?;Grand Casier BleueuClair;A;1;
;;8;11;0,1378;2;;id30361bcolor11.jpg;;U;P;30361b;;;2;;;Brick, Round;Brick;Round;P;;Black;##212121;Solid;;;;;;;;;;;;;;Part;Brick, Round 2 x 2 x 2 Robot Body - with Bottom Axle Holder x Shape x Orientation;2;2;2;Grand Casier BleueuClair;A;1;
;;8;1;0,0951;1;;id30361ccolor1.jpg;;U;P;30361c;;;2,06;;;Brick, Round;Brick;Round;P;;White;##FFFFFF;Solid;;;;;;;;;;;;;;Part;Brick, Round 2 x 2 x 2 Robot Body - with Bottom Axle Holder x Shape + Orientation;2;2;2;Grand Casier BleueuClair;A;1;
;;8;11;0,0905;2;;id30361ccolor11.jpg;;U;P;30361c;;;2,06;;;Brick, Round;Brick;Round;P;;Black;##212121;Solid;;;;;;;;;;;;;;Part;Brick, Round 2 x 2 x 2 Robot Body - with Bottom Axle Holder x Shape + Orientation;2;2;2;Grand Casier BleueuClair;A;1;
;;8;5;0,0795;1;;id30361ccolor5.jpg;;U;P;30361c;;;2,06;;;Brick, Round;Brick;Round;P;;Red;##B30006;Solid;;;;;;;;;;;;;;Part;Brick, Round 2 x 2 x 2 Robot Body - with Bottom Axle Holder x Shape + Orientation;2;2;2;Grand Casier BleueuClair;A;1;
;;142;11;0,4430;1;;id42446color11.jpg;;U;P;42446;;;0,2;;;Minifigure, Body Wear;Minifigure;Body Wear;P;;Black;##212121;Solid;;;;;;;;;;;;;;Part;Minifigure Neck Bracket with Back Stud - Thin Back Wall;?;?;?;Grand Casier BleueuClair;A;1;
;;142;85;0,3952;11;;id42446color85.jpg;;U;P;42446;;;0,2;;;Minifigure, Body Wear;Minifigure;Body Wear;P;;Dark Bluish Gray;##595D60;Solid;;;;;;;;;;;;;;Part;Minifigure Neck Bracket with Back Stud - Thin Back Wall;?;?;?;Grand Casier BleueuClair;A;1;
;;25;46;0,7052;2;;id55236color46.jpg;;U;P;55236;;;0,35;;;Plant;Plant;;P;;Glow In Dark Opaque;##d4d5c9;Milky;;;;;;;;;;;;;;Part;Plant Vine Seaweed / Appendage Spiked / Bionicle Spine;?;?;?;Grand Casier BleueuClair;A;1;
;;25;80;0,1560;6;;id55236color80.jpg;;U;P;55236;;;0,35;;;Plant;Plant;;P;;Dark Green;##2E5543;Solid;;;;;;;;;;;;;;Part;Plant Vine Seaweed / Appendage Spiked / Bionicle Spine;?;?;?;Grand Casier BleueuClair;A;1;
;;25;5;4,3254;1;;id6064color5.jpg;;U;P;6064;;;2,93;;;Plant;Plant;;P;;Red;##B30006;Solid;;;;;;;;;;;;;;Part;Plant Prickly Bush 2 x 2 x 4;4;4;5;Grand Casier BleueuClair;A;1;
;;25;36;0,00;1;;idx8color36.jpg;;U;P;x8;;;1,17;;;Plant;Plant;;P;;Bright Green;##10CB31;Solid;;;;;;;;;;;;;;Part;Plant Flower Stem 1 x 1 x 2/3 with 3 Large Leaves;4;4;1.5;Grand Casier BleueuClair;A;1;
;;25;36;0,2689;2;;id2417color36.jpg;;U;P;2417;;;1,071;;;Plant;Plant;;P;;Bright Green;##10CB31;Solid;;;;;;;;;;;;;;Part;Plant Leaves 6 x 5;6;5;0.33;Grand Casier BleueuClair;A;2;
;;25;6;0,3123;19;;id2417color6.jpg;;U;P;2417;;;1,071;;;Plant;Plant;;P;;Green;##00923D;Solid;;;;;;;;;;;;;;Part;Plant Leaves 6 x 5;6;5;0.33;Grand Casier BleueuClair;A;2;
;;25;6;0,1421;8;;id2423color6.jpg;;U;P;2423;;;0,44;;;Plant;Plant;;P;;Green;##00923D;Solid;;;;;;;;;;;;;;Part;Plant Leaves 4 x 3;4;3;0.33;Grand Casier BleueuClair;A;2;
;;95;6;0,2957;10;;id6148color6.jpg;;U;P;6148;;;1,25;;;Plant, Tree;Plant;Tree;P;;Green;##00923D;Solid;;;;;;;;;;;;;;Part;Plant, Tree Palm Leaf Small 8 x 3;8;3;1;Grand Casier BleueuClair;A;3;
;;95;6;1,0818;13;;id2518color6.jpg;;U;P;2518;;;1,86;;;Plant, Tree;Plant;Tree;P;;Green;##00923D;Solid;;;;;;;;;;;;;;Part;Plant, Tree Palm Leaf Large 10 x 5;10;5;1.5;Grand Casier BleueuClair;A;4;
;;133;11;0,3788;1;;id50898color11.jpg;;U;P;50898;;;2,6;;;Technic, Connector;Technic;Connector;P;;Black;##212121;Solid;;;;;;;;;;;;;;Part;Technic, Axle and Pin Connector 2 x 7 with 2 Ball Joint Sockets, Rounded Ends;2;7;1;Grand Casier BleueuClair;A;5;
;;133;4;0,1933;1;;id50898color4.jpg;;U;P;50898;;;2,6;;;Technic, Connector;Technic;Connector;P;;Orange;##FF7E14;Solid;;;;;;;;;;;;;;Part;Technic, Axle and Pin Connector 2 x 7 with 2 Ball Joint Sockets, Rounded Ends;2;7;1;Grand Casier BleueuClair;A;5;
;;133;42;0,2575;4;;id50898color42.jpg;;U;P;50898;;;2,6;;;Technic, Connector;Technic;Connector;P;;Medium Blue;##82ADD8;Solid;;;;;;;;;;;;;;Part;Technic, Axle and Pin Connector 2 x 7 with 2 Ball Joint Sockets, Rounded Ends;2;7;1;Grand Casier BleueuClair;A;5;
