LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;WEIGHT;DATELASTSOLD;CURRENCY;CATEGORYNAME;CATNAME1;CATNAME2;CATNAME3;CATNAME4;COLORNAME;RGB;COLORTYPE;SUBCONDITION;REMARKS;TIERQTY1;TIERPRICE1;TIERQTY2;TIERPRICE2;TIERQTY3;TIERPRICE3;RESERVEDFOR;RETAIN;SUPERLOTID;SUPERLOTQTY;EXTDESCRIPTION;ITEMTYPENAME;ITEMIDNAME;DIMENSIONX;DIMENSIONY;DIMENSIONZ;BOX;ROW;COLUMN
;;77;1;0,0493;16;;id3788color1.jpg;;U;P;3788;;Y;1,41;;EUR;Vehicle, Mudguard;;;P;;White;FFFFFF;Solid;;;;;;;;;;;;;;PART;Vehicle, Mudguard 2 x 4 with Arch Studded;2.00;4.00;0.67;Casier Grand Noir;A;1;
;;77;11;0,0663;5;;id3788color11.jpg;;U;P;3788;;Y;1,41;;EUR;Vehicle, Mudguard;;;P;;Black;212121;Solid;;;;;;;;;;;;;;PART;Vehicle, Mudguard 2 x 4 with Arch Studded;2.00;4.00;0.67;Casier Grand Noir;A;1;
;;77;3;0,0441;9;;id3788color3.jpg;;U;P;3788;;Y;1,41;;EUR;Vehicle, Mudguard;;;P;;Yellow;FFE001;Solid;;;;;;;;;;;;;;PART;Vehicle, Mudguard 2 x 4 with Arch Studded;2.00;4.00;0.67;Casier Grand Noir;A;1;
;;77;4;0,1869;2;;id3788color4.jpg;;U;P;3788;;Y;1,41;;EUR;Vehicle, Mudguard;;;P;;Orange;FF7E14;Solid;;;;;;;;;;;;;;PART;Vehicle, Mudguard 2 x 4 with Arch Studded;2.00;4.00;0.67;Casier Grand Noir;A;1;
;;77;5;0,0478;14;;id3788color5.jpg;;U;P;3788;;Y;1,41;;EUR;Vehicle, Mudguard;;;P;;Red;B30006;Solid;;;;;;;;;;;;;;PART;Vehicle, Mudguard 2 x 4 with Arch Studded;2.00;4.00;0.67;Casier Grand Noir;A;1;
;;77;7;0,0705;4;;id3788color7.jpg;;U;P;3788;;Y;1,41;;EUR;Vehicle, Mudguard;;;P;;Blue;0057A6;Solid;;;;;;;;;;;;;;PART;Vehicle, Mudguard 2 x 4 with Arch Studded;2.00;4.00;0.67;Casier Grand Noir;A;1;
;;77;1;0,0419;2;;id60212color1.jpg;;U;P;60212;;Y;1,40;;EUR;Vehicle, Mudguard;;;P;;White;FFFFFF;Solid;;;;;;;;;;;;;;PART;Vehicle, Mudguard 2 x 4 with Arch Studded with Hole;2.00;4.00;0.67;Casier Grand Noir;A;1;
;;438;3;0,0348;8;;id6215color3.jpg;;U;P;6215;;Y;1,83;;EUR;Slope, Curved;;;P;;Yellow;FFE001;Solid;;;;;;;;;;;;;;PART;Slope, Curved 3 x 2 x 1 with Four Studs;3.00;2.00;1.00;Casier Grand Noir;A;2;
;;438;5;0,0349;3;;id6215color5.jpg;;U;P;6215;;Y;1,83;;EUR;Slope, Curved;;;P;;Red;B30006;Solid;;;;;;;;;;;;;;PART;Slope, Curved 3 x 2 x 1 with Four Studs;3.00;2.00;1.00;Casier Grand Noir;A;2;
;;438;6;0,0375;4;;id6215color6.jpg;;U;P;6215;;Y;1,83;;EUR;Slope, Curved;;;P;;Green;00923D;Solid;;;;;;;;;;;;;;PART;Slope, Curved 3 x 2 x 1 with Four Studs;3.00;2.00;1.00;Casier Grand Noir;A;2;
;;438;7;0,0384;6;;id6215color7.jpg;;U;P;6215;;Y;1,83;;EUR;Slope, Curved;;;P;;Blue;0057A6;Solid;;;;;;;;;;;;;;PART;Slope, Curved 3 x 2 x 1 with Four Studs;3.00;2.00;1.00;Casier Grand Noir;A;2;
;;438;86;0,1088;3;;id6215color86.jpg;;U;P;6215;;Y;1,83;;EUR;Slope, Curved;;;P;;Light Bluish Gray;AFB5C7;Solid;;;;;;;;;;;;;;PART;Slope, Curved 3 x 2 x 1 with Four Studs;3.00;2.00;1.00;Casier Grand Noir;A;2;
;;106;1;0,2880;7;;id3479color1.jpg;;U;P;3479;;Y;1,19;;EUR;Tail;;;P;;White;FFFFFF;Solid;;;;;;;;;;;;;;PART;Tail 4 x 2 x 2;4.00;2.00;2.00;Casier Grand Noir;A;3;
;;106;11;0,1272;7;;id3479color11.jpg;;U;P;3479;;Y;1,19;;EUR;Tail;;;P;;Black;212121;Solid;;;;;;;;;;;;;;PART;Tail 4 x 2 x 2;4.00;2.00;2.00;Casier Grand Noir;A;3;
;;106;5;0,1381;2;;id3479color5.jpg;;U;P;3479;;Y;1,19;;EUR;Tail;;;P;;Red;B30006;Solid;;;;;;;;;;;;;;PART;Tail 4 x 2 x 2;4.00;2.00;2.00;Casier Grand Noir;A;3;
;;106;9;2,1745;1;;id3479color9.jpg;;U;P;3479;;Y;1,19;;EUR;Tail;;;P;;Light Gray;9C9C9C;Solid;;;;;;;;;;;;;;PART;Tail 4 x 2 x 2;4.00;2.00;2.00;Casier Grand Noir;A;3;
