LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;WEIGHT;DATELASTSOLD;CURRENCY;CATEGORYNAME;CATNAME1;CATNAME2;CATNAME3;CATNAME4;COLORNAME;RGB;COLORTYPE;SUBCONDITION;REMARKS;TIERQTY1;TIERPRICE1;TIERQTY2;TIERPRICE2;TIERQTY3;TIERPRICE3;RESERVEDFOR;RETAIN;SUPERLOTID;SUPERLOTQTY;EXTDESCRIPTION;ITEMTYPENAME;ITEMIDNAME;DIMENSIONX;DIMENSIONY;DIMENSIONZ;BOX;ROW;COLUMN
;;22;6;0,1006;2;;id2429color6.jpg;;U;P;2429;;Y;0,39;;EUR;Hinge;;;P;;Green;00923D;Solid;;;;;;;;;;;;;;PART;Hinge Plate 1 x 4 Swivel Base;0.00;0.00;0.00;Casier Grand OrangeUn;A;1;
;;22;7;0,0996;1;;id2429color7.jpg;;U;P;2429;;Y;0,39;;EUR;Hinge;;;P;;Blue;0057A6;Solid;;;;;;;;;;;;;;PART;Hinge Plate 1 x 4 Swivel Base;0.00;0.00;0.00;Casier Grand OrangeUn;A;1;
;;22;85;0,4100;1;;id2429color85.jpg;;U;P;2429;;Y;0,39;;EUR;Hinge;;;P;;Dark Bluish Gray;595D60;Solid;;;;;;;;;;;;;;PART;Hinge Plate 1 x 4 Swivel Base;0.00;0.00;0.00;Casier Grand OrangeUn;A;1;
;;22;86;0,5483;3;;id2429color86.jpg;;U;P;2429;;Y;0,39;;EUR;Hinge;;;P;;Light Bluish Gray;AFB5C7;Solid;;;;;;;;;;;;;;PART;Hinge Plate 1 x 4 Swivel Base;0.00;0.00;0.00;Casier Grand OrangeUn;A;1;
;;22;9;0,2678;3;;id2429color9.jpg;;U;P;2429;;Y;0,39;;EUR;Hinge;;;P;;Light Gray;9C9C9C;Solid;;;;;;;;;;;;;;PART;Hinge Plate 1 x 4 Swivel Base;0.00;0.00;0.00;Casier Grand OrangeUn;A;1;
;;22;6;0,1128;2;;id2430color6.jpg;;U;P;2430;;Y;0,39;;EUR;Hinge;;;P;;Green;00923D;Solid;;;;;;;;;;;;;;PART;Hinge Plate 1 x 4 Swivel Top;0.00;0.00;0.00;Casier Grand OrangeUn;A;1;
;;22;7;0,1028;4;;id2430color7.jpg;;U;P;2430;;Y;0,39;;EUR;Hinge;;;P;;Blue;0057A6;Solid;;;;;;;;;;;;;;PART;Hinge Plate 1 x 4 Swivel Top;0.00;0.00;0.00;Casier Grand OrangeUn;A;1;
;;22;85;0,3380;1;;id2430color85.jpg;;U;P;2430;;Y;0,39;;EUR;Hinge;;;P;;Dark Bluish Gray;595D60;Solid;;;;;;;;;;;;;;PART;Hinge Plate 1 x 4 Swivel Top;0.00;0.00;0.00;Casier Grand OrangeUn;A;1;
;;22;86;0,5160;3;;id2430color86.jpg;;U;P;2430;;Y;0,39;;EUR;Hinge;;;P;;Light Bluish Gray;AFB5C7;Solid;;;;;;;;;;;;;;PART;Hinge Plate 1 x 4 Swivel Top;0.00;0.00;0.00;Casier Grand OrangeUn;A;1;
;;22;9;0,1986;3;;id2430color9.jpg;;U;P;2430;;Y;0,39;;EUR;Hinge;;;P;;Light Gray;9C9C9C;Solid;;;;;;;;;;;;;;PART;Hinge Plate 1 x 4 Swivel Top;0.00;0.00;0.00;Casier Grand OrangeUn;A;1;
;;22;1;0,0789;3;;id3830color1.jpg;;U;P;3830;;Y;1,00;;EUR;Hinge;;;P;;White;FFFFFF;Solid;;;;;;;;;;;;;;PART;Hinge Brick 1 x 4 Swivel Top;0.00;0.00;0.00;Casier Grand OrangeUn;A;1;
;;22;11;0,0686;9;;id3830color11.jpg;;U;P;3830;;Y;1,00;;EUR;Hinge;;;P;;Black;212121;Solid;;;;;;;;;;;;;;PART;Hinge Brick 1 x 4 Swivel Top;0.00;0.00;0.00;Casier Grand OrangeUn;A;1;
;;22;5;0,1214;1;;id3830color5.jpg;;U;P;3830;;Y;1,00;;EUR;Hinge;;;P;;Red;B30006;Solid;;;;;;;;;;;;;;PART;Hinge Brick 1 x 4 Swivel Top;0.00;0.00;0.00;Casier Grand OrangeUn;A;1;
