LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;WEIGHT;DATELASTSOLD;CURRENCY;CATEGORYNAME;CATNAME1;CATNAME2;CATNAME3;CATNAME4;COLORNAME;RGB;COLORTYPE;SUBCONDITION;REMARKS;TIERQTY1;TIERPRICE1;TIERQTY2;TIERPRICE2;TIERQTY3;TIERPRICE3;RESERVEDFOR;RETAIN;SUPERLOTID;SUPERLOTQTY;EXTDESCRIPTION;ITEMTYPENAME;ITEMIDNAME;DIMENSIONX;DIMENSIONY;DIMENSIONZ;BOX;ROW;COLUMN
;;7;8;0,1390;39;;id30136color8.jpg;;U;P;30136;;Y;0,69;;EUR;Brick, Modified;;;P;;Brown;6B3F22;Solid;;;;;;;;;;;;;;PART;Brick, Modified 1 x 2 with Log Profile;1.00;2.00;1.00;Casier Moyen Bleue;A;1;
;;7;88;0,0547;70;;Not Available;;U;P;30136;;Y;0,69;;EUR;Brick, Modified;;;P;;Reddish Brown;82422A;Solid;;;;;;;;;;;;;;PART;Brick, Modified 1 x 2 with Log Profile;1.00;2.00;1.00;Casier Moyen Bleue;A;1;
;;7;8;0,1807;23;;id30137color8.jpg;;U;P;30137;;Y;1,27;;EUR;Brick, Modified;;;P;;Brown;6B3F22;Solid;;;;;;;;;;;;;;PART;Brick, Modified 1 x 4 with Log Profile;1.00;4.00;1.00;Casier Moyen Bleue;A;1;
;;7;88;0,0879;14;;Not Available;;U;P;30137;;Y;1,27;;EUR;Brick, Modified;;;P;;Reddish Brown;82422A;Solid;;;;;;;;;;;;;;PART;Brick, Modified 1 x 4 with Log Profile;1.00;4.00;1.00;Casier Moyen Bleue;A;1;
;;37;2;0,1475;6;;id2431color2.jpg;;U;P;2431;;Y;0,54;;EUR;Tile;;;P;;Tan;EED9A4;Solid;;;;;;;;;;;;;;PART;Tile 1 x 4;1.00;4.00;0.00;Casier Moyen Bleue;A;2;
;;37;34;0,0480;9;;id2431color34.jpg;;U;P;2431;;Y;0,54;;EUR;Tile;;;P;;Lime;C4E000;Solid;;;;;;;;;;;;;;PART;Tile 1 x 4;1.00;4.00;0.00;Casier Moyen Bleue;A;2;
;;37;4;0,0795;4;;id2431color4.jpg;;U;P;2431;;Y;0,54;;EUR;Tile;;;P;;Orange;FF7E14;Solid;;;;;;;;;;;;;;PART;Tile 1 x 4;1.00;4.00;0.00;Casier Moyen Bleue;A;2;
;;37;63;0,1230;3;;id2431color63.jpg;;U;P;2431;;Y;0,54;;EUR;Tile;;;P;;Dark Blue;243757;Solid;;;;;;;;;;;;;;PART;Tile 1 x 4;1.00;4.00;0.00;Casier Moyen Bleue;A;2;
;;37;68;0,1991;8;;id2431color68.jpg;;U;P;2431;;Y;0,54;;EUR;Tile;;;P;;Dark Orange;B35408;Solid;;;;;;;;;;;;;;PART;Tile 1 x 4;1.00;4.00;0.00;Casier Moyen Bleue;A;2;
;;37;8;0,4258;13;;id2431color8.jpg;;U;P;2431;;Y;0,54;;EUR;Tile;;;P;;Brown;6B3F22;Solid;;;;;;;;;;;;;;PART;Tile 1 x 4;1.00;4.00;0.00;Casier Moyen Bleue;A;2;
;;37;88;0,1693;1;;id2431color88.jpg;;U;P;2431;;Y;0,54;;EUR;Tile;;;P;;Reddish Brown;82422A;Solid;;;;;;;;;;;;;;PART;Tile 1 x 4;1.00;4.00;0.00;Casier Moyen Bleue;A;2;
;;37;110;0,1162;1;;id3068bcolor110.jpg;;U;P;3068b;;Y;0,48;;EUR;Tile;;;P;;Bright Light Orange;FFC700;Solid;;;;;;;;;;;;;;PART;Tile 2 x 2 with Groove;2.00;2.00;0.00;Casier Moyen Bleue;A;2;
;;37;34;0,1088;2;;id3068bcolor34.jpg;;U;P;3068b;;Y;0,48;;EUR;Tile;;;P;;Lime;C4E000;Solid;;;;;;;;;;;;;;PART;Tile 2 x 2 with Groove;2.00;2.00;0.00;Casier Moyen Bleue;A;2;
;;37;48;0,3672;5;;id3068bcolor48.jpg;;U;P;3068b;;Y;0,48;;EUR;Tile;;;P;;Sand Green;A2BFA3;Solid;;;;;;;;;;;;;;PART;Tile 2 x 2 with Groove;2.00;2.00;0.00;Casier Moyen Bleue;A;2;
;;37;59;0,1807;11;;id3068bcolor59.jpg;;U;P;3068b;;Y;0,48;;EUR;Tile;;;P;;Dark Red;6A0E15;Solid;;;;;;;;;;;;;;PART;Tile 2 x 2 with Groove;2.00;2.00;0.00;Casier Moyen Bleue;A;2;
