LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;WEIGHT;DATELASTSOLD;CURRENCY;CATEGORYNAME;CATNAME1;CATNAME2;CATNAME3;CATNAME4;COLORNAME;RGB;COLORTYPE;SUBCONDITION;REMARKS;TIERQTY1;TIERPRICE1;TIERQTY2;TIERPRICE2;TIERQTY3;TIERPRICE3;RESERVEDFOR;RETAIN;SUPERLOTID;SUPERLOTQTY;EXTDESCRIPTION;ITEMTYPENAME;ITEMIDNAME;DIMENSIONX;DIMENSIONY;DIMENSIONZ;BOX;ROW;COLUMN
;;22;1;0,3655;58;;id4276color1.jpg;;U;P;4276;;;0,41;;;Hinge;Hinge;;P;;White;#FFFFFF;Solid;;;;;;;;;;;;;;Part;Hinge Plate 1 x 2 with 2 Fingers (Undetermined Type);?;?;?;Casier Moyen Gris;A;1;
;;22;11;0,6211;167;;id4276color11.jpg;;U;P;4276;;;0,41;;;Hinge;Hinge;;P;;Black;#212121;Solid;;;;;;;;;;;;;;Part;Hinge Plate 1 x 2 with 2 Fingers (Undetermined Type);?;?;?;Casier Moyen Gris;A;1;
;;22;3;0,2524;47;;id4276color3.jpg;;U;P;4276;;;0,41;;;Hinge;Hinge;;P;;Yellow;#FFE001;Solid;;;;;;;;;;;;;;Part;Hinge Plate 1 x 2 with 2 Fingers (Undetermined Type);?;?;?;Casier Moyen Gris;A;1;
;;22;5;0,2159;66;;id4276color5.jpg;;U;P;4276;;;0,41;;;Hinge;Hinge;;P;;Red;#B30006;Solid;;;;;;;;;;;;;;Part;Hinge Plate 1 x 2 with 2 Fingers (Undetermined Type);?;?;?;Casier Moyen Gris;A;1;
;;22;7;0,3425;24;;id4276color7.jpg;;U;P;4276;;;0,41;;;Hinge;Hinge;;P;;Blue;#0057A6;Solid;;;;;;;;;;;;;;Part;Hinge Plate 1 x 2 with 2 Fingers (Undetermined Type);?;?;?;Casier Moyen Gris;A;1;
;;22;9;0,8827;12;;id4276color9.jpg;;U;P;4276;;;0,41;;;Hinge;Hinge;;P;;Light Gray;#9C9C9C;Solid;;;;;;;;;;;;;;Part;Hinge Plate 1 x 2 with 2 Fingers (Undetermined Type);?;?;?;Casier Moyen Gris;A;1;
;;22;1;2,0897;13;;id4275color1.jpg;;U;P;4275;;;0,43;;;Hinge;Hinge;;P;;White;#FFFFFF;Solid;;;;;;;;;;;;;;Part;Hinge Plate 1 x 2 with 3 Fingers (Undetermined Type);?;?;?;Casier Moyen Gris;A;2;
;;22;11;0,9008;105;;id4275color11.jpg;;U;P;4275;;;0,43;;;Hinge;Hinge;;P;;Black;#212121;Solid;;;;;;;;;;;;;;Part;Hinge Plate 1 x 2 with 3 Fingers (Undetermined Type);?;?;?;Casier Moyen Gris;A;2;
;;22;3;0,2707;63;;id4275color3.jpg;;U;P;4275;;;0,43;;;Hinge;Hinge;;P;;Yellow;#FFE001;Solid;;;;;;;;;;;;;;Part;Hinge Plate 1 x 2 with 3 Fingers (Undetermined Type);?;?;?;Casier Moyen Gris;A;2;
;;22;5;0,4778;47;;id4275color5.jpg;;U;P;4275;;;0,43;;;Hinge;Hinge;;P;;Red;#B30006;Solid;;;;;;;;;;;;;;Part;Hinge Plate 1 x 2 with 3 Fingers (Undetermined Type);?;?;?;Casier Moyen Gris;A;2;
