LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;WEIGHT;DATELASTSOLD;CURRENCY;CATEGORYNAME;CATNAME1;CATNAME2;CATNAME3;CATNAME4;COLORNAME;RGB;COLORTYPE;SUBCONDITION;REMARKS;TIERQTY1;TIERPRICE1;TIERQTY2;TIERPRICE2;TIERQTY3;TIERPRICE3;RESERVEDFOR;RETAIN;SUPERLOTID;SUPERLOTQTY;EXTDESCRIPTION;ITEMTYPENAME;ITEMIDNAME;DIMENSIONX;DIMENSIONY;DIMENSIONZ;BOX;COLUMN;ROW
;;7;1;0,056;17;;Not Available;;U;P;2877;;;0,68;;;Brick, Modified;Brick;Modified;P;;White;#FFFFFF;Solid;;;;;;;;;;;;;;Part;Brick, Modified 1 x 2 with Grille / Fluted Profile;1;2;0;Casier Petit Gris;A;1;
;;7;3;0,0541;13;;Not Available;;U;P;2877;;;0,68;;;Brick, Modified;Brick;Modified;P;;Yellow;#FFE001;Solid;;;;;;;;;;;;;;Part;Brick, Modified 1 x 2 with Grille / Fluted Profile;1;2;0;Casier Petit Gris;A;1;
;;7;11;0,0623;11;;Not Available;;U;P;2877;;;0,68;;;Brick, Modified;Brick;Modified;P;;Black;#212121;Solid;;;;;;;;;;;;;;Part;Brick, Modified 1 x 2 with Grille / Fluted Profile;1;2;0;Casier Petit Gris;A;1;
;;7;5;0,1116;3;;Not Available;;U;P;2877;;;0,68;;;Brick, Modified;Brick;Modified;P;;Red;#B30006;Solid;;;;;;;;;;;;;;Part;Brick, Modified 1 x 2 with Grille / Fluted Profile;1;2;0;Casier Petit Gris;A;1;
;;7;6;0,0871;10;;Not Available;;U;P;2877;;;0,68;;;Brick, Modified;Brick;Modified;P;;Green;#00923D;Solid;;;;;;;;;;;;;;Part;Brick, Modified 1 x 2 with Grille / Fluted Profile;1;2;0;Casier Petit Gris;A;1;
;;7;88;0,072;2;;Not Available;;U;P;2877;;;0,68;;;Brick, Modified;Brick;Modified;P;;Reddish Brown;#89351D;Solid;;;;;;;;;;;;;;Part;Brick, Modified 1 x 2 with Grille / Fluted Profile;1;2;0;Casier Petit Gris;A;1;
;;7;10;0,1105;3;;Not Available;;U;P;2877;;;0,68;;;Brick, Modified;Brick;Modified;P;;Dark Gray;#6B5A5A;Solid;;;;;;;;;;;;;;Part;Brick, Modified 1 x 2 with Grille / Fluted Profile;1;2;0;Casier Petit Gris;A;1;
;;7;85;0,0601;16;;Not Available;;U;P;2877;;;0,68;;;Brick, Modified;Brick;Modified;P;;Dark Bluish Gray;#595D60;Solid;;;;;;;;;;;;;;Part;Brick, Modified 1 x 2 with Grille / Fluted Profile;1;2;0;Casier Petit Gris;A;1;
;;7;86;0,0705;15;;Not Available;;U;P;2877;;;0,68;;;Brick, Modified;Brick;Modified;P;;Light Bluish Gray;#AFB5C7;Solid;;;;;;;;;;;;;;Part;Brick, Modified 1 x 2 with Grille / Fluted Profile;1;2;0;Casier Petit Gris;A;1;
;;7;1;0,0898;8;;id30136color1.jpg;;U;P;30136;;;0,69;;;Brick, Modified;Brick;Modified;P;;White;#FFFFFF;Solid;;;;;;;;;;;;;;Part;Brick, Modified 1 x 2 with Log Profile;1;2;1;Casier Petit Gris;A;2;
