LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;WEIGHT;DATELASTSOLD;CURRENCY;CATEGORYNAME;CATNAME1;CATNAME2;CATNAME3;CATNAME4;COLORNAME;RGB;COLORTYPE;SUBCONDITION;REMARKS;TIERQTY1;TIERPRICE1;TIERQTY2;TIERPRICE2;TIERQTY3;TIERPRICE3;RESERVEDFOR;RETAIN;SUPERLOTID;SUPERLOTQTY;EXTDESCRIPTION;ITEMTYPENAME;ITEMIDNAME;DIMENSIONX;DIMENSIONY;DIMENSIONZ;BOX;ROW;COLUMN
;;133;1;0,4162;2;;id32014color1.jpg;;U;P;32014;;;0,66;;;Technic, Connector;Technic;Connector;P;;White;#FFFFFF;Solid;;;;;;;;;;;;;;Part;Technic, Axle and Pin Connector Angled #6 - 90 degrees;2;2;0;Casier Petit Noir;A;1;
;;133;11;0,0797;16;;id32014color11.jpg;;U;P;32014;;;0,66;;;Technic, Connector;Technic;Connector;P;;Black;#212121;Solid;;;;;;;;;;;;;;Part;Technic, Axle and Pin Connector Angled #6 - 90 degrees;2;2;0;Casier Petit Noir;A;1;
;;133;3;0,0794;1;;id32014color3.jpg;;U;P;32014;;;0,66;;;Technic, Connector;Technic;Connector;P;;Yellow;#FFE001;Solid;;;;;;;;;;;;;;Part;Technic, Axle and Pin Connector Angled #6 - 90 degrees;2;2;0;Casier Petit Noir;A;1;
;;133;34;0,1495;1;;id32014color34.jpg;;U;P;32014;;;0,66;;;Technic, Connector;Technic;Connector;P;;Lime;#C4E000;Solid;;;;;;;;;;;;;;Part;Technic, Axle and Pin Connector Angled #6 - 90 degrees;2;2;0;Casier Petit Noir;A;1;
;;133;4;0,1611;1;;id32014color4.jpg;;U;P;32014;;;0,66;;;Technic, Connector;Technic;Connector;P;;Orange;#FF7E14;Solid;;;;;;;;;;;;;;Part;Technic, Axle and Pin Connector Angled #6 - 90 degrees;2;2;0;Casier Petit Noir;A;1;
;;133;5;0,0977;1;;id32014color5.jpg;;U;P;32014;;;0,66;;;Technic, Connector;Technic;Connector;P;;Red;#B30006;Solid;;;;;;;;;;;;;;Part;Technic, Axle and Pin Connector Angled #6 - 90 degrees;2;2;0;Casier Petit Noir;A;1;
;;133;7;0,1207;2;;id32014color7.jpg;;U;P;32014;;;0,66;;;Technic, Connector;Technic;Connector;P;;Blue;#0057A6;Solid;;;;;;;;;;;;;;Part;Technic, Axle and Pin Connector Angled #6 - 90 degrees;2;2;0;Casier Petit Noir;A;1;
;;133;85;0,0885;1;;id32014color85.jpg;;U;P;32014;;;0,66;;;Technic, Connector;Technic;Connector;P;;Dark Bluish Gray;#595D60;Solid;;;;;;;;;;;;;;Part;Technic, Axle and Pin Connector Angled #6 - 90 degrees;2;2;0;Casier Petit Noir;A;1;
;;133;86;0,1178;1;;id32014color86.jpg;;U;P;32014;;;0,66;;;Technic, Connector;Technic;Connector;P;;Light Bluish Gray;#AFB5C7;Solid;;;;;;;;;;;;;;Part;Technic, Axle and Pin Connector Angled #6 - 90 degrees;2;2;0;Casier Petit Noir;A;1;
;;133;9;0,0922;1;;id32014color9.jpg;;U;P;32014;;;0,66;;;Technic, Connector;Technic;Connector;P;;Light Gray;#9C9C9C;Solid;;;;;;;;;;;;;;Part;Technic, Axle and Pin Connector Angled #6 - 90 degrees;2;2;0;Casier Petit Noir;A;1;
