LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;WEIGHT;DATELASTSOLD;CURRENCY;CATEGORYNAME;CATNAME1;CATNAME2;CATNAME3;CATNAME4;COLORNAME;RGB;COLORTYPE;SUBCONDITION;REMARKS;TIERQTY1;TIERPRICE1;TIERQTY2;TIERPRICE2;TIERQTY3;TIERPRICE3;RESERVEDFOR;RETAIN;SUPERLOTID;SUPERLOTQTY;EXTDESCRIPTION;ITEMTYPENAME;ITEMIDNAME;DIMENSIONX;DIMENSIONY;DIMENSIONZ;BOX;ROW;COLUMN
;;18;12;0,1503;8;;Not Available;;U;P;2343;;;0,26;;;Minifigure, Utensil;Minifigure;Utensil;P;;Trans-Clear;###EEEEEE;Transparent;;;;;;;;;;;;;;Part;Minifigure, Utensil Goblet;1;1;0;Casier Grand OrangeDeux;A;1
;;18;3;0,1705;4;;Not Available;;U;P;2343;;;0,26;;;Minifigure, Utensil;Minifigure;Utensil;P;;Yellow;###FFE001;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Goblet;1;1;0;Casier Grand OrangeDeux;A;1
;;18;5;0,2798;2;;Not Available;;U;P;2343;;;0,26;;;Minifigure, Utensil;Minifigure;Utensil;P;;Red;###B30006;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Goblet;1;1;0;Casier Grand OrangeDeux;A;1
;;18;81;0,2214;1;;Not Available;;U;P;2343;;;0,26;;;Minifigure, Utensil;Minifigure;Utensil;P;;Flat Dark Gold;###AD7118;Pearl;;;;;;;;;;;;;;Part;Minifigure, Utensil Goblet;1;1;0;Casier Grand OrangeDeux;A;1
;;18;9;0,2808;8;;Not Available;;U;P;2343;;;0,26;;;Minifigure, Utensil;Minifigure;Utensil;P;;Light Gray;###9C9C9C;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Goblet;1;1;0;Casier Grand OrangeDeux;A;1
;;18;1;0,1231;2;;Not Available;;U;P;3899;;;0,33;;;Minifigure, Utensil;Minifigure;Utensil;P;;White;###FFFFFF;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Cup;?;?;?;Casier Grand OrangeDeux;A;1
;;18;104;0,3253;3;;Not Available;;U;P;3899;;;0,33;;;Minifigure, Utensil;Minifigure;Utensil;P;;Bright Pink;###F7BCDA;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Cup;?;?;?;Casier Grand OrangeDeux;A;1
;;18;12;0,1457;3;;Not Available;;U;P;3899;;;0,33;;;Minifigure, Utensil;Minifigure;Utensil;P;;Trans-Clear;###EEEEEE;Transparent;;;;;;;;;;;;;;Part;Minifigure, Utensil Cup;?;?;?;Casier Grand OrangeDeux;A;1
;;18;3;0,0587;5;;Not Available;;U;P;3899;;;0,33;;;Minifigure, Utensil;Minifigure;Utensil;P;;Yellow;###FFE001;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Cup;?;?;?;Casier Grand OrangeDeux;A;1
;;18;5;0,0526;13;;Not Available;;U;P;3899;;;0,33;;;Minifigure, Utensil;Minifigure;Utensil;P;;Red;###B30006;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Cup;?;?;?;Casier Grand OrangeDeux;A;1
;;18;7;0,3199;1;;Not Available;;U;P;3899;;;0,33;;;Minifigure, Utensil;Minifigure;Utensil;P;;Blue;###0057A6;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Cup;?;?;?;Casier Grand OrangeDeux;A;1
;;18;94;0,1646;1;;Not Available;;U;P;3899;;;0,33;;;Minifigure, Utensil;Minifigure;Utensil;P;;Medium Dark Pink;###F785B1;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Cup;?;?;?;Casier Grand OrangeDeux;A;1
;;18;11;0,4962;1;;Not Available;;U;P;4341;;;2,9;;;Minifigure, Utensil;Minifigure;Utensil;P;;Black;###212121;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Pot Cauldron 3 x 3 x 1 & 3/4 with Handles;3;3;1.75;Casier Grand OrangeDeux;A;1
;;Category ID Not Available;4;0;1;;Not Available;;U;P;434702pb02;;;0;;;Category Name Not Available;Category1 Not Available;Category2 Not Available;P;Category4 Not Available;Orange;###FF7E14;Solid;;;;;;;;;;;;;;Part;Name Not Available;DimensionX Not Available;DimensionY Not Available;DimensionZ Not Available;Casier Grand OrangeDeux;A;1
;;18;11;0,1201;2;;Not Available;;U;P;4528;;;0,32;;;Minifigure, Utensil;Minifigure;Utensil;P;;Black;###212121;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Frying Pan;?;?;?;Casier Grand OrangeDeux;A;1
;;18;11;0,1117;2;;Not Available;;U;P;4529;;;0,42;;;Minifigure, Utensil;Minifigure;Utensil;P;;Black;###212121;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Saucepan;?;?;?;Casier Grand OrangeDeux;A;1
;;175;110;0,2615;1;;Not Available;;U;P;6254;;;0,31;;;Food & Drink;Food & Drink;;P;;Bright Light Orange;###FFC700;Solid;;;;;;;;;;;;;;Part;Ice Cream Scoops;?;?;?;Casier Grand OrangeDeux;A;1
;;18;20;0,6692;1;;Not Available;;U;P;95228;;;0,55;;;Minifigure, Utensil;Minifigure;Utensil;P;;Trans-Green;###217625;Transparent;;;;;;;;;;;;;;Part;Minifigure, Utensil Bottle;1;1;2;Casier Grand OrangeDeux;A;1
;;Category ID Not Available;1;0;1;;Not Available;;U;P;x45pb0;;;0;;;Category Name Not Available;Category1 Not Available;Category2 Not Available;P;Category4 Not Available;White;###FFFFFF;Solid;;;;;;;;;;;;;;Part;Name Not Available;DimensionX Not Available;DimensionY Not Available;DimensionZ Not Available;Casier Grand OrangeDeux;A;1
;;978;1;4,9523;1;;Not Available;;U;P;x45pb01;;;1,52;;;Ball;Ball;;P;;White;###FFFFFF;Solid;;;;;;;;;;;;;;Part;Ball, Sports Soccer with Adidas Blue Pattern;1.75;1.75;1.75;Casier Grand OrangeDeux;A;1
;;978;1;1,7611;6;;Not Available;;U;P;x45pb03;;;1,52;;;Ball;Ball;;P;;White;###FFFFFF;Solid;;;;;;;;;;;;;;Part;Ball, Sports Soccer with Standard Pattern;1.75;1.75;1.75;Casier Grand OrangeDeux;A;1
;;18;1;1,3333;1;;Not Available;;U;P;2516;;;0,72;;;Minifigure, Utensil;Minifigure;Utensil;P;;White;###FFFFFF;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Tool Chainsaw Body with Handles and Studs;?;?;?;Casier Grand OrangeDeux;A;2
;;18;11;0,1494;3;;Not Available;;U;P;2516;;;0,72;;;Minifigure, Utensil;Minifigure;Utensil;P;;Black;###212121;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Tool Chainsaw Body with Handles and Studs;?;?;?;Casier Grand OrangeDeux;A;2
;;18;3;0,0957;2;;Not Available;;U;P;2516;;;0,72;;;Minifigure, Utensil;Minifigure;Utensil;P;;Yellow;###FFE001;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Tool Chainsaw Body with Handles and Studs;?;?;?;Casier Grand OrangeDeux;A;2
;;18;1;0,1343;3;;Not Available;;U;P;30035;;;0,81;;;Minifigure, Utensil;Minifigure;Utensil;P;;White;###FFFFFF;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Space Scanner Tool;?;?;?;Casier Grand OrangeDeux;A;2
;;18;11;0,0997;4;;Not Available;;U;P;30035;;;0,81;;;Minifigure, Utensil;Minifigure;Utensil;P;;Black;###212121;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Space Scanner Tool;?;?;?;Casier Grand OrangeDeux;A;2
;;18;1;0,5624;2;;Not Available;;U;P;4360;;;1,02;;;Minifigure, Utensil;Minifigure;Utensil;P;;White;###FFFFFF;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Camera with Side Sight (Space Gun);?;?;?;Casier Grand OrangeDeux;A;2
;;18;11;0,1205;8;;Not Available;;U;P;4360;;;1,02;;;Minifigure, Utensil;Minifigure;Utensil;P;;Black;###212121;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Camera with Side Sight (Space Gun);?;?;?;Casier Grand OrangeDeux;A;2
;;18;1;0,9684;1;;Not Available;;U;P;4449;;;0,46;;;Minifigure, Utensil;Minifigure;Utensil;P;;White;###FFFFFF;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Briefcase / Suitcase;?;?;?;Casier Grand OrangeDeux;A;2
;;18;11;0,2168;3;;Not Available;;U;P;4449;;;0,46;;;Minifigure, Utensil;Minifigure;Utensil;P;;Black;###212121;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Briefcase / Suitcase;?;?;?;Casier Grand OrangeDeux;A;2
;;18;8;0,7754;3;;Not Available;;U;P;4449;;;0,46;;;Minifigure, Utensil;Minifigure;Utensil;P;;Brown;###532115;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Briefcase / Suitcase;?;?;?;Casier Grand OrangeDeux;A;2
;;18;9;0,5584;3;;Not Available;;U;P;4449;;;0,46;;;Minifigure, Utensil;Minifigure;Utensil;P;;Light Gray;###9C9C9C;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Briefcase / Suitcase;?;?;?;Casier Grand OrangeDeux;A;2
;;19;22;0,362;2;;Not Available;;U;P;57467a;;;0,15;;;Minifigure, Weapon;Minifigure;Weapon;P;;Chrome Silver;###DCDCDC;Chrome;;;;;;;;;;;;;;Part;Minifigure, Weapon Harpoon, Grooves in Shaft;3;0.5;0;Casier Grand OrangeDeux;A;2
;;18;18;0,1639;5;;Not Available;;U;P;6117;;;0,5;;;Minifigure, Utensil;Minifigure;Utensil;P;;Trans-Neon Orange;###FF4231;Transparent;;;;;;;;;;;;;;Part;Minifigure, Utensil Tool Chainsaw Blade;?;?;?;Casier Grand OrangeDeux;A;2
;;18;85;0,0565;1;;Not Available;;U;P;6117;;;0,5;;;Minifigure, Utensil;Minifigure;Utensil;P;;Dark Bluish Gray;###595D60;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Tool Chainsaw Blade;?;?;?;Casier Grand OrangeDeux;A;2
;;18;86;0,1098;1;;Not Available;;U;P;6117;;;0,5;;;Minifigure, Utensil;Minifigure;Utensil;P;;Light Bluish Gray;###AFB5C7;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Tool Chainsaw Blade;?;?;?;Casier Grand OrangeDeux;A;2
;;19;11;0,2206;1;;Not Available;;U;P;95199;;;0,41;;;Minifigure, Weapon;Minifigure;Weapon;P;;Black;###212121;Solid;;;;;;;;;;;;;;Part;Minifigure, Weapon Gun, Two Barrel Pistol;?;?;?;Casier Grand OrangeDeux;A;2
;;18;11;0,1602;11;;Not Available;;U;P;3959;;;0,3;;;Minifigure, Utensil;Minifigure;Utensil;P;;Black;###212121;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Space Gun / Torch;2.67;1;1.33;Casier Grand OrangeDeux;A;3
;;18;3;0,2581;5;;Not Available;;U;P;3959;;;0,3;;;Minifigure, Utensil;Minifigure;Utensil;P;;Yellow;###FFE001;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Space Gun / Torch;2.67;1;1.33;Casier Grand OrangeDeux;A;3
;;18;8;0,3405;1;;Not Available;;U;P;3959;;;0,3;;;Minifigure, Utensil;Minifigure;Utensil;P;;Brown;###532115;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Space Gun / Torch;2.67;1;1.33;Casier Grand OrangeDeux;A;3
;;18;11;0,0386;36;;Not Available;;U;P;3962b;;;0,42;;;Minifigure, Utensil;Minifigure;Utensil;P;;Black;###212121;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Radio with Extended Handle;?;?;?;Casier Grand OrangeDeux;A;3
;;18;85;0,0543;3;;Not Available;;U;P;3962b;;;0,42;;;Minifigure, Utensil;Minifigure;Utensil;P;;Dark Bluish Gray;###595D60;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Radio with Extended Handle;?;?;?;Casier Grand OrangeDeux;A;3
;;18;1;0,1875;4;;Not Available;;U;P;4349;;;0,4;;;Minifigure, Utensil;Minifigure;Utensil;P;;White;###FFFFFF;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Loudhailer / Megaphone / SW Blaster;?;?;?;Casier Grand OrangeDeux;A;3
;;18;11;0,0564;15;;Not Available;;U;P;4349;;;0,4;;;Minifigure, Utensil;Minifigure;Utensil;P;;Black;###212121;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Loudhailer / Megaphone / SW Blaster;?;?;?;Casier Grand OrangeDeux;A;3
;;18;3;0,184;1;;Not Available;;U;P;4349;;;0,4;;;Minifigure, Utensil;Minifigure;Utensil;P;;Yellow;###FFE001;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Loudhailer / Megaphone / SW Blaster;?;?;?;Casier Grand OrangeDeux;A;3
;;18;5;0,0596;3;;Not Available;;U;P;4349;;;0,4;;;Minifigure, Utensil;Minifigure;Utensil;P;;Red;###B30006;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Loudhailer / Megaphone / SW Blaster;?;?;?;Casier Grand OrangeDeux;A;3
;;18;85;0,0516;3;;Not Available;;U;P;4349;;;0,4;;;Minifigure, Utensil;Minifigure;Utensil;P;;Dark Bluish Gray;###595D60;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Loudhailer / Megaphone / SW Blaster;?;?;?;Casier Grand OrangeDeux;A;3
;;18;9;0,0949;4;;Not Available;;U;P;4349;;;0,4;;;Minifigure, Utensil;Minifigure;Utensil;P;;Light Gray;###9C9C9C;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Loudhailer / Megaphone / SW Blaster;?;?;?;Casier Grand OrangeDeux;A;3
;;19;84;0,468;1;;Not Available;;U;P;10050;;;0,25;;;Minifigure, Weapon;Minifigure;Weapon;P;;Copper;###AC6D52;Pearl;;;;;;;;;;;;;;Part;Minifigure, Weapon Sword, Uruk-hai;?;?;?;Casier Grand OrangeDeux;A;4
;;19;95;0,0646;2;;Not Available;;U;P;18041;;;0,2;;;Minifigure, Weapon;Minifigure;Weapon;P;;Flat Silver;###8D949C;Pearl;;;;;;;;;;;;;;Part;Minifigure, Weapon Harpoon, Smooth Shaft;?;?;?;Casier Grand OrangeDeux;A;4
;;18;95;0,2982;1;;Not Available;;U;P;18789;;;0,35;;;Minifigure, Utensil;Minifigure;Utensil;P;;Flat Silver;###8D949C;Pearl;;;;;;;;;;;;;;Part;Minifigure, Utensil Pickaxe Pixelated (Minecraft);?;?;?;Casier Grand OrangeDeux;A;4
;;19;11;0,1267;3;;Not Available;;U;P;21459;;;0,21;;;Minifigure, Weapon;Minifigure;Weapon;P;;Black;###212121;Solid;;;;;;;;;;;;;;Part;Minifigure, Weapon Sword, Shamshir/Katana (Square Guard) with Capped Pommel and Holes in Crossguard and Blade;0.5;6;0.5;Casier Grand OrangeDeux;A;4
;;19;115;0,0927;3;;Not Available;;U;P;21459;;;0,21;;;Minifigure, Weapon;Minifigure;Weapon;P;;Pearl Gold;###E79E1D;Pearl;;;;;;;;;;;;;;Part;Minifigure, Weapon Sword, Shamshir/Katana (Square Guard) with Capped Pommel and Holes in Crossguard and Blade;0.5;6;0.5;Casier Grand OrangeDeux;A;4
;;19;158;0,1171;5;;Not Available;;U;P;21459;;;0,21;;;Minifigure, Weapon;Minifigure;Weapon;P;;Yellowish Green;###E7F2A7;Solid;;;;;;;;;;;;;;Part;Minifigure, Weapon Sword, Shamshir/Katana (Square Guard) with Capped Pommel and Holes in Crossguard and Blade;0.5;6;0.5;Casier Grand OrangeDeux;A;4
;;19;95;0,0953;1;;Not Available;;U;P;21459;;;0,21;;;Minifigure, Weapon;Minifigure;Weapon;P;;Flat Silver;###8D949C;Pearl;;;;;;;;;;;;;;Part;Minifigure, Weapon Sword, Shamshir/Katana (Square Guard) with Capped Pommel and Holes in Crossguard and Blade;0.5;6;0.5;Casier Grand OrangeDeux;A;4
;;19;1;0,2029;1;;Not Available;;U;P;23984;;;0,45;;;Minifigure, Weapon;Minifigure;Weapon;P;;White;###FFFFFF;Solid;;;;;;;;;;;;;;Part;Minifigure, Weapon Sword, Cutlass Serrated with Skull Hand Guard;5;1;1;Casier Grand OrangeDeux;A;4
;;19;85;0,1194;2;;Not Available;;U;P;2530;;;0,16;;;Minifigure, Weapon;Minifigure;Weapon;P;;Dark Bluish Gray;###595D60;Solid;;;;;;;;;;;;;;Part;Minifigure, Weapon Sword, Cutlass;3;1;0;Casier Grand OrangeDeux;A;4
;;Category ID Not Available;95;0;1;;Not Available;;U;P;3013b;;;0;;;Category Name Not Available;Category1 Not Available;Category2 Not Available;P;Category4 Not Available;Flat Silver;###8D949C;Pearl;;;;;;;;;;;;;;Part;Name Not Available;DimensionX Not Available;DimensionY Not Available;DimensionZ Not Available;Casier Grand OrangeDeux;A;4
;;19;11;0,1421;2;;Not Available;;U;P;30173b;;;0,19;;;Minifigure, Weapon;Minifigure;Weapon;P;;Black;###212121;Solid;;;;;;;;;;;;;;Part;Minifigure, Weapon Sword, Shamshir/Katana (Square Guard) with Uncapped Pommel and Hole in Hilt;?;?;?;Casier Grand OrangeDeux;A;4
;;18;85;0,0552;2;;Not Available;;U;P;30194;;;0,5;;;Minifigure, Utensil;Minifigure;Utensil;P;;Dark Bluish Gray;###595D60;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Tool Circular Blade Saw;?;?;?;Casier Grand OrangeDeux;A;4
;;18;85;0,0652;8;;Not Available;;U;P;30228;;;0,57;;;Minifigure, Utensil;Minifigure;Utensil;P;;Dark Bluish Gray;###595D60;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Tool Motor Hammer / Jackhammer;?;?;?;Casier Grand OrangeDeux;A;4
;;Category ID Not Available;11;0;5;;Not Available;;U;P;323984;;;0;;;Category Name Not Available;Category1 Not Available;Category2 Not Available;P;Category4 Not Available;Black;###212121;Solid;;;;;;;;;;;;;;Part;Name Not Available;DimensionX Not Available;DimensionY Not Available;DimensionZ Not Available;Casier Grand OrangeDeux;A;4
