LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;ITEMWEIGHT;DATELASTSOLD;BASECURRENCYCODE;CATEGORYNAME;CATEGORYNAMEUNDER;COLORNAME;ITEMTYPENAME;ITEMIDNAME;BOX;LINE;ROW;DIMENSIONX;DIMENSIONY;DIMENSIONZ
;05/01/2022;31;5;0,46;2;1;;;U;P;962;;Y;0,7;;EUR;Slope;;Red;Part;Slope 45 2 x 2 Double Convex / Double Concave;Etagere Aubergine;A;1;2;2;1
;05/01/2022;32;5;0,17;2;1;;;U;P;2341;;Y;0,6;;EUR;Slope, Inverted;;Red;Part;Slope, Inverted 45 3 x 1 Double;Etagere Aubergine;A;1;3;1;1
;05/01/2022;32;11;0,46;3;1;;;U;P;2341;;Y;0,6;;EUR;Slope, Inverted;;Black;Part;Slope, Inverted 45 3 x 1 Double;Etagere Aubergine;A;1;3;1;1
;05/01/2022;31;1;0,17;18;1;;;U;P;3039;;Y;1,15;;EUR;Slope;;White;Part;Slope 45 2 x 2;Etagere Aubergine;A;1;2;2;1
;05/01/2022;31;3;0,17;66;1;;;U;P;3039;;Y;1,15;;EUR;Slope;;Yellow;Part;Slope 45 2 x 2;Etagere Aubergine;A;1;2;2;1
;05/01/2022;31;5;0,17;146;1;;;U;P;3039;;Y;1,15;;EUR;Slope;;Red;Part;Slope 45 2 x 2;Etagere Aubergine;A;1;2;2;1
;05/01/2022;31;7;0,17;54;1;;;U;P;3039;;Y;1,15;;EUR;Slope;;Blue;Part;Slope 45 2 x 2;Etagere Aubergine;A;1;2;2;1
;05/01/2022;31;10;0,08;4;1;;;U;P;3039;;Y;1,15;;EUR;Slope;;Dark Gray;Part;Slope 45 2 x 2;Etagere Aubergine;A;1;2;2;1
;05/01/2022;31;11;0,17;98;1;;;U;P;3039;;Y;1,15;;EUR;Slope;;Black;Part;Slope 45 2 x 2;Etagere Aubergine;A;1;2;2;1
;05/01/2022;31;5;0,18;3;1;;;U;P;3042;;Y;1,18;;EUR;Slope;;Red;Part;Slope 45 2 x 3 Double;Etagere Aubergine;A;1;2;3;1
;05/01/2022;31;11;0,99;4;1;;;U;P;3042;;Y;1,18;;EUR;Slope;;Black;Part;Slope 45 2 x 3 Double;Etagere Aubergine;A;1;2;3;1
;05/01/2022;31;5;0,08;15;1;;;U;P;3043;;Y;0,91;;EUR;Slope;;Red;Part;Slope 45 2 x 2 Double;Etagere Aubergine;A;1;2;2;1
;05/01/2022;31;11;0,22;4;1;;;U;P;3043;;Y;0,91;;EUR;Slope;;Black;Part;Slope 45 2 x 2 Double;Etagere Aubergine;A;1;2;2;1
;05/01/2022;31;1;0,26;2;1;;;U;P;3045;;Y;0,9;;EUR;Slope;;White;Part;Slope 45 2 x 2 Double Convex Corner;Etagere Aubergine;A;1;2;2;1
;05/01/2022;31;5;0,11;34;1;;;U;P;3045;;Y;0,9;;EUR;Slope;;Red;Part;Slope 45 2 x 2 Double Convex Corner;Etagere Aubergine;A;1;2;2;1
;05/01/2022;31;11;0,27;3;1;;;U;P;3045;;Y;0,9;;EUR;Slope;;Black;Part;Slope 45 2 x 2 Double Convex Corner;Etagere Aubergine;A;1;2;2;1
;05/01/2022;31;5;0,07;10;1;;;U;P;3299;;Y;1,1;;EUR;Slope;;Red;Part;Slope 33 2 x 4 Double;Etagere Aubergine;A;1;2;4;0,5
;05/01/2022;31;11;0,38;2;1;;;U;P;3299;;Y;1,1;;EUR;Slope;;Black;Part;Slope 33 2 x 4 Double;Etagere Aubergine;A;1;2;4;0,5
;05/01/2022;31;5;0,06;2;1;;;U;P;3300;;Y;0,54;;EUR;Slope;;Red;Part;Slope 33 2 x 2 Double;Etagere Aubergine;A;1;2;2;0,5
;05/01/2022;31;5;0,26;1;1;;;U;P;3675;;Y;1,54;;EUR;Slope;;Red;Part;Slope 33 3 x 3 Double Convex Corner;Etagere Aubergine;A;1;3;3;1
;05/01/2022;31;11;0,24;8;1;;;U;P;3675;;Y;1,54;;EUR;Slope;;Black;Part;Slope 33 3 x 3 Double Convex Corner;Etagere Aubergine;A;1;3;3;1
;05/01/2022;32;3;0,23;2;1;;;U;P;3676;;Y;1,13;;EUR;Slope, Inverted;;Yellow;Part;Slope, Inverted 45 2 x 2 Double Convex;Etagere Aubergine;A;1;2;2;1
;05/01/2022;32;11;0,59;1;1;;;U;P;3676;;Y;1,13;;EUR;Slope, Inverted;;Black;Part;Slope, Inverted 45 2 x 2 Double Convex;Etagere Aubergine;A;1;2;2;1
;05/01/2022;31;11;0,23;5;1;;;U;P;4161;;Y;1,94;;EUR;Slope;;Black;Part;Slope 33 3 x 3;Etagere Aubergine;A;1;3;3;1
;05/01/2022;31;5;0,09;8;1;;;U;P;3044a;;Y;0,5;;EUR;Slope;;Red;Part;Slope 45 2 x 1 Double without Inside Bar or Bottom Stud Holder;Etagere Aubergine;A;1;2;1;1
;05/01/2022;31;1;0,17;3;1;;;U;P;3046b;;Y;1,11;;EUR;Slope;;White;Part;Slope 45 2 x 2 Double Concave - Smooth;Etagere Aubergine;A;1;2;2;1
;05/01/2022;31;5;0,13;47;1;;;U;P;3046b;;Y;1,11;;EUR;Slope;;Red;Part;Slope 45 2 x 2 Double Concave - Smooth;Etagere Aubergine;A;1;2;2;1
;05/01/2022;31;7;0,11;3;1;;;U;P;3046b;;Y;1,11;;EUR;Slope;;Blue;Part;Slope 45 2 x 2 Double Concave - Smooth;Etagere Aubergine;A;1;2;2;1
;05/01/2022;31;5;0,06;2;1;;;U;P;3048a;;Y;0,33;;EUR;Slope;;Red;Part;Slope 45 2 x 1 Triple without Inside Bar or Bottom Stud Holder;Etagere Aubergine;A;1;2;1;1
;05/01/2022;31;5;0,21;2;1;;;U;P;3049a;;Y;0,49;;EUR;Slope;;Red;Part;Slope 45 2 x 1 Double / Inverted - with Bottom Tube;Etagere Aubergine;A;1;2;2;1
;05/01/2022;31;1;0,38;1;1;;;U;P;3049b;;Y;0,49;;EUR;Slope;;White;Part;Slope 45 2 x 1 Double / Inverted - without Bottom Tube or Bottom Stud Holder;Etagere Aubergine;A;1;2;2;1
;05/01/2022;31;11;0,11;1;1;;;U;P;3049b;;Y;0,49;;EUR;Slope;;Black;Part;Slope 45 2 x 1 Double / Inverted - without Bottom Tube or Bottom Stud Holder;Etagere Aubergine;A;1;2;2;1
;05/01/2022;32;1;0,3;2;1;;;U;P;2449;;Y;1,88;;EUR;Slope, Inverted;;White;Part;Slope, Inverted 75 2 x 1 x 3;Etagere Aubergine;A;2;2;1;3
;05/01/2022;32;11;0,28;14;1;;;U;P;2449;;Y;1,88;;EUR;Slope, Inverted;;Black;Part;Slope, Inverted 75 2 x 1 x 3;Etagere Aubergine;A;2;2;1;3
;05/01/2022;31;1;0,09;5;1;;;U;P;3037;;Y;1,97;;EUR;Slope;;White;Part;Slope 45 2 x 4;Etagere Aubergine;A;2;2;4;0
;05/01/2022;31;3;0,08;8;1;;;U;P;3037;;Y;1,97;;EUR;Slope;;Yellow;Part;Slope 45 2 x 4;Etagere Aubergine;A;2;2;4;0
;05/01/2022;31;5;0,2;230;1;;;U;P;3037;;Y;1,97;;EUR;Slope;;Red;Part;Slope 45 2 x 4;Etagere Aubergine;A;2;2;4;0
;05/01/2022;31;7;0,2;6;1;;;U;P;3037;;Y;1,97;;EUR;Slope;;Blue;Part;Slope 45 2 x 4;Etagere Aubergine;A;2;2;4;0
;05/01/2022;31;11;0,2;17;1;;;U;P;3037;;Y;1,97;;EUR;Slope;;Black;Part;Slope 45 2 x 4;Etagere Aubergine;A;2;2;4;0
;05/01/2022;31;1;0,08;11;1;;;U;P;3038;;Y;1,72;;EUR;Slope;;White;Part;Slope 45 2 x 3;Etagere Aubergine;A;2;2;3;0
;05/01/2022;31;5;0,09;14;1;;;U;P;3038;;Y;1,72;;EUR;Slope;;Red;Part;Slope 45 2 x 3;Etagere Aubergine;A;2;2;3;0
;05/01/2022;31;7;0,15;1;1;;;U;P;3038;;Y;1,72;;EUR;Slope;;Blue;Part;Slope 45 2 x 3;Etagere Aubergine;A;2;2;3;0
;05/01/2022;31;11;0,17;4;1;;;U;P;3038;;Y;1,72;;EUR;Slope;;Black;Part;Slope 45 2 x 3;Etagere Aubergine;A;2;2;3;0
;05/01/2022;31;1;0,15;4;1;;;U;P;3297;;Y;2,57;;EUR;Slope;;White;Part;Slope 33 3 x 4;Etagere Aubergine;A;2;3;4;1
;05/01/2022;31;5;0,09;88;1;;;U;P;3297;;Y;2,57;;EUR;Slope;;Red;Part;Slope 33 3 x 4;Etagere Aubergine;A;2;3;4;1
;05/01/2022;31;7;0,09;37;1;;;U;P;3297;;Y;2,57;;EUR;Slope;;Blue;Part;Slope 33 3 x 4;Etagere Aubergine;A;2;3;4;1
;05/01/2022;31;11;0,23;12;1;;;U;P;3297;;Y;2,57;;EUR;Slope;;Black;Part;Slope 33 3 x 4;Etagere Aubergine;A;2;3;4;1
;05/01/2022;31;1;0,07;26;1;;;U;P;3298;;Y;1,33;;EUR;Slope;;White;Part;Slope 33 3 x 2;Etagere Aubergine;A;2;3;2;1
;05/01/2022;31;3;0,05;25;1;;;U;P;3298;;Y;1,33;;EUR;Slope;;Yellow;Part;Slope 33 3 x 2;Etagere Aubergine;A;2;3;2;1
;05/01/2022;31;5;0,07;92;1;;;U;P;3298;;Y;1,33;;EUR;Slope;;Red;Part;Slope 33 3 x 2;Etagere Aubergine;A;2;3;2;1
;05/01/2022;31;7;0,05;46;1;;;U;P;3298;;Y;1,33;;EUR;Slope;;Blue;Part;Slope 33 3 x 2;Etagere Aubergine;A;2;3;2;1
;05/01/2022;31;11;0,09;22;1;;;U;P;3298;;Y;1,33;;EUR;Slope;;Black;Part;Slope 33 3 x 2;Etagere Aubergine;A;2;3;2;1
;05/01/2022;32;1;0,04;39;1;;;U;P;3660;;Y;1,25;;EUR;Slope, Inverted;;White;Part;Slope, Inverted 45 2 x 2;Etagere Aubergine;A;2;2;2;1
;05/01/2022;32;3;0,04;20;1;;;U;P;3660;;Y;1,25;;EUR;Slope, Inverted;;Yellow;Part;Slope, Inverted 45 2 x 2;Etagere Aubergine;A;2;2;2;1
;05/01/2022;32;5;0,04;38;1;;;U;P;3660;;Y;1,25;;EUR;Slope, Inverted;;Red;Part;Slope, Inverted 45 2 x 2;Etagere Aubergine;A;2;2;2;1
;05/01/2022;32;7;0,05;29;1;;;U;P;3660;;Y;1,25;;EUR;Slope, Inverted;;Blue;Part;Slope, Inverted 45 2 x 2;Etagere Aubergine;A;2;2;2;1
;05/01/2022;32;11;0,05;69;1;;;U;P;3660;;Y;1,25;;EUR;Slope, Inverted;;Black;Part;Slope, Inverted 45 2 x 2;Etagere Aubergine;A;2;2;2;1
;05/01/2022;32;1;0,03;55;1;;;U;P;3665;;Y;0,66;;EUR;Slope, Inverted;;White;Part;Slope, Inverted 45 2 x 1;Etagere Aubergine;A;2;2;1;1
