LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;ITEMWEIGHT;DATELASTSOLD;BASECURRENCYCODE;CATEGORYNAME;CATEGORYNAMEUNDER;COLORNAME;ITEMTYPENAME;ITEMIDNAME;BOX;LINE;ROW;DIMENSIONX;DIMENSIONY;DIMENSIONZ
;05/01/2022;5;11;0,09;9;1;;;U;P;2456;;Y;3,74;;EUR;Brick;;Black;Part;Brick 2 x 6;Etagere Grise;A;1;2;6;1
;05/01/2022;5;1;0,09;322;1;;;U;P;3001;;Y;2,32;;EUR;Brick;;White;Part;Brick 2 x 4;Etagere Grise;A;1;2;4;1
;05/01/2022;5;5;0,09;382;1;;;U;P;3001;;Y;2,32;;EUR;Brick;;Red;Part;Brick 2 x 4;Etagere Grise;A;1;2;4;1
;05/01/2022;5;7;0,09;322;1;;;U;P;3001;;Y;2,32;;EUR;Brick;;Blue;Part;Brick 2 x 4;Etagere Grise;A;1;2;4;1
;05/01/2022;5;11;0,09;142;1;;;U;P;3001;;Y;2,32;;EUR;Brick;;Black;Part;Brick 2 x 4;Etagere Grise;A;1;2;4;1
;05/01/2022;5;1;0,06;166;1;;;U;P;3002;;Y;1,92;;EUR;Brick;;White;Part;Brick 2 x 3;Etagere Grise;A;1;2;3;1
;05/01/2022;5;3;0,05;156;1;;;U;P;3002;;Y;1,92;;EUR;Brick;;Yellow;Part;Brick 2 x 3;Etagere Grise;A;1;2;3;1
;05/01/2022;5;1;0,04;470;1;;;U;P;3003;;Y;1,35;;EUR;Brick;;White;Part;Brick 2 x 2;Etagere Grise;A;1;2;2;1
;05/01/2022;5;3;0,04;376;1;;;U;P;3003;;Y;1,35;;EUR;Brick;;Yellow;Part;Brick 2 x 2;Etagere Grise;A;1;2;2;1
;05/01/2022;5;11;0,72;2;1;;;U;P;3006;;Y;5,75;;EUR;Brick;;Black;Part;Brick 2 x 10;Etagere Grise;A;1;2;10;0
;05/01/2022;5;11;0,37;4;1;;;U;P;3007;;Y;4,75;;EUR;Brick;;Black;Part;Brick 2 x 8;Etagere Grise;A;1;2;8;1
;05/01/2022;5;1;1,04;1;1;;;U;P;4201;;Y;16,3;;EUR;Brick;;White;Part;Brick 8 x 8;Etagere Grise;A;1;8;8;1
;05/01/2022;5;6;0,46;5;1;;;U;P;4201;;Y;16,3;;EUR;Brick;;Green;Part;Brick 8 x 8;Etagere Grise;A;1;8;8;1
;05/01/2022;5;3;0,57;1;1;;;U;P;4204;;Y;30,66;;EUR;Brick;;Yellow;Part;Brick 8 x 16;Etagere Grise;A;1;8;16;1
