LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;ITEMWEIGHT;DATELASTSOLD;BASECURRENCYCODE;CATEGORYNAME;CATEGORYNAMEUNDER;COLORNAME;ITEMTYPENAME;ITEMIDNAME;BOX;LINE;ROW;DIMENSIONX;DIMENSIONY;DIMENSIONZ
;05/01/2022;22;1;0,35;58;1;;;U;P;4276;;Y;0,41;;EUR;Hinge;;White;Part;Hinge Plate 1 x 2 with 2 Fingers (Undetermined Type);Grand Gris;A;1;0;0;0
;05/01/2022;22;3;0,26;47;1;;;U;P;4276;;Y;0,41;;EUR;Hinge;;Yellow;Part;Hinge Plate 1 x 2 with 2 Fingers (Undetermined Type);Grand Gris;A;1;0;0;0
;05/01/2022;22;5;0,19;66;1;;;U;P;4276;;Y;0,41;;EUR;Hinge;;Red;Part;Hinge Plate 1 x 2 with 2 Fingers (Undetermined Type);Grand Gris;A;1;0;0;0
;05/01/2022;22;7;0,36;24;1;;;U;P;4276;;Y;0,41;;EUR;Hinge;;Blue;Part;Hinge Plate 1 x 2 with 2 Fingers (Undetermined Type);Grand Gris;A;1;0;0;0
;05/01/2022;22;9;0,8;12;1;;;U;P;4276;;Y;0,41;;EUR;Hinge;;Light Gray;Part;Hinge Plate 1 x 2 with 2 Fingers (Undetermined Type);Grand Gris;A;1;0;0;0
;05/01/2022;22;11;0,54;167;1;;;U;P;4276;;Y;0,41;;EUR;Hinge;;Black;Part;Hinge Plate 1 x 2 with 2 Fingers (Undetermined Type);Grand Gris;A;1;0;0;0
;05/01/2022;43;1;0,42;1;1;;;U;P;2695;;Y;2,4;;EUR;Wheel;;White;Part;Wheel 30mm D. x 13mm (13 x 24 Model Team);grand gris;A;2;0;0;0
;05/01/2022;43;3;0,24;5;1;;;U;P;2695;;Y;2,4;;EUR;Wheel;;Yellow;Part;Wheel 30mm D. x 13mm (13 x 24 Model Team);grand gris;A;2;0;0;0
;05/01/2022;43;9;0,57;1;1;;;U;P;2695;;Y;2,4;;EUR;Wheel;;Light Gray;Part;Wheel 30mm D. x 13mm (13 x 24 Model Team);grand gris;A;2;0;0;0
;05/01/2022;43;39;0,16;1;1;;;U;P;2695;;Y;2,4;;EUR;Wheel;;Dark Turquoise;Part;Wheel 30mm D. x 13mm (13 x 24 Model Team);grand gris;A;2;0;0;0
;05/01/2022;111;11;0,19;5;1;;;U;P;2696;;Y;11;;EUR;Tire & Tread;;Black;Part;Tire 13 x 24 Model Team;grand gris;A;2;0;0;0
;05/01/2022;43;3;0,09;1;1;;;U;P;2994;;Y;1,75;;EUR;Wheel;;Yellow;Part;Wheel 30.4 x 14 VR;grand gris;A;2;0;0;0
;05/01/2022;22;1;2,1;13;1;;;U;P;4275;;Y;0,43;;EUR;Hinge;;White;Part;Hinge Plate 1 x 2 with 3 Fingers (Undetermined Type);Grand Gris;A;2;0;0;0
;05/01/2022;22;3;0,25;63;1;;;U;P;4275;;Y;0,43;;EUR;Hinge;;Yellow;Part;Hinge Plate 1 x 2 with 3 Fingers (Undetermined Type);Grand Gris;A;2;0;0;0
;05/01/2022;22;5;0,41;47;1;;;U;P;4275;;Y;0,43;;EUR;Hinge;;Red;Part;Hinge Plate 1 x 2 with 3 Fingers (Undetermined Type);Grand Gris;A;2;0;0;0
;05/01/2022;22;7;0,3;55;1;;;U;P;4275;;Y;0,43;;EUR;Hinge;;Blue;Part;Hinge Plate 1 x 2 with 3 Fingers (Undetermined Type);Grand Gris;A;2;0;0;0
;05/01/2022;22;9;1,31;10;1;;;U;P;4275;;Y;0,43;;EUR;Hinge;;Light Gray;Part;Hinge Plate 1 x 2 with 3 Fingers (Undetermined Type);Grand Gris;A;2;0;0;0
;05/01/2022;22;11;0,82;105;1;;;U;P;4275;;Y;0,43;;EUR;Hinge;;Black;Part;Hinge Plate 1 x 2 with 3 Fingers (Undetermined Type);Grand Gris;A;2;0;0;0
;05/01/2022;43;67;3,11;3;1;;;U;P;22253;;Y;7,2;;EUR;Wheel;;Metallic Silver;Part;Wheel 36.8mm D. x 26mm VR with Axle Hole (x Shape);grand gris;A;2;0;0;0
;05/01/2022;11;1;0,12;4;1;;;U;P;41531;;Y;2,83;;EUR;Cylinder;;White;Part;Cylinder 4 x 4 x 1 2/3 with Pin Holes and Center Bar;grand gris;A;2;4;4;1,67
;05/01/2022;11;5;0,07;2;1;;;U;P;41531;;Y;2,83;;EUR;Cylinder;;Red;Part;Cylinder 4 x 4 x 1 2/3 with Pin Holes and Center Bar;grand gris;A;2;4;4;1,67
;05/01/2022;11;86;0,12;2;1;;;U;P;41531;;Y;2,83;;EUR;Cylinder;;Light Bluish Gray;Part;Cylinder 4 x 4 x 1 2/3 with Pin Holes and Center Bar;grand gris;A;2;4;4;1,67
;05/01/2022;43;86;0,9;5;1;;;U;P;41896;;Y;9,35;;EUR;Wheel;;Light Bluish Gray;Part;Wheel 43.2mm D. x 26mm Technic Racing Small, 3 Pin Holes;grand gris;A;2;0;0;0
;05/01/2022;43;1;0,28;1;1;;;U;P;56145;;Y;4,25;;EUR;Wheel;;White;Part;Wheel 30.4mm D. x 20mm with No Pin Holes and Reinforced Rim;grand gris;A;2;0;0;0
;05/01/2022;43;5;0,21;3;1;;;U;P;56145;;Y;4,25;;EUR;Wheel;;Red;Part;Wheel 30.4mm D. x 20mm with No Pin Holes and Reinforced Rim;grand gris;A;2;0;0;0
;05/01/2022;43;11;0,12;31;1;;;U;P;56145;;Y;4,25;;EUR;Wheel;;Black;Part;Wheel 30.4mm D. x 20mm with No Pin Holes and Reinforced Rim;grand gris;A;2;0;0;0
;05/01/2022;43;86;0,11;10;1;;;U;P;56145;;Y;4,25;;EUR;Wheel;;Light Bluish Gray;Part;Wheel 30.4mm D. x 20mm with No Pin Holes and Reinforced Rim;grand gris;A;2;0;0;0
;05/01/2022;43;115;0,1;8;1;;;U;P;56145;;Y;4,25;;EUR;Wheel;;Pearl Gold;Part;Wheel 30.4mm D. x 20mm with No Pin Holes and Reinforced Rim;grand gris;A;2;0;0;0
;05/01/2022;111;11;0,37;4;1;;;U;P;56898;;Y;7,58;;EUR;Tire & Tread;;Black;Part;Tire 43.2 x 14 Offset Tread;grand gris;A;2;0;0;0
;05/01/2022;43;1;0,27;1;1;;;U;P;56904;;Y;4,1;;EUR;Wheel;;White;Part;Wheel 30mm D. x 14mm (for Tire 43.2 x 14);grand gris;A;2;0;0;0
;05/01/2022;43;86;0,28;4;1;;;U;P;56904;;Y;4,1;;EUR;Wheel;;Light Bluish Gray;Part;Wheel 30mm D. x 14mm (for Tire 43.2 x 14);grand gris;A;2;0;0;0
;05/01/2022;43;85;0,15;2;1;;;U;P;64711;;Y;12,25;;EUR;Wheel;;Dark Bluish Gray;Part;Wheel Hard Plastic with Small Cleats;grand gris;A;2;0;0;0
;05/01/2022;43;11;0,1;1;1;;;U;P;64712;;Y;14,6;;EUR;Wheel;;Black;Part;Wheel Hard Plastic with Small Cleats and Flanges;grand gris;A;2;0;0;0
;05/01/2022;43;5;0,27;1;1;;;U;P;4266pb02;;Y;4,59;;EUR;Wheel;;Red;Part;Wheel 20 x 30 Technic with Yellow Arrow Pattern (Sticker) - Set 8856;grand gris;A;2;0;0;0
;05/01/2022;43;11;0,14;3;1;;;U;P;4266pb04;;Y;5,3;;EUR;Wheel;;Black;Part;Wheel 20 x 30 Technic with 28 Lines with Orange to Yellow Gradient Pattern (Sticker) - Sets 6580 / 6582;grand gris;A;2;0;0;0
;05/01/2022;22;1;0,27;56;1;;;U;P;4315;;Y;0,85;;EUR;Hinge;;White;Part;Hinge Vehicle Roof Holder 1 x 4;Grand Gris;A;3;1;4;0
;05/01/2022;22;3;0,12;7;1;;;U;P;4315;;Y;0,85;;EUR;Hinge;;Yellow;Part;Hinge Vehicle Roof Holder 1 x 4;Grand Gris;A;3;1;4;0
;05/01/2022;22;5;0,14;27;1;;;U;P;4315;;Y;0,85;;EUR;Hinge;;Red;Part;Hinge Vehicle Roof Holder 1 x 4;Grand Gris;A;3;1;4;0
;05/01/2022;22;7;0,18;40;1;;;U;P;4315;;Y;0,85;;EUR;Hinge;;Blue;Part;Hinge Vehicle Roof Holder 1 x 4;Grand Gris;A;3;1;4;0
;05/01/2022;22;9;0,57;3;1;;;U;P;4315;;Y;0,85;;EUR;Hinge;;Light Gray;Part;Hinge Vehicle Roof Holder 1 x 4;Grand Gris;A;3;1;4;0
;05/01/2022;22;11;0,19;48;1;;;U;P;4315;;Y;0,85;;EUR;Hinge;;Black;Part;Hinge Vehicle Roof Holder 1 x 4;Grand Gris;A;3;1;4;0
;05/01/2022;22;1;0,18;28;1;;;U;P;4625;;Y;0,67;;EUR;Hinge;;White;Part;Hinge Tile 1 x 4;Grand Gris;A;4;1;4;0
;05/01/2022;22;3;1,46;1;1;;;U;P;4625;;Y;0,67;;EUR;Hinge;;Yellow;Part;Hinge Tile 1 x 4;Grand Gris;A;4;1;4;0
;05/01/2022;22;5;0,18;37;1;;;U;P;4625;;Y;0,67;;EUR;Hinge;;Red;Part;Hinge Tile 1 x 4;Grand Gris;A;4;1;4;0
;05/01/2022;22;7;0,21;5;1;;;U;P;4625;;Y;0,67;;EUR;Hinge;;Blue;Part;Hinge Tile 1 x 4;Grand Gris;A;4;1;4;0
;05/01/2022;22;9;0,2;1;1;;;U;P;4625;;Y;0,67;;EUR;Hinge;;Light Gray;Part;Hinge Tile 1 x 4;Grand Gris;A;4;1;4;0
;05/01/2022;22;11;0,15;24;1;;;U;P;4625;;Y;0,67;;EUR;Hinge;;Black;Part;Hinge Tile 1 x 4;Grand Gris;A;4;1;4;0
;05/01/2022;22;34;0,19;3;1;;;U;P;4625;;Y;0,67;;EUR;Hinge;;Lime;Part;Hinge Tile 1 x 4;Grand Gris;A;4;1;4;0
;05/01/2022;45;10;0,11;1;1;;;U;P;412;;Y;0,47;;EUR;Arm;;Dark Gray;Part;Arm Piece Turned with 2 and 3 Fingers;Grand Gris;A;5;0;0;0
;05/01/2022;45;16;0,33;5;1;;;U;P;412;;Y;0,47;;EUR;Arm;;Trans-Neon Green;Part;Arm Piece Turned with 2 and 3 Fingers;Grand Gris;A;5;0;0;0
;05/01/2022;45;18;0,11;8;1;;;U;P;412;;Y;0,47;;EUR;Arm;;Trans-Neon Orange;Part;Arm Piece Turned with 2 and 3 Fingers;Grand Gris;A;5;0;0;0
;05/01/2022;45;9;0,14;1;1;;;U;P;795;;Y;0,24;;EUR;Arm;;Light Gray;Part;Arm Piece with Disk and 2 Fingers;Grand Gris;A;5;0;0;0
;05/01/2022;14;5;0,57;9;1;;;U;P;2607;;Y;0,89;;EUR;Magnet;;Red;Part;Magnet Holder 2 x 3 with Clips and Pin Hole;Grand Gris;A;5;0;0;0
;05/01/2022;14;7;0,68;1;1;;;U;P;2607;;Y;0,89;;EUR;Magnet;;Blue;Part;Magnet Holder 2 x 3 with Clips and Pin Hole;Grand Gris;A;5;0;0;0
;05/01/2022;14;11;1,35;4;1;;;U;P;2607;;Y;0,89;;EUR;Magnet;;Black;Part;Magnet Holder 2 x 3 with Clips and Pin Hole;Grand Gris;A;5;0;0;0
;05/01/2022;45;3;0,14;9;1;;;U;P;3612;;Y;0,47;;EUR;Arm;;Yellow;Part;Arm Piece Straight with 2 and 3 Fingers;Grand Gris;A;5;0;0;0
;05/01/2022;45;5;0,07;2;1;;;U;P;3612;;Y;0,47;;EUR;Arm;;Red;Part;Arm Piece Straight with 2 and 3 Fingers;Grand Gris;A;5;0;0;0
;05/01/2022;45;7;0,13;6;1;;;U;P;3612;;Y;0,47;;EUR;Arm;;Blue;Part;Arm Piece Straight with 2 and 3 Fingers;Grand Gris;A;5;0;0;0
;05/01/2022;45;8;0,05;2;1;;;U;P;3612;;Y;0,47;;EUR;Arm;;Brown;Part;Arm Piece Straight with 2 and 3 Fingers;Grand Gris;A;5;0;0;0
;05/01/2022;45;9;0,25;9;1;;;U;P;3612;;Y;0,47;;EUR;Arm;;Light Gray;Part;Arm Piece Straight with 2 and 3 Fingers;Grand Gris;A;5;0;0;0
;05/01/2022;45;11;0,16;8;1;;;U;P;3612;;Y;0,47;;EUR;Arm;;Black;Part;Arm Piece Straight with 2 and 3 Fingers;Grand Gris;A;5;0;0;0
;05/01/2022;45;1;0,04;11;1;;;U;P;3613;;Y;0,43;;EUR;Arm;;White;Part;Arm Piece with Tow Ball Socket, 3 Fingers;Grand Gris;A;5;0;0;0
;05/01/2022;45;3;0,07;2;1;;;U;P;3613;;Y;0,43;;EUR;Arm;;Yellow;Part;Arm Piece with Tow Ball Socket, 3 Fingers;Grand Gris;A;5;0;0;0
;05/01/2022;45;5;0,02;1;1;;;U;P;3613;;Y;0,43;;EUR;Arm;;Red;Part;Arm Piece with Tow Ball Socket, 3 Fingers;Grand Gris;A;5;0;0;0
;05/01/2022;45;7;0,07;5;1;;;U;P;3613;;Y;0,43;;EUR;Arm;;Blue;Part;Arm Piece with Tow Ball Socket, 3 Fingers;Grand Gris;A;5;0;0;0
;05/01/2022;45;11;0,04;1;1;;;U;P;3613;;Y;0,43;;EUR;Arm;;Black;Part;Arm Piece with Tow Ball Socket, 3 Fingers;Grand Gris;A;5;0;0;0
;05/01/2022;45;3;0,08;3;1;;;U;P;4220;;Y;0,45;;EUR;Arm;;Yellow;Part;Arm Grab Jaw Holder;Grand Gris;A;5;0;0;0
;05/01/2022;45;9;0,42;2;1;;;U;P;4220;;Y;0,45;;EUR;Arm;;Light Gray;Part;Arm Grab Jaw Holder;Grand Gris;A;5;0;0;0
;05/01/2022;45;11;0,68;3;1;;;U;P;4220;;Y;0,45;;EUR;Arm;;Black;Part;Arm Grab Jaw Holder;Grand Gris;A;5;0;0;0
;05/01/2022;45;9;0,41;2;1;;;U;P;4221;;Y;0,28;;EUR;Arm;;Light Gray;Part;Arm Grab Jaw;Grand Gris;A;5;0;0;0
;05/01/2022;45;11;0,14;10;1;;;U;P;4221;;Y;0,28;;EUR;Arm;;Black;Part;Arm Grab Jaw;Grand Gris;A;5;0;0;0
;05/01/2022;45;11;0,17;11;1;;;U;P;6048;;Y;0,36;;EUR;Arm;;Black;Part;Arm Piece with Pin, 2 Fingers;Grand Gris;A;5;1;2;1
;05/01/2022;45;5;0,13;4;1;;;U;P;6217;;Y;0,44;;EUR;Arm;;Red;Part;Arm Piece with Pin, 3 Fingers;Grand Gris;A;5;0;0;0
;05/01/2022;45;7;0,14;1;1;;;U;P;6217;;Y;0,44;;EUR;Arm;;Blue;Part;Arm Piece with Pin, 3 Fingers;Grand Gris;A;5;0;0;0
;05/01/2022;45;11;1,58;5;1;;;U;P;6217;;Y;0,44;;EUR;Arm;;Black;Part;Arm Piece with Pin, 3 Fingers;Grand Gris;A;5;0;0;0
;05/01/2022;45;10;0,06;1;1;;;U;P;30014;;Y;1,13;;EUR;Arm;;Dark Gray;Part;Arm Holder Brick 1 x 2 with 2 Horizontal Fingers;Grand Gris;A;5;2;2;1
;05/01/2022;45;11;0,06;10;1;;;U;P;30014;;Y;1,13;;EUR;Arm;;Black;Part;Arm Holder Brick 1 x 2 with 2 Horizontal Fingers;Grand Gris;A;5;2;2;1
;05/01/2022;45;10;1,12;3;1;;;U;P;30082;;Y;0,18;;EUR;Arm;;Dark Gray;Part;Arm Piece with Tow Ball and Clip;Grand Gris;A;5;0;0;0
;05/01/2022;14;1;6,28;1;1;;;U;P;30159;;Y;0,68;;EUR;Magnet;;White;Part;Magnet Holder Plate 2 x 2 Bottom;Grand Gris;A;5;2;2;1
;05/01/2022;14;11;3,81;11;1;;;U;P;73092;;Y;3,03;;EUR;Magnet;;Black;Part;Magnet Cylindrical;Grand Gris;A;5;0;0;0
;05/01/2022;14;1;0,42;2;1;;;U;P;2609a;;Y;0,6;;EUR;Magnet;;White;Part;Magnet Holder Tile 2 x 2 - Short Arms;Grand Gris;A;5;0;0;0
;05/01/2022;14;11;0,34;7;1;;;U;P;2609a;;Y;0,6;;EUR;Magnet;;Black;Part;Magnet Holder Tile 2 x 2 - Short Arms;Grand Gris;A;5;0;0;0
;05/01/2022;28;3;0,19;9;1;;;U;P;3614a;;Y;0,25;;EUR;Plate, Round;;Yellow;Part;Plate, Round 1 x 1 with Tow Ball with Round Hole (Maxifigure Hand);Grand Gris;A;5;1;2;0
;05/01/2022;111;11;0,05;72;1;;;U;P;3139;;Y;0,4;;EUR;Tire & Tread;;Black;Part;Tire 14mm D. x 4mm Smooth Small Single;Grand Gris;A;6;0;0;0
