LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;ITEMWEIGHT;DATELASTSOLD;BASECURRENCYCODE;CATEGORYNAME;CATEGORYNAMEUNDER;COLORNAME;ITEMTYPENAME;ITEMIDNAME;BOX;LINE;ROW;DIMENSIONX;DIMENSIONY;DIMENSIONZ
;05/01/2022;77;1;0,05;16;1;;;U;P;3788;;Y;1,41;;EUR;Vehicle, Mudguard;;White;Part;Vehicle, Mudguard 2 x 4 with Arch Studded;Grand Noir;A;1;2;4;0,67
;05/01/2022;77;3;0,04;9;1;;;U;P;3788;;Y;1,41;;EUR;Vehicle, Mudguard;;Yellow;Part;Vehicle, Mudguard 2 x 4 with Arch Studded;Grand Noir;A;1;2;4;0,67
;05/01/2022;77;4;0,19;2;1;;;U;P;3788;;Y;1,41;;EUR;Vehicle, Mudguard;;Orange;Part;Vehicle, Mudguard 2 x 4 with Arch Studded;Grand Noir;A;1;2;4;0,67
;05/01/2022;77;5;0,05;14;1;;;U;P;3788;;Y;1,41;;EUR;Vehicle, Mudguard;;Red;Part;Vehicle, Mudguard 2 x 4 with Arch Studded;Grand Noir;A;1;2;4;0,67
;05/01/2022;77;7;0,07;4;1;;;U;P;3788;;Y;1,41;;EUR;Vehicle, Mudguard;;Blue;Part;Vehicle, Mudguard 2 x 4 with Arch Studded;Grand Noir;A;1;2;4;0,67
;05/01/2022;77;11;0,06;5;1;;;U;P;3788;;Y;1,41;;EUR;Vehicle, Mudguard;;Black;Part;Vehicle, Mudguard 2 x 4 with Arch Studded;Grand Noir;A;1;2;4;0,67
;05/01/2022;77;1;0,04;2;1;;;U;P;60212;;Y;1,4;;EUR;Vehicle, Mudguard;;White;Part;Vehicle, Mudguard 2 x 4 with Arch Studded with Hole;Grand Noir;A;1;2;4;0,67
;05/01/2022;7;3;0,03;8;1;;;U;P;6215;;Y;1,83;;EUR;Slope, Curved;;Yellow;Part;Slope, Curved 3 x 2 x 1 with Four Studs;Grand Noir;A;2;3;2;1
;05/01/2022;7;5;0,04;3;1;;;U;P;6215;;Y;1,83;;EUR;Slope, Curved;;Red;Part;Slope, Curved 3 x 2 x 1 with Four Studs;Grand Noir;A;2;3;2;1
;05/01/2022;7;6;0,04;4;1;;;U;P;6215;;Y;1,83;;EUR;Slope, Curved;;Green;Part;Slope, Curved 3 x 2 x 1 with Four Studs;Grand Noir;A;2;3;2;1
