LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;ITEMWEIGHT;DATELASTSOLD;BASECURRENCYCODE;CATEGORYNAME;CATEGORYNAMEUNDER;COLORNAME;ITEMTYPENAME;ITEMIDNAME;BOX;LINE;ROW;DIMENSIONX;DIMENSIONY;DIMENSIONZ
;05/01/2022;141;11;0,12;2;1;;;U;P;2792;;Y;4,27;;EUR;Technic, Steering;;Black;Part;Technic, Steering Rack Top;Malette Noire;A;1;0;0;0
;05/01/2022;36;11;0,34;3;1;;;U;P;2815;;Y;0,75;;EUR;Tire & Tread;;Black;Part;Tire Technic Wedge Belt Wheel;Malette Noire;A;1;0;0;0
;05/01/2022;36;86;0,14;2;1;;;U;P;2850;;Y;2,81;;EUR;Technic;;Light Bluish Gray;Part;Technic Engine Cylinder (Undetermined Type);Malette Noire;A;1;0;0;0
;05/01/2022;36;3;0,07;5;1;;;U;P;2851;;Y;0,4;;EUR;Technic;;Yellow;Part;Technic Engine Piston Round;Malette Noire;A;1;0;0;0
;05/01/2022;36;85;0,94;3;1;;;U;P;2851;;Y;0,4;;EUR;Technic;;Dark Bluish Gray;Part;Technic Engine Piston Round;Malette Noire;A;1;0;0;0
;05/01/2022;36;86;0,07;7;1;;;U;P;2852;;Y;0,29;;EUR;Technic;;Light Bluish Gray;Part;Technic Engine Connecting Rod;Malette Noire;A;1;0;0;0
;05/01/2022;112;5;0,48;1;1;;;U;P;3127;;Y;0,5;;EUR;Hook;;Red;Part;Hook Plate, Modified 1 x 2 with Crane Hook Left;Malette Noire;A;1;0;0;0
;05/01/2022;112;9;0,82;3;1;;;U;P;3127;;Y;0,5;;EUR;Hook;;Light Gray;Part;Hook Plate, Modified 1 x 2 with Crane Hook Left;Malette Noire;A;1;0;0;0
;05/01/2022;136;7;1,16;1;1;;;U;P;3648;;Y;1,17;;EUR;Technic, Gear;;Blue;Part;Technic, Gear 24 Tooth (2nd Version - 1 Axle Hole);Malette Noire;A;1;0;0;0
;05/01/2022;136;85;0,38;2;1;;;U;P;3648;;Y;1,17;;EUR;Technic, Gear;;Dark Bluish Gray;Part;Technic, Gear 24 Tooth (2nd Version - 1 Axle Hole);Malette Noire;A;1;0;0;0
;05/01/2022;136;5;1,53;1;1;;;U;P;3649;;Y;3,76;;EUR;Technic, Gear;;Red;Part;Technic, Gear 40 Tooth;Malette Noire;A;1;0;0;0
;05/01/2022;138;11;0,16;60;1;;;U;P;3711;;Y;0,09;;EUR;Technic, Link;;Black;Part;Technic, Link Chain;Malette Noire;A;1;0;0;0
;05/01/2022;136;1;0,39;5;1;;;U;P;3743;;Y;0,79;;EUR;Technic, Gear;;White;Part;Technic, Gear Rack 1 x 4;Malette Noire;A;1;1;4;0
;05/01/2022;136;9;0,42;5;1;;;U;P;3743;;Y;0,79;;EUR;Technic, Gear;;Light Gray;Part;Technic, Gear Rack 1 x 4;Malette Noire;A;1;1;4;0
;05/01/2022;136;11;0,41;1;1;;;U;P;3743;;Y;0,79;;EUR;Technic, Gear;;Black;Part;Technic, Gear Rack 1 x 4;Malette Noire;A;1;1;4;0
;05/01/2022;36;2;0,17;1;1;;;U;P;4185;;Y;0,97;;EUR;Wheel;;Tan;Part;Technic Wedge Belt Wheel (Pulley);Malette Noire;A;1;3;3;0
;05/01/2022;36;3;0,14;5;1;;;U;P;4185;;Y;0,97;;EUR;Wheel;;Yellow;Part;Technic Wedge Belt Wheel (Pulley);Malette Noire;A;1;3;3;0
;05/01/2022;36;34;0,09;9;1;;;U;P;4185;;Y;0,97;;EUR;Wheel;;Lime;Part;Technic Wedge Belt Wheel (Pulley);Malette Noire;A;1;3;3;0
;05/01/2022;36;86;0,22;1;1;;;U;P;4185;;Y;0,97;;EUR;Wheel;;Light Bluish Gray;Part;Technic Wedge Belt Wheel (Pulley);Malette Noire;A;1;3;3;0
;05/01/2022;411;9;0,89;1;1;;;U;P;4352;;Y;17;;EUR;Electric, Battery Box;;Light Gray;Part;Electric 4.5V 3 C-Cell Battery Box Polarity Switch 2 x 4;Malette Noire;A;1;0;0;0
;05/01/2022;136;9;0,45;1;1;;;U;P;4716;;Y;0,6;;EUR;Technic, Gear;;Light Gray;Part;Technic, Gear Worm Screw, Long;Malette Noire;A;1;0;0;0
;05/01/2022;119;1;0,96;2;1;;;U;P;4755;;Y;0,45;;EUR;Electric;;White;Part;Electric Plate 1 x 2 with Contacts;Malette Noire;A;1;1;2;0
;05/01/2022;119;11;2,38;2;1;;;U;P;4757;;Y;1,94;;EUR;Electric;;Black;Part;Electric Plate 2 x 4 with Contacts;Malette Noire;A;1;2;4;0
;05/01/2022;119;1;0,97;2;1;;;U;P;4758;;Y;3,89;;EUR;Electric;;White;Part;Electric Plate 2 x 8 with Contacts;Malette Noire;A;1;2;8;0
;05/01/2022;123;1;5,64;1;1;;;U;P;4767;;Y;1;;EUR;Electric, Light & Sound;;White;Part;Electric, Light Brick 1 x 2 with Single Top Light;Malette Noire;A;1;0;0;0
;05/01/2022;123;1;3,43;1;1;;;U;P;4771;;Y;1,05;;EUR;Electric, Light & Sound;;White;Part;Electric, Light Brick 1 x 4 with Twin Top Lights;Malette Noire;A;1;1;4;1,17
;05/01/2022;136;85;1,49;1;1;;;U;P;6573;;Y;3,25;;EUR;Technic, Gear;;Dark Bluish Gray;Part;Technic, Gear Differential, 24-16 Teeth;Malette Noire;A;1;4;4;4
;05/01/2022;136;11;0,15;1;1;;;U;P;6585;;Y;4,5;;EUR;Technic, Gear;;Black;Part;Technic, Gearbox 4 x 4 x 1 2/3;Malette Noire;A;1;4;4;1,67
;05/01/2022;46;18;0,11;6;1;;;U;P;15303;;Y;0,65;;EUR;Projectile Launcher;;Trans-Neon Orange;Part;Projectile Arrow, Bar 8L with Round End (Spring Shooter Dart);Malette Noire;A;1;8;1;1
;05/01/2022;136;85;0,58;1;1;;;U;P;15457;;Y;0,54;;EUR;Technic, Gear;;Dark Bluish Gray;Part;Technic, Gear Worm Screw with 2 Bushes;Malette Noire;A;1;1;3;0
;05/01/2022;136;86;0,9;1;1;;;U;P;18940;;Y;10,2;;EUR;Technic, Gear;;Light Bluish Gray;Part;Technic, Gear Rack 1 x 14 x 2 Housing;Malette Noire;A;1;2;15;0
;05/01/2022;136;85;0,86;1;1;;;U;P;18942;;Y;7,5;;EUR;Technic, Gear;;Dark Bluish Gray;Part;Technic, Gear Rack 1 x 14 x 2 with Axle and Pin Holes;Malette Noire;A;1;1;14;2
;05/01/2022;136;85;0,29;1;1;;;U;P;27938;;Y;0,65;;EUR;Technic, Gear;;Dark Bluish Gray;Part;Technic, Gear Worm Screw, Short;Malette Noire;A;1;0;0;0
;05/01/2022;991;10;1,58;4;1;;;U;P;30104;;Y;0,71;;EUR;Chain;;Dark Gray;Part;Chain 21 Links (16-17L);Malette Noire;A;1;0;0;0
;05/01/2022;991;85;0,63;4;1;;;U;P;30104;;Y;0,71;;EUR;Chain;;Dark Bluish Gray;Part;Chain 21 Links (16-17L);Malette Noire;A;1;0;0;0
;05/01/2022;991;86;0,64;2;1;;;U;P;30104;;Y;0,71;;EUR;Chain;;Light Bluish Gray;Part;Chain 21 Links (16-17L);Malette Noire;A;1;0;0;0
;05/01/2022;112;85;0,06;7;1;;;U;P;30395;;Y;0,47;;EUR;Hook;;Dark Bluish Gray;Part;Hook Tow Ball;Malette Noire;A;1;0;0;0
;05/01/2022;36;7;0,49;1;1;;;U;P;32012;;Y;1,07;;EUR;Technic;;Blue;Part;Technic Reel 3 x 2;Malette Noire;A;1;0;0;0
;05/01/2022;36;85;0,34;1;1;;;U;P;32012;;Y;1,07;;EUR;Technic;;Dark Bluish Gray;Part;Technic Reel 3 x 2;Malette Noire;A;1;0;0;0
;05/01/2022;136;2;0,22;3;1;;;U;P;32269;;Y;1,4;;EUR;Technic, Gear;;Tan;Part;Technic, Gear 20 Tooth Double Bevel;Malette Noire;A;1;0;0;0
;05/01/2022;136;11;0,25;7;1;;;U;P;32269;;Y;1,4;;EUR;Technic, Gear;;Black;Part;Technic, Gear 20 Tooth Double Bevel;Malette Noire;A;1;0;0;0
;05/01/2022;136;86;0,35;1;1;;;U;P;32269;;Y;1,4;;EUR;Technic, Gear;;Light Bluish Gray;Part;Technic, Gear 20 Tooth Double Bevel;Malette Noire;A;1;0;0;0
;05/01/2022;136;86;0,33;1;1;;;U;P;41667;;Y;2,06;;EUR;Technic, Gear;;Light Bluish Gray;Part;Technic, Arm 2 x 5 with 1/4 Gear 8 Tooth Double Bevel;Malette Noire;A;1;0;0;0
;05/01/2022;36;86;0,74;1;1;;;U;P;44224;;Y;2,58;;EUR;Technic;;Light Bluish Gray;Part;Technic Rotation Joint Disk with Pin Hole and 3L Liftarm Thick;Malette Noire;A;1;0;0;0
;05/01/2022;133;11;0,16;8;1;;;U;P;45590;;Y;0,59;;EUR;Technic, Connector;;Black;Part;Technic, Axle Connector Double - Flexible Rubber;Malette Noire;A;1;0;0;0
;05/01/2022;134;3;6,33;2;1;;;U;P;50450;;Y;4,75;;EUR;Technic, Axle;;Yellow;Part;Technic, Axle 32L;Malette Noire;A;1;0;0;0
;05/01/2022;88;5;1,01;1;1;;;U;P;73037;;Y;5,16;;EUR;String Reel / Winch;;Red;Part;String Reel Winch 2 x 4 x 2 (Light Gray Drum);Malette Noire;A;1;2;4;2
