LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;ITEMWEIGHT;DATELASTSOLD;BASECURRENCYCODE;CATEGORYNAME;CATEGORYNAMEUNDER;COLORNAME;ITEMTYPENAME;ITEMIDNAME;BOX;LINE;ROW;DIMENSIONX;DIMENSIONY;DIMENSIONZ
;05/01/2022;22;1;0,08;3;1;;;U;P;3830;;Y;1;;EUR;Hinge;;White;Part;Hinge Brick 1 x 4 Swivel Top;Orange 1;A;1;0;0;0
;05/01/2022;22;5;0,12;1;1;;;U;P;3830;;Y;1;;EUR;Hinge;;Red;Part;Hinge Brick 1 x 4 Swivel Top;Orange 1;A;1;0;0;0
;05/01/2022;22;7;0,44;3;1;;;U;P;3830;;Y;1;;EUR;Hinge;;Blue;Part;Hinge Brick 1 x 4 Swivel Top;Orange 1;A;1;0;0;0
;05/01/2022;22;9;0,19;5;1;;;U;P;3830;;Y;1;;EUR;Hinge;;Light Gray;Part;Hinge Brick 1 x 4 Swivel Top;Orange 1;A;1;0;0;0
;05/01/2022;22;11;0,07;9;1;;;U;P;3830;;Y;1;;EUR;Hinge;;Black;Part;Hinge Brick 1 x 4 Swivel Top;Orange 1;A;1;0;0;0
;05/01/2022;22;85;0,06;1;1;;;U;P;3830;;Y;1;;EUR;Hinge;;Dark Bluish Gray;Part;Hinge Brick 1 x 4 Swivel Top;Orange 1;A;1;0;0;0
;05/01/2022;22;86;0,06;2;1;;;U;P;3830;;Y;1;;EUR;Hinge;;Light Bluish Gray;Part;Hinge Brick 1 x 4 Swivel Top;Orange 1;A;1;0;0;0
;05/01/2022;22;1;0,08;4;1;;;U;P;3831;;Y;0,75;;EUR;Hinge;;White;Part;Hinge Brick 1 x 4 Swivel Base;Orange 1;A;1;0;0;0
;05/01/2022;22;5;0,09;1;1;;;U;P;3831;;Y;0,75;;EUR;Hinge;;Red;Part;Hinge Brick 1 x 4 Swivel Base;Orange 1;A;1;0;0;0
;05/01/2022;22;7;0,71;3;1;;;U;P;3831;;Y;0,75;;EUR;Hinge;;Blue;Part;Hinge Brick 1 x 4 Swivel Base;Orange 1;A;1;0;0;0
