LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;WEIGHT;DATELASTSOLD;CURRENCY;CATEGORYNAME;CATNAME1;CATNAME2;CATNAME3;CATNAME4;COLORNAME;RGB;COLORTYPE;SUBCONDITION;REMARKS;TIERQTY1;TIERPRICE1;TIERQTY2;TIERPRICE2;TIERQTY3;TIERPRICE3;RESERVEDFOR;RETAIN;SUPERLOTID;SUPERLOTQTY;EXTDESCRIPTION;ITEMTYPENAME;ITEMIDNAME;DIMENSIONX;DIMENSIONY;DIMENSIONZ;BOX;ROW;COLUMN
;;85;1;0,3059;3;;id1color1.jpg;;U;P;1;;Y;5,80;;EUR;Homemaker;;;P;;White;FFFFFF;Solid;;;;;;;;;;;;;;PART;Homemaker Bookcase 2 x 4 x 4;2.00;4.00;4.00;Penta Tiroir GrisMetal;B;1;
;;85;1;0,2575;1;;id2color1.jpg;;U;P;2;;Y;10,14;;EUR;Homemaker;;;P;;White;FFFFFF;Solid;;;;;;;;;;;;;;PART;Homemaker Cupboard 4 x 4 x 4;4.00;4.00;4.00;Penta Tiroir GrisMetal;B;1;
;;85;5;0,3485;2;;id2color5.jpg;;U;P;2;;Y;10,14;;EUR;Homemaker;;;P;;Red;B30006;Solid;;;;;;;;;;;;;;PART;Homemaker Cupboard 4 x 4 x 4;4.00;4.00;4.00;Penta Tiroir GrisMetal;B;1;
;;85;7;0,3461;2;;id2color7.jpg;;U;P;2;;Y;10,14;;EUR;Homemaker;;;P;;Blue;0057A6;Solid;;;;;;;;;;;;;;PART;Homemaker Cupboard 4 x 4 x 4;4.00;4.00;4.00;Penta Tiroir GrisMetal;B;1;
;;85;1;0,1823;2;;id3color1.jpg;;U;P;3;;Y;3,44;;EUR;Homemaker;;;P;;White;FFFFFF;Solid;;;;;;;;;;;;;;PART;Homemaker Drawer 4 x 4 x 2;4.00;4.00;2.00;Penta Tiroir GrisMetal;B;1;
;;85;3;0,2475;2;;id3color3.jpg;;U;P;3;;Y;3,44;;EUR;Homemaker;;;P;;Yellow;FFE001;Solid;;;;;;;;;;;;;;PART;Homemaker Drawer 4 x 4 x 2;4.00;4.00;2.00;Penta Tiroir GrisMetal;B;1;
;;85;5;0,1536;5;;id3color5.jpg;;U;P;3;;Y;3,44;;EUR;Homemaker;;;P;;Red;B30006;Solid;;;;;;;;;;;;;;PART;Homemaker Drawer 4 x 4 x 2;4.00;4.00;2.00;Penta Tiroir GrisMetal;B;1;
;;85;1;0,2683;2;;id837color1.jpg;;U;P;837;;Y;10,14;;EUR;Homemaker;;;P;;White;FFFFFF;Solid;;;;;;;;;;;;;;PART;Homemaker Cupboard 4 x 4 x 4 with Door Holder Holes;4.00;4.00;4.00;Penta Tiroir GrisMetal;B;1;
;;85;3;0,2660;2;;id838color3.jpg;;U;P;838;;Y;1,30;;EUR;Homemaker;;;P;;Yellow;FFE001;Solid;;;;;;;;;;;;;;PART;Homemaker Cupboard Door 4 x 4;0.00;0.00;0.00;Penta Tiroir GrisMetal;B;1;
;;85;1;0,7338;1;;id839color1.jpg;;U;P;839;;Y;8,80;;EUR;Homemaker;;;P;;White;FFFFFF;Solid;;;;;;;;;;;;;;PART;Homemaker Washbasin Sink Base 4 x 4 x 4;4.00;4.00;4.00;Penta Tiroir GrisMetal;B;1;
;;85;1;1,2966;1;;id840c01color1.jpg;;U;P;840c01;;Y;4,00;;EUR;Homemaker;;;P;;White;FFFFFF;Solid;;;;;;;;;;;;;;PART;Homemaker Washbasin Sink with Chrome Silver Tap;4.00;4.00;1.00;Penta Tiroir GrisMetal;B;1;
;;7;11;0,1726;4;;id30181color11.jpg;;U;P;30181;;Y;7,96;;EUR;Brick, Modified;;;P;;Black;212121;Solid;;;;;;;;;;;;;;PART;Brick, Modified 4 x 10 with Cut Corners;4.00;10.00;1.00;Penta Tiroir GrisMetal;B;10;
;;7;9;0,2027;1;;id30181color9.jpg;;U;P;30181;;Y;7,96;;EUR;Brick, Modified;;;P;;Light Gray;9C9C9C;Solid;;;;;;;;;;;;;;PART;Brick, Modified 4 x 10 with Cut Corners;4.00;10.00;1.00;Penta Tiroir GrisMetal;B;10;
;;84;11;0,6599;6;;id30185c05pb01color11.jpg;;U;P;30185c05pb01;;Y;11,80;;EUR;Window, Decorated;;;P;;Black;212121;Solid;;;;;;;;;;;;;;PART;Window Bay 3 x 8 x 6 with Trans-Green Glass and Police Shield Logo Pattern;3.00;8.00;6.00;Penta Tiroir GrisMetal;B;10;
;;113;1;0,4458;7;;id4447color1.jpg;;U;P;4447;;Y;2,21;;EUR;Window;;;P;;White;FFFFFF;Solid;;;;;;;;;;;;;;PART;Window 4 x 4 x 3 Roof;4.00;4.00;3.00;Penta Tiroir GrisMetal;B;11;
;;113;11;0,4443;13;;id4447color11.jpg;;U;P;4447;;Y;2,21;;EUR;Window;;;P;;Black;212121;Solid;;;;;;;;;;;;;;PART;Window 4 x 4 x 3 Roof;4.00;4.00;3.00;Penta Tiroir GrisMetal;B;11;
;;113;3;0,5023;2;;id4447color3.jpg;;U;P;4447;;Y;2,21;;EUR;Window;;;P;;Yellow;FFE001;Solid;;;;;;;;;;;;;;PART;Window 4 x 4 x 3 Roof;4.00;4.00;3.00;Penta Tiroir GrisMetal;B;11;
;;113;5;0,5603;4;;id4447color5.jpg;;U;P;4447;;Y;2,21;;EUR;Window;;;P;;Red;B30006;Solid;;;;;;;;;;;;;;PART;Window 4 x 4 x 3 Roof;4.00;4.00;3.00;Penta Tiroir GrisMetal;B;11;
;;113;7;0,7902;4;;id4447color7.jpg;;U;P;4447;;Y;2,21;;EUR;Window;;;P;;Blue;0057A6;Solid;;;;;;;;;;;;;;PART;Window 4 x 4 x 3 Roof;4.00;4.00;3.00;Penta Tiroir GrisMetal;B;11;
;;113;1;0,8368;2;;id6159c01color1.jpg;;U;P;6159c01;;Y;3,38;;EUR;Window;;;P;;White;FFFFFF;Solid;;;;;;;;;;;;;;PART;Window 4 x 4 x 3 Roof with Center Bar and Fixed Trans-Light Blue Glass;4.00;4.00;3.00;Penta Tiroir GrisMetal;B;11;
;;778;86;0,2702;1;;id6179pb029color86.jpg;;U;P;6179pb029;;Y;1,90;;EUR;Tile, Modified, Decorated;;;P;;Light Bluish Gray;AFB5C7;Solid;;;;;;;;;;;;;;PART;Tile, Modified 4 x 4 with Studs on Edge with 6 Black Rivets on Small Silver Tread Plate Pattern &#40 Sticker&#41  - Set 7945;4.00;4.00;0.00;Penta Tiroir GrisMetal;B;12;
