LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;WEIGHT;DATELASTSOLD;CURRENCY;CATEGORYNAME;CATNAME1;CATNAME2;CATNAME3;CATNAME4;COLORNAME;RGB;COLORTYPE;SUBCONDITION;REMARKS;TIERQTY1;TIERPRICE1;TIERQTY2;TIERPRICE2;TIERQTY3;TIERPRICE3;RESERVEDFOR;RETAIN;SUPERLOTID;SUPERLOTQTY;EXTDESCRIPTION;ITEMTYPENAME;ITEMIDNAME;DIMENSIONX;DIMENSIONY;DIMENSIONZ;BOX;ROW;COLUMN
;;5;1;0,0538;100;;id3005color1.jpg;;U;P;3005;;Y;0,44;;EUR;Brick;;;P;;White;FFFFFF;Solid;;;;;;;;;;;;;;PART;Brick 1 x 1;1.00;1.00;1.00;Penta Tiroir Mauve;A;1;
;;116;12;0,7703;2;;id50990acolor12.jpg;;U;P;50990a;;Y;9,3;;EUR;Dish;;;P;;Trans-Clear;EEEEEE;Transparent;;;;;;;;;;;;;;PART;Dish 10 x 10 Inverted &#40 Radar&#41  - Hollow Studs;10.00;10.00;1.00;Penta Tiroir Mauve;A;1;
;;5;7;0,0366;150;;id3004color7.jpg;;U;P;3004;;Y;0,83;;EUR;Brick;;;P;;Blue;0057A6;Solid;;;;;;;;;;;;;;PART;Brick 1 x 2;1.00;2.00;1.00;Penta Tiroir Mauve;A;10;
;;5;11;0,0945;25;;id2357color11.jpg;;U;P;2357;;Y;1,25;;EUR;Brick;;;P;;Black;212121;Solid;;;;;;;;;;;;;;PART;Brick 2 x 2 Corner;2.00;2.00;1.00;Penta Tiroir Mauve;A;11;
;;5;11;0,0569;313;;id3004color11.jpg;;U;P;3004;;Y;0,83;;EUR;Brick;;;P;;Black;212121;Solid;;;;;;;;;;;;;;PART;Brick 1 x 2;1.00;2.00;1.00;Penta Tiroir Mauve;A;11;
;;5;86;0,1231;2;;id2357color86.jpg;;U;P;2357;;Y;1,25;;EUR;Brick;;;P;;Light Bluish Gray;AFB5C7;Solid;;;;;;;;;;;;;;PART;Brick 2 x 2 Corner;2.00;2.00;1.00;Penta Tiroir Mauve;A;12;
;;5;9;0,1755;29;;id2357color9.jpg;;U;P;2357;;Y;1,25;;EUR;Brick;;;P;;Light Gray;9C9C9C;Solid;;;;;;;;;;;;;;PART;Brick 2 x 2 Corner;2.00;2.00;1.00;Penta Tiroir Mauve;A;12;
;;5;9;0,1363;29;;id3004color9.jpg;;U;P;3004;;Y;0,83;;EUR;Brick;;;P;;Light Gray;9C9C9C;Solid;;;;;;;;;;;;;;PART;Brick 1 x 2;1.00;2.00;1.00;Penta Tiroir Mauve;A;12;
;;5;3;0,0349;50;;id3005color3.jpg;;U;P;3005;;Y;0,44;;EUR;Brick;;;P;;Yellow;FFE001;Solid;;;;;;;;;;;;;;PART;Brick 1 x 1;1.00;1.00;1.00;Penta Tiroir Mauve;A;2;
;;105;11;0,7404;7;;id4476acolor11.jpg;;U;P;4476a;;Y;2,34;;EUR;Support;;;P;;Black;212121;Solid;;;;;;;;;;;;;;PART;Support 2 x 4 x 5 Stanchion Inclined, 3mm Wide Posts;2.00;4.00;5.00;Penta Tiroir Mauve;A;2;
;;105;7;1,4098;1;;id4476acolor7.jpg;;U;P;4476a;;Y;2,34;;EUR;Support;;;P;;Blue;0057A6;Solid;;;;;;;;;;;;;;PART;Support 2 x 4 x 5 Stanchion Inclined, 3mm Wide Posts;2.00;4.00;5.00;Penta Tiroir Mauve;A;2;
;;105;1;0,1367;9;;id4476bcolor1.jpg;;U;P;4476b;;Y;2,22;;EUR;Support;;;P;;White;FFFFFF;Solid;;;;;;;;;;;;;;PART;Support 2 x 4 x 5 Stanchion Inclined, 5mm Wide Posts;2.00;4.00;5.00;Penta Tiroir Mauve;A;2;
;;105;11;0,2944;7;;id4476bcolor11.jpg;;U;P;4476b;;Y;2,22;;EUR;Support;;;P;;Black;212121;Solid;;;;;;;;;;;;;;PART;Support 2 x 4 x 5 Stanchion Inclined, 5mm Wide Posts;2.00;4.00;5.00;Penta Tiroir Mauve;A;2;
