LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;ITEMWEIGHT;DATELASTSOLD;BASECURRENCYCODE;CATEGORYNAME;CATEGORYNAMEUNDER;COLORNAME;ITEMTYPENAME;ITEMIDNAME;BOX;LINE;ROW;DIMENSIONX;DIMENSIONY;DIMENSIONZ
;05/01/2022;133;1;0,4;2;1;;;U;P;32014;;Y;0,66;;EUR;Technic, Connector;;White;Part;Technic, Axle and Pin Connector Angled #6 - 90 degrees;Petit Noir;A;1;2;2;0
;05/01/2022;133;3;0,09;1;1;;;U;P;32014;;Y;0,66;;EUR;Technic, Connector;;Yellow;Part;Technic, Axle and Pin Connector Angled #6 - 90 degrees;Petit Noir;A;1;2;2;0
;05/01/2022;133;4;0,16;1;1;;;U;P;32014;;Y;0,66;;EUR;Technic, Connector;;Orange;Part;Technic, Axle and Pin Connector Angled #6 - 90 degrees;Petit Noir;A;1;2;2;0
;05/01/2022;133;5;0,1;1;1;;;U;P;32014;;Y;0,66;;EUR;Technic, Connector;;Red;Part;Technic, Axle and Pin Connector Angled #6 - 90 degrees;Petit Noir;A;1;2;2;0
;05/01/2022;133;7;0,12;2;1;;;U;P;32014;;Y;0,66;;EUR;Technic, Connector;;Blue;Part;Technic, Axle and Pin Connector Angled #6 - 90 degrees;Petit Noir;A;1;2;2;0
;05/01/2022;133;9;0,09;1;1;;;U;P;32014;;Y;0,66;;EUR;Technic, Connector;;Light Gray;Part;Technic, Axle and Pin Connector Angled #6 - 90 degrees;Petit Noir;A;1;2;2;0
;05/01/2022;133;11;0,08;16;1;;;U;P;32014;;Y;0,66;;EUR;Technic, Connector;;Black;Part;Technic, Axle and Pin Connector Angled #6 - 90 degrees;Petit Noir;A;1;2;2;0
;05/01/2022;133;34;0,16;1;1;;;U;P;32014;;Y;0,66;;EUR;Technic, Connector;;Lime;Part;Technic, Axle and Pin Connector Angled #6 - 90 degrees;Petit Noir;A;1;2;2;0
;05/01/2022;133;85;0,09;1;1;;;U;P;32014;;Y;0,66;;EUR;Technic, Connector;;Dark Bluish Gray;Part;Technic, Axle and Pin Connector Angled #6 - 90 degrees;Petit Noir;A;1;2;2;0
;05/01/2022;133;86;0,12;1;1;;;U;P;32014;;Y;0,66;;EUR;Technic, Connector;;Light Bluish Gray;Part;Technic, Axle and Pin Connector Angled #6 - 90 degrees;Petit Noir;A;1;2;2;0
;05/01/2022;133;1;0,3;3;1;;;U;P;32016;;Y;0,67;;EUR;Technic, Connector;;White;Part;Technic, Axle and Pin Connector Angled #3 - 157.5 degrees;Petit Noir;A;1;0;0;0
;05/01/2022;133;8;0,19;2;1;;;U;P;32016;;Y;0,67;;EUR;Technic, Connector;;Brown;Part;Technic, Axle and Pin Connector Angled #3 - 157.5 degrees;Petit Noir;A;1;0;0;0
;05/01/2022;133;9;0,09;1;1;;;U;P;32016;;Y;0,67;;EUR;Technic, Connector;;Light Gray;Part;Technic, Axle and Pin Connector Angled #3 - 157.5 degrees;Petit Noir;A;1;0;0;0
;05/01/2022;133;11;0,13;21;1;;;U;P;32016;;Y;0,67;;EUR;Technic, Connector;;Black;Part;Technic, Axle and Pin Connector Angled #3 - 157.5 degrees;Petit Noir;A;1;0;0;0
;05/01/2022;133;66;0,15;1;1;;;U;P;32016;;Y;0,67;;EUR;Technic, Connector;;Pearl Light Gray;Part;Technic, Axle and Pin Connector Angled #3 - 157.5 degrees;Petit Noir;A;1;0;0;0
;05/01/2022;133;86;0,08;15;1;;;U;P;32016;;Y;0,67;;EUR;Technic, Connector;;Light Bluish Gray;Part;Technic, Axle and Pin Connector Angled #3 - 157.5 degrees;Petit Noir;A;1;0;0;0
;05/01/2022;28;1;2,55;44;1;;;U;P;4073;;Y;0,12;;EUR;Plate, Round;;White;Part;Plate, Round 1 x 1;Petit Noir;A;2;1;1;0
;05/01/2022;28;2;0,23;17;1;;;U;P;4073;;Y;0,12;;EUR;Plate, Round;;Tan;Part;Plate, Round 1 x 1;Petit Noir;A;2;1;1;0
;05/01/2022;28;3;2,55;37;1;;;U;P;4073;;Y;0,12;;EUR;Plate, Round;;Yellow;Part;Plate, Round 1 x 1;Petit Noir;A;2;1;1;0
;05/01/2022;28;4;0,07;12;1;;;U;P;4073;;Y;0,12;;EUR;Plate, Round;;Orange;Part;Plate, Round 1 x 1;Petit Noir;A;2;1;1;0
;05/01/2022;28;5;0,23;176;1;;;U;P;4073;;Y;0,12;;EUR;Plate, Round;;Red;Part;Plate, Round 1 x 1;Petit Noir;A;2;1;1;0
;05/01/2022;28;6;0,05;3;1;;;U;P;4073;;Y;0,12;;EUR;Plate, Round;;Green;Part;Plate, Round 1 x 1;Petit Noir;A;2;1;1;0
;05/01/2022;28;7;0,3;26;1;;;U;P;4073;;Y;0,12;;EUR;Plate, Round;;Blue;Part;Plate, Round 1 x 1;Petit Noir;A;2;1;1;0
;05/01/2022;28;8;0,45;22;1;;;U;P;4073;;Y;0,12;;EUR;Plate, Round;;Brown;Part;Plate, Round 1 x 1;Petit Noir;A;2;1;1;0
;05/01/2022;28;9;0,07;10;1;;;U;P;4073;;Y;0,12;;EUR;Plate, Round;;Light Gray;Part;Plate, Round 1 x 1;Petit Noir;A;2;1;1;0
;05/01/2022;28;10;0,11;6;1;;;U;P;4073;;Y;0,12;;EUR;Plate, Round;;Dark Gray;Part;Plate, Round 1 x 1;Petit Noir;A;2;1;1;0
;05/01/2022;28;11;0,3;122;1;;;U;P;4073;;Y;0,12;;EUR;Plate, Round;;Black;Part;Plate, Round 1 x 1;Petit Noir;A;2;1;1;0
;05/01/2022;28;13;2,55;1;1;;;U;P;4073;;Y;0,12;;EUR;Plate, Round;;Trans-Black;Part;Plate, Round 1 x 1;Petit Noir;A;2;1;1;0
;05/01/2022;28;22;2,65;1;1;;;U;P;4073;;Y;0,12;;EUR;Plate, Round;;Chrome Silver;Part;Plate, Round 1 x 1;Petit Noir;A;2;1;1;0
;05/01/2022;28;34;0,02;50;1;;;U;P;4073;;Y;0,12;;EUR;Plate, Round;;Lime;Part;Plate, Round 1 x 1;Petit Noir;A;2;1;1;0
;05/01/2022;28;65;0,07;3;1;;;U;P;4073;;Y;0,12;;EUR;Plate, Round;;Metallic Gold;Part;Plate, Round 1 x 1;Petit Noir;A;2;1;1;0
;05/01/2022;28;66;0,23;3;1;;;U;P;4073;;Y;0,12;;EUR;Plate, Round;;Pearl Light Gray;Part;Plate, Round 1 x 1;Petit Noir;A;2;1;1;0
;05/01/2022;28;67;0,07;6;1;;;U;P;4073;;Y;0,12;;EUR;Plate, Round;;Metallic Silver;Part;Plate, Round 1 x 1;Petit Noir;A;2;1;1;0
;05/01/2022;28;77;0,05;3;1;;;U;P;4073;;Y;0,12;;EUR;Plate, Round;;Pearl Dark Gray;Part;Plate, Round 1 x 1;Petit Noir;A;2;1;1;0
;05/01/2022;28;85;2,65;59;1;;;U;P;4073;;Y;0,12;;EUR;Plate, Round;;Dark Bluish Gray;Part;Plate, Round 1 x 1;Petit Noir;A;2;1;1;0
;05/01/2022;28;86;0,05;58;1;;;U;P;4073;;Y;0,12;;EUR;Plate, Round;;Light Bluish Gray;Part;Plate, Round 1 x 1;Petit Noir;A;2;1;1;0
