ITEMID;QTY;COLORNAME;BOX;ROW;COLUMN
4073;1;Chrome Silver;Petit Noir;A;2
4073;3;Metallic Gold;Petit Noir;A;2
4073;3;Pearl Light Gray;Petit Noir;A;2
4073;6;Metallic Silver;Petit Noir;A;2
4073;3;Glow In Dark White;Petit Noir;A;2
4589;1;Glow In Dark White;;?;?
2555;22;White;Petit Noir;A;5
2555;13;Yellow;Petit Noir;A;5
2555;21;Red;Petit Noir;A;5
2555;4;Blue;Petit Noir;A;5
2555;68;Black;Petit Noir;A;5
2555;2;Lime;Petit Noir;A;5
2555;16;Dark Bluish Gray;Petit Noir;A;5
2555;17;Light Bluish Gray;Petit Noir;A;5
2555;7;Pearl Gold;Petit Noir;A;5
3024;56;White;Petit Noir;D;3
3024;45;Red;Petit Noir;D;3
3024;49;Black;Petit Noir;D;3
1;3;White;grand gris;C;1
2;1;White;grand gris;C;1
2;2;Red;grand gris;C;1
2;2;Blue;grand gris;C;1
3;2;White;grand gris;C;1
3;2;Yellow;grand gris;C;1
3;5;Red;grand gris;C;1
837;2;White;grand gris;C;1
838;2;Yellow;grand gris;C;1
839;1;White;grand gris;C;1
22253;3;Metallic Silver;grand gris;A;2
41531;4;White;grand gris;A;2
41531;2;Red;grand gris;A;2
41531;2;Light Bluish Gray;grand gris;A;2
41896;5;Light Bluish Gray;grand gris;A;2
56145;1;White;grand gris;A;2
56145;3;Red;grand gris;A;2
56145;31;Black;grand gris;A;2
56145;10;Light Bluish Gray;grand gris;A;2
56145;8;Pearl Gold;grand gris;A;2
56898;4;Black;grand gris;A;2
56904;1;White;grand gris;A;2
56904;4;Light Bluish Gray;grand gris;A;2
64711;2;Dark Bluish Gray;grand gris;A;2
64712;1;Black;grand gris;A;2
4266pb02;1;Red;grand gris;A;2
4266pb04;3;Black;grand gris;A;2
2695;1;White;grand gris;A;2
2695;5;Yellow;grand gris;A;2
2695;1;Light Gray;grand gris;A;2
2695;1;Dark Turquoise;grand gris;A;2
2696;5;Black;grand gris;A;2
2994;1;Yellow;grand gris;A;2
840c01;1;White;grand gris;C;1
