LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;WEIGHT;DATELASTSOLD;CURRENCY;CATEGORYNAME;CATNAME1;CATNAME2;CATNAME3;CATNAME4;COLORNAME;RGB;COLORTYPE;SUBCONDITION;REMARKS;TIERQTY1;TIERPRICE1;TIERQTY2;TIERPRICE2;TIERQTY3;TIERPRICE3;RESERVEDFOR;RETAIN;SUPERLOTID;SUPERLOTQTY;EXTDESCRIPTION;ITEMTYPENAME;ITEMIDNAME;DIMENSIONX;DIMENSIONY;DIMENSIONZ;BOX;ROW;COLUMN
;;18;12;0,1503;8;;id2343color12.jpg;;U;P;2343;;Y;0,26;;EUR;Minifigure, Utensil;Minifigure;Utensil;P;;Trans-Clear;EEEEEE;Transparent;;;;;;;;;;;;;;PART;Minifigure, Utensil Goblet;1.00;1.00;0.00;Casier Grand OrangeDeux;A;1;
;;18;3;0,1705;4;;id2343color3.jpg;;U;P;2343;;Y;0,26;;EUR;Minifigure, Utensil;Minifigure;Utensil;P;;Yellow;FFE001;Solid;;;;;;;;;;;;;;PART;Minifigure, Utensil Goblet;1.00;1.00;0.00;Casier Grand OrangeDeux;A;1;
;;18;5;0,2798;2;;id2343color5.jpg;;U;P;2343;;Y;0,26;;EUR;Minifigure, Utensil;Minifigure;Utensil;P;;Red;B30006;Solid;;;;;;;;;;;;;;PART;Minifigure, Utensil Goblet;1.00;1.00;0.00;Casier Grand OrangeDeux;A;1;
;;18;81;0,2214;1;;Not Available;;U;P;2343;;Y;0,26;;EUR;Minifigure, Utensil;Minifigure;Utensil;P;;Flat Dark Gold;AD7118;Pearl;;;;;;;;;;;;;;PART;Minifigure, Utensil Goblet;1.00;1.00;0.00;Casier Grand OrangeDeux;A;1;
;;18;9;0,2808;8;;id2343color9.jpg;;U;P;2343;;Y;0,26;;EUR;Minifigure, Utensil;Minifigure;Utensil;P;;Light Gray;9C9C9C;Solid;;;;;;;;;;;;;;PART;Minifigure, Utensil Goblet;1.00;1.00;0.00;Casier Grand OrangeDeux;A;1;
;;18;1;0,1231;2;;id3899color1.jpg;;U;P;3899;;Y;0,33;;EUR;Minifigure, Utensil;Minifigure;Utensil;P;;White;FFFFFF;Solid;;;;;;;;;;;;;;PART;Minifigure, Utensil Cup;0.00;0.00;0.00;Casier Grand OrangeDeux;A;1;
;;18;104;0,3253;3;;Not Available;;U;P;3899;;Y;0,33;;EUR;Minifigure, Utensil;Minifigure;Utensil;P;;Bright Pink;F7BCDA;Solid;;;;;;;;;;;;;;PART;Minifigure, Utensil Cup;0.00;0.00;0.00;Casier Grand OrangeDeux;A;1;
;;18;12;0,1457;3;;id3899color12.jpg;;U;P;3899;;Y;0,33;;EUR;Minifigure, Utensil;Minifigure;Utensil;P;;Trans-Clear;EEEEEE;Transparent;;;;;;;;;;;;;;PART;Minifigure, Utensil Cup;0.00;0.00;0.00;Casier Grand OrangeDeux;A;1;
;;18;3;0,0587;5;;id3899color3.jpg;;U;P;3899;;Y;0,33;;EUR;Minifigure, Utensil;Minifigure;Utensil;P;;Yellow;FFE001;Solid;;;;;;;;;;;;;;PART;Minifigure, Utensil Cup;0.00;0.00;0.00;Casier Grand OrangeDeux;A;1;
;;18;5;0,0526;13;;id3899color5.jpg;;U;P;3899;;Y;0,33;;EUR;Minifigure, Utensil;Minifigure;Utensil;P;;Red;B30006;Solid;;;;;;;;;;;;;;PART;Minifigure, Utensil Cup;0.00;0.00;0.00;Casier Grand OrangeDeux;A;1;
;;18;7;0,3199;1;;id3899color7.jpg;;U;P;3899;;Y;0,33;;EUR;Minifigure, Utensil;Minifigure;Utensil;P;;Blue;0057A6;Solid;;;;;;;;;;;;;;PART;Minifigure, Utensil Cup;0.00;0.00;0.00;Casier Grand OrangeDeux;A;1;
;;18;94;0,1646;1;;Not Available;;U;P;3899;;Y;0,33;;EUR;Minifigure, Utensil;Minifigure;Utensil;P;;Medium Dark Pink;F785B1;Solid;;;;;;;;;;;;;;PART;Minifigure, Utensil Cup;0.00;0.00;0.00;Casier Grand OrangeDeux;A;1;
;;18;11;0,4962;1;;id4341color11.jpg;;U;P;4341;;Y;2,90;;EUR;Minifigure, Utensil;Minifigure;Utensil;P;;Black;212121;Solid;;;;;;;;;;;;;;PART;Minifigure, Utensil Pot Cauldron 3 x 3 x 1 & 3/4 with Handles;3.00;3.00;1.75;Casier Grand OrangeDeux;A;1;
;;Category ID Not Available;4;0,00;1;;Not Available;;U;P;434702pb02;;Y;0;;EUR;Category Name Not Available;Category1 Not Available;Category2 Not Available;P;Category4 Not Available;Orange;FF7E14;Solid;;;;;;;;;;;;;;Part;Name Not Available;DimensionX Not Available;DimensionY Not Available;DimensionZ Not Available;Casier Grand OrangeDeux;A;1;
;;18;11;0,1201;2;;id4528color11.jpg;;U;P;4528;;Y;0,32;;EUR;Minifigure, Utensil;Minifigure;Utensil;P;;Black;212121;Solid;;;;;;;;;;;;;;PART;Minifigure, Utensil Frying Pan;0.00;0.00;0.00;Casier Grand OrangeDeux;A;1;
;;18;11;0,1117;2;;id4529color11.jpg;;U;P;4529;;Y;0,42;;EUR;Minifigure, Utensil;Minifigure;Utensil;P;;Black;212121;Solid;;;;;;;;;;;;;;PART;Minifigure, Utensil Saucepan;0.00;0.00;0.00;Casier Grand OrangeDeux;A;1;
;;175;110;0,2615;1;;id6254color110.jpg;;U;P;6254;;Y;0,31;;EUR;Food & Drink;Food & Drink;;P;;Bright Light Orange;FFC700;Solid;;;;;;;;;;;;;;PART;Ice Cream Scoops;0.00;0.00;0.00;Casier Grand OrangeDeux;A;1;
;;18;20;0,6692;1;;id95228color20.jpg;;U;P;95228;;Y;0,55;;EUR;Minifigure, Utensil;Minifigure;Utensil;P;;Trans-Green;217625;Transparent;;;;;;;;;;;;;;PART;Minifigure, Utensil Bottle;1.00;1.00;2.00;Casier Grand OrangeDeux;A;1;
;;Category ID Not Available;1;0,00;1;;Not Available;;U;P;x45pb0;;Y;0;;EUR;Category Name Not Available;Category1 Not Available;Category2 Not Available;P;Category4 Not Available;White;FFFFFF;Solid;;;;;;;;;;;;;;Part;Name Not Available;DimensionX Not Available;DimensionY Not Available;DimensionZ Not Available;Casier Grand OrangeDeux;A;1;
