LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;WEIGHT;DATELASTSOLD;CURRENCY;CATEGORYNAME;CATNAME1;CATNAME2;CATNAME3;CATNAME4;COLORNAME;RGB;COLORTYPE;SUBCONDITION;REMARKS;TIERQTY1;TIERPRICE1;TIERQTY2;TIERPRICE2;TIERQTY3;TIERPRICE3;RESERVEDFOR;RETAIN;SUPERLOTID;SUPERLOTQTY;EXTDESCRIPTION;ITEMTYPENAME;ITEMIDNAME;DIMENSIONX;DIMENSIONY;DIMENSIONZ;BOX;COLUMN;ROW
;;135;1;0,2184;3;1;id2730color1.jpg;;U;P;2730;;Y;3,67;;EUR;Technic, Brick;Technic;Brick;;;White;##FFFFFF;Solid;;;;;;;;;;;;;;Part;Technic, Brick 1 x 10 with Holes;1;10;1;TriTiroir VioletFoncé;A;1
;;135;11;0,1983;6;1;id2730color11.jpg;;U;P;2730;;Y;3,67;;EUR;Technic, Brick;Technic;Brick;;;Black;##212121;Solid;;;;;;;;;;;;;;Part;Technic, Brick 1 x 10 with Holes;1;10;1;TriTiroir VioletFoncé;A;1
;;135;3;0,2635;2;1;id2730color3.jpg;;U;P;2730;;Y;3,67;;EUR;Technic, Brick;Technic;Brick;;;Yellow;##FFE001;Solid;;;;;;;;;;;;;;Part;Technic, Brick 1 x 10 with Holes;1;10;1;TriTiroir VioletFoncé;A;1
;;135;5;0,2147;1;1;id2730color5.jpg;;U;P;2730;;Y;3,67;;EUR;Technic, Brick;Technic;Brick;;;Red;##B30006;Solid;;;;;;;;;;;;;;Part;Technic, Brick 1 x 10 with Holes;1;10;1;TriTiroir VioletFoncé;A;1
;;135;63;0,3091;2;1;id2730color63.jpg;;U;P;2730;;Y;3,67;;EUR;Technic, Brick;Technic;Brick;;;Dark Blue;##243757;Solid;;;;;;;;;;;;;;Part;Technic, Brick 1 x 10 with Holes;1;10;1;TriTiroir VioletFoncé;A;1
;;140;1;0,1142;1;1;Not Available;;U;P;32001;;Y;1,5;;EUR;Technic, Plate;Technic;Plate;;;White;##FFFFFF;Solid;;;;;;;;;;;;;;Part;Technic, Plate 2 x 6 with 5 Holes;2;6;0;TriTiroir VioletFoncé;A;1
;;140;11;0,0914;7;1;id32001color11.jpg;;U;P;32001;;Y;1,5;;EUR;Technic, Plate;Technic;Plate;;;Black;##212121;Solid;;;;;;;;;;;;;;Part;Technic, Plate 2 x 6 with 5 Holes;2;6;0;TriTiroir VioletFoncé;A;1
;;140;5;0,1093;2;1;id32001color5.jpg;;U;P;32001;;Y;1,5;;EUR;Technic, Plate;Technic;Plate;;;Red;##B30006;Solid;;;;;;;;;;;;;;Part;Technic, Plate 2 x 6 with 5 Holes;2;6;0;TriTiroir VioletFoncé;A;1
;;140;86;0,0665;5;1;id32001color86.jpg;;U;P;32001;;Y;1,5;;EUR;Technic, Plate;Technic;Plate;;;Light Bluish Gray;##AFB5C7;Solid;;;;;;;;;;;;;;Part;Technic, Plate 2 x 6 with 5 Holes;2;6;0;TriTiroir VioletFoncé;A;1
;;135;1;0,4975;8;1;id32018color1.jpg;;U;P;32018;;Y;4,92;;EUR;Technic, Brick;Technic;Brick;;;White;##FFFFFF;Solid;;;;;;;;;;;;;;Part;Technic, Brick 1 x 14 with Holes;1;14;1;TriTiroir VioletFoncé;A;1
