ITEMID;QTY;COLORNAME;BOX;ROW;COLUMN
4073;1;Chrome Silver;Petit Noir;A;2
4073;3;Metallic Gold;Petit Noir;A;2
4073;3;Pearl Light Gray;Petit Noir;A;2
4073;6;Metallic Silver;Petit Noir;A;2
4073;3;Glow In Dark White;Petit Noir;A;2
4589;1;Glow In Dark White;;?;?
3024;56;White;Petit Noir;D;3
3024;45;Red;Petit Noir;D;3
3024;49;Black;Petit Noir;D;3
1;3;White;grand gris;C;1
2;1;White;grand gris;C;1
2;2;Red;grand gris;C;1
2;2;Blue;grand gris;C;1
3;2;White;grand gris;C;1
3;2;Yellow;grand gris;C;1
3;5;Red;grand gris;C;1
837;2;White;grand gris;C;1
838;2;Yellow;grand gris;C;1
839;1;White;grand gris;C;1
22253;3;Metallic Silver;grand gris;A;2
41531;4;White;grand gris;A;2
41531;2;Red;grand gris;A;2
41531;2;Light Bluish Gray;grand gris;A;2
41896;5;Light Bluish Gray;grand gris;A;2
56145;1;White;grand gris;A;2
56145;3;Red;grand gris;A;2
56145;31;Black;grand gris;A;2
56145;10;Light Bluish Gray;grand gris;A;2
56145;8;Pearl Gold;grand gris;A;2
56898;4;Black;grand gris;A;2
56904;1;White;grand gris;A;2
56904;4;Light Bluish Gray;grand gris;A;2
64711;2;Dark Bluish Gray;grand gris;A;2
64712;1;Black;grand gris;A;2
4266pb02;1;Red;grand gris;A;2
4266pb04;3;Black;grand gris;A;2
2695;1;White;grand gris;A;2
2695;5;Yellow;grand gris;A;2
2695;1;Light Gray;grand gris;A;2
2695;1;Dark Turquoise;grand gris;A;2
2696;5;Black;grand gris;A;2
2994;1;Yellow;grand gris;A;2
840c01;1;White;grand gris;C;1
19220;1;Black;?;?;?
2357;29;Light Gray;Etagere Indigo;A;5
2357;2;Light Bluish Gray;Etagere Indigo;A;5
2420;12;Light Gray;Etagere Indigo;A;5
2420;10;Dark Gray;Etagere Indigo;A;5
2420;23;Light Bluish Gray;Etagere Indigo;A;5
2445;4;Light Gray;Etagere Indigo;A;5
2445;10;Light Bluish Gray;Etagere Indigo;A;5
2449;30;Light Gray;Etagere Indigo;A;5
2456;14;Light Gray;Etagere Indigo;A;5
2456;2;Light Bluish Gray;Etagere Indigo;A;5
2465;3;Light Gray;Etagere Indigo;A;5
2465;1;Light Bluish Gray;Etagere Indigo;A;5
3001;38;Light Gray;Etagere Indigo;A;5
3001;11;Light Bluish Gray;Etagere Indigo;A;5
3002;27;Light Gray;Etagere Indigo;A;5
3002;4;Light Bluish Gray;Etagere Indigo;A;5
3003;79;Light Gray;Etagere Indigo;A;5
3003;11;Light Bluish Gray;Etagere Indigo;A;5
3004;29;Light Gray;Etagere Indigo;A;5
3004;7;Light Bluish Gray;Etagere Indigo;A;5
3005;30;Light Gray;Etagere Indigo;A;5
3005;4;Light Bluish Gray;Etagere Indigo;A;5
3006;12;Light Gray;Etagere Indigo;A;5
3007;8;Light Gray;Etagere Indigo;A;5
3007;2;Light Bluish Gray;Etagere Indigo;A;5
3008;5;Light Gray;Etagere Indigo;A;5
3008;3;Light Bluish Gray;Etagere Indigo;A;5
3009;18;Light Gray;Etagere Indigo;A;5
3009;3;Light Bluish Gray;Etagere Indigo;A;5
3010;42;Light Gray;Etagere Indigo;A;5
3010;11;Light Bluish Gray;Etagere Indigo;A;5
3020;59;Light Gray;Etagere Indigo;A;5
3020;41;Light Bluish Gray;Etagere Indigo;A;5
3021;27;Light Gray;Etagere Indigo;A;5
3021;31;Light Bluish Gray;Etagere Indigo;A;5
3022;72;Light Gray;Etagere Indigo;A;5
3022;22;Light Bluish Gray;Etagere Indigo;A;5
3023;17;Light Gray;Etagere Indigo;A;5
3023;9;Dark Gray;Etagere Indigo;A;5
3023;60;Light Bluish Gray;Etagere Indigo;A;5
3027;3;Light Gray;Etagere Indigo;A;5
3027;1;Light Bluish Gray;Etagere Indigo;A;5
3028;1;Light Gray;Etagere Indigo;A;5
3029;1;Light Gray;Etagere Indigo;A;5
3029;1;Light Bluish Gray;Etagere Indigo;A;5
3031;9;Light Gray;Etagere Indigo;A;5
3031;4;Light Bluish Gray;Etagere Indigo;A;5
3032;14;Light Gray;Etagere Indigo;A;5
3032;9;Light Bluish Gray;Etagere Indigo;A;5
3033;2;Light Gray;Etagere Indigo;A;5
3033;8;Light Bluish Gray;Etagere Indigo;A;5
3034;4;Light Gray;Etagere Indigo;A;5
