LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;WEIGHT;DATELASTSOLD;CURRENCY;CATEGORYNAME;CATNAME1;CATNAME2;CATNAME3;CATNAME4;COLORNAME;RGB;COLORTYPE;SUBCONDITION;REMARKS;TIERQTY1;TIERPRICE1;TIERQTY2;TIERPRICE2;TIERQTY3;TIERPRICE3;RESERVEDFOR;RETAIN;SUPERLOTID;SUPERLOTQTY;EXTDESCRIPTION;ITEMTYPENAME;ITEMIDNAME;DIMENSIONX;DIMENSIONY;DIMENSIONZ;BOX;ROW;COLUMN
;;21;159;0,00;1;;Not Available;;U;P;4589;;Y;0,26;;EUR;Cone;;;P;;Glow In Dark White;d9d9d9;Milky;;;;;;;;;;;;;;PART;Cone 1 x 1 without Top Groove;1.00;1.00;1.00;;?;?;
;;18;11;0,00;1;;Not Available;;U;P;19220;;Y;0,53;;EUR;Minifigure, Utensil;;;P;;Black;212121;Solid;;;;;;;;;;;;;;PART;Minifigure, Utensil Radio with Detailed Grille;0.00;0.00;0.00;?;?;?;
;;105;3;0,00;4;;id30517color3.jpg;;U;P;30517;;Y;6,79;;EUR;Support;;;P;;Yellow;FFE001;Solid;;;;;;;;;;;;;;PART;Support 2 x 2 x 10 Girder Triangular Vertical - Type 1 - Solid Top, 3 Posts;2.00;2.00;10.00;Casier Moyen Bleue;A;1;
;;105;85;0,00;1;;id30517color85.jpg;;U;P;30517;;Y;6,79;;EUR;Support;;;P;;Dark Bluish Gray;595D60;Solid;;;;;;;;;;;;;;PART;Support 2 x 2 x 10 Girder Triangular Vertical - Type 1 - Solid Top, 3 Posts;2.00;2.00;10.00;Casier Moyen Bleue;A;1;
;;105;7;0,00;1;;id4476acolor7.jpg;;U;P;4476a;;Y;2,34;;EUR;Support;;;P;;Blue;0057A6;Solid;;;;;;;;;;;;;;PART;Support 2 x 4 x 5 Stanchion Inclined, 3mm Wide Posts;2.00;4.00;5.00;Casier Moyen Bleue;A;1;
;;105;1;0,00;9;;id4476bcolor1.jpg;;U;P;4476b;;Y;2,22;;EUR;Support;;;P;;White;FFFFFF;Solid;;;;;;;;;;;;;;PART;Support 2 x 4 x 5 Stanchion Inclined, 5mm Wide Posts;2.00;4.00;5.00;Casier Moyen Bleue;A;1;
;;105;11;0,00;14;;id4476bcolor11.jpg;;U;P;4476b;;Y;2,22;;EUR;Support;;;P;;Black;212121;Solid;;;;;;;;;;;;;;PART;Support 2 x 4 x 5 Stanchion Inclined, 5mm Wide Posts;2.00;4.00;5.00;Casier Moyen Bleue;A;1;
;;105;3;0,00;2;;id4476bcolor3.jpg;;U;P;4476b;;Y;2,22;;EUR;Support;;;P;;Yellow;FFE001;Solid;;;;;;;;;;;;;;PART;Support 2 x 4 x 5 Stanchion Inclined, 5mm Wide Posts;2.00;4.00;5.00;Casier Moyen Bleue;A;1;
;;105;5;0,00;4;;id4476bcolor5.jpg;;U;P;4476b;;Y;2,22;;EUR;Support;;;P;;Red;B30006;Solid;;;;;;;;;;;;;;PART;Support 2 x 4 x 5 Stanchion Inclined, 5mm Wide Posts;2.00;4.00;5.00;Casier Moyen Bleue;A;1;
;;105;11;0,00;3;;id58827color11.jpg;;U;P;58827;;Y;5,29;;EUR;Support;;;P;;Black;212121;Solid;;;;;;;;;;;;;;PART;Support 2 x 2 x 10 Girder Triangular Vertical - Type 3 - 3 Posts, 2 Sections;2.00;2.00;10.00;Casier Moyen Bleue;A;1;
